Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.94,3.458,3.466,5.511,5.519,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
100,0.908,2.811,3.466,4.662,5.317,0.322,0.095,0.123,0.128,0.108,0.078,0.159,0.066,0.141,0.017,0.007,0.01,0.003,0.016,0.002,0.013,0.008,0.009,0.004,0.022,0.005,0.019,0.021,0.002,0.03,0.0,0.025,0.004,0.024,0.0,0.021,0.005,0.002,0.008,0.003,0.037,0.004
200,0.814,1.569,3.466,2.716,4.612,1.212,0.341,0.349,0.349,0.308,0.385,0.369,0.375,0.341,0.149,0.005,0.019,0.012,0.045,0.007,0.026,0.002,0.006,0.015,0.051,0.036,0.029,0.119,0.004,0.123,0.005,0.107,0.014,0.092,0.006,0.085,0.012,0.031,0.04,0.003,0.163,0.005
300,0.819,0.808,3.466,1.588,4.246,1.434,0.476,0.489,0.449,0.461,0.577,0.448,0.594,0.44,0.286,0.0,0.018,0.006,0.028,0.01,0.016,0.0,0.005,0.007,0.043,0.037,0.027,0.16,0.003,0.118,0.01,0.097,0.036,0.076,0.003,0.071,0.017,0.036,0.053,0.007,0.251,0.012
400,0.872,0.449,3.466,1.026,4.043,1.47,0.538,0.559,0.522,0.578,0.637,0.496,0.644,0.509,0.302,0.0,0.024,0.0,0.011,0.008,0.013,0.001,0.009,0.004,0.027,0.046,0.033,0.166,0.001,0.097,0.013,0.078,0.059,0.055,0.0,0.058,0.016,0.036,0.044,0.015,0.331,0.02
500,0.924,0.252,3.466,0.725,3.938,1.412,0.587,0.593,0.556,0.625,0.657,0.556,0.657,0.56,0.267,0.0,0.015,0.001,0.002,0.002,0.004,0.001,0.008,0.003,0.02,0.048,0.029,0.173,0.001,0.073,0.014,0.057,0.059,0.034,0.0,0.033,0.015,0.036,0.035,0.027,0.421,0.034
600,0.932,0.173,3.466,0.534,3.826,1.483,0.625,0.62,0.579,0.643,0.667,0.587,0.662,0.596,0.27,0.0,0.014,0.001,0.002,0.001,0.003,0.001,0.008,0.003,0.025,0.051,0.029,0.176,0.001,0.063,0.015,0.055,0.058,0.028,0.001,0.026,0.02,0.036,0.031,0.03,0.498,0.035
700,0.935,0.142,3.466,0.434,3.758,1.527,0.642,0.634,0.593,0.652,0.672,0.606,0.665,0.614,0.281,0.0,0.013,0.002,0.002,0.002,0.003,0.001,0.008,0.003,0.025,0.05,0.027,0.178,0.001,0.06,0.016,0.057,0.058,0.025,0.001,0.024,0.023,0.035,0.029,0.032,0.538,0.035
800,0.938,0.125,3.466,0.372,3.713,1.554,0.652,0.642,0.602,0.658,0.675,0.618,0.666,0.625,0.289,0.0,0.012,0.002,0.002,0.002,0.002,0.0,0.008,0.003,0.025,0.049,0.025,0.179,0.001,0.059,0.016,0.057,0.057,0.024,0.001,0.023,0.024,0.035,0.029,0.033,0.561,0.035
900,0.941,0.114,3.466,0.339,3.69,1.563,0.658,0.648,0.61,0.662,0.677,0.626,0.658,0.633,0.294,0.0,0.012,0.002,0.002,0.001,0.002,0.0,0.008,0.003,0.025,0.046,0.024,0.181,0.001,0.058,0.018,0.058,0.057,0.023,0.001,0.022,0.024,0.032,0.028,0.03,0.576,0.032
