Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.783,4.851,4.852,5.541,5.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.535,2.681,4.852,2.367,4.538,1.19,0.782,0.877,0.733,0.745,0.278,0.162,0.18,0.243,0.137,0.19
200,0.63,0.782,4.852,0.24,4.31,1.172,1.28,1.321,1.307,1.327,0.341,0.115,0.153,0.235,0.133,0.194
300,0.655,0.652,4.852,0.091,4.291,1.127,1.325,1.347,1.348,1.358,0.318,0.11,0.159,0.217,0.135,0.189
400,0.657,0.635,4.852,0.061,4.278,1.129,1.334,1.353,1.355,1.363,0.32,0.109,0.158,0.217,0.135,0.19
500,0.677,0.602,4.852,0.059,4.309,1.093,1.338,1.35,1.357,1.365,0.301,0.104,0.155,0.223,0.131,0.181
600,0.68,0.59,4.852,0.04,4.302,1.094,1.341,1.358,1.363,1.366,0.302,0.103,0.156,0.223,0.131,0.18
700,0.698,0.563,4.852,0.05,4.339,1.047,1.338,1.358,1.364,1.367,0.263,0.104,0.145,0.223,0.131,0.18
800,0.727,0.507,4.852,0.035,4.38,1.004,1.356,1.359,1.367,1.367,0.248,0.102,0.144,0.211,0.127,0.171
900,0.726,0.504,4.852,0.029,4.377,1.004,1.359,1.359,1.368,1.368,0.248,0.103,0.144,0.211,0.127,0.171
1000,0.734,0.486,4.852,0.033,4.399,0.974,1.36,1.359,1.365,1.368,0.248,0.096,0.144,0.197,0.127,0.162
1100,0.735,0.483,4.852,0.028,4.396,0.974,1.361,1.358,1.369,1.368,0.247,0.096,0.144,0.197,0.127,0.163
1200,0.742,0.468,4.852,0.027,4.41,0.96,1.361,1.359,1.369,1.368,0.241,0.096,0.144,0.191,0.126,0.163
1300,0.75,0.457,4.852,0.026,4.42,0.953,1.362,1.359,1.371,1.368,0.241,0.094,0.144,0.189,0.126,0.16
1400,0.752,0.456,4.852,0.03,4.426,0.944,1.362,1.353,1.371,1.368,0.238,0.094,0.144,0.189,0.12,0.16
1500,0.758,0.446,4.852,0.026,4.432,0.926,1.362,1.36,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
1600,0.757,0.446,4.852,0.026,4.431,0.926,1.362,1.36,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
1700,0.757,0.446,4.852,0.025,4.431,0.926,1.362,1.36,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
1800,0.758,0.446,4.852,0.025,4.431,0.926,1.362,1.361,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
1900,0.757,0.446,4.852,0.025,4.431,0.925,1.362,1.361,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
2000,0.757,0.446,4.852,0.025,4.431,0.925,1.362,1.361,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
2100,0.758,0.446,4.852,0.025,4.431,0.925,1.362,1.361,1.371,1.368,0.232,0.094,0.144,0.191,0.104,0.16
2200,0.758,0.446,4.852,0.024,4.431,0.925,1.362,1.361,1.371,1.368,0.232,0.093,0.144,0.191,0.104,0.16
2300,0.758,0.445,4.852,0.024,4.431,0.925,1.362,1.361,1.371,1.368,0.232,0.093,0.144,0.191,0.104,0.16
2400,0.766,0.43,4.852,0.025,4.446,0.879,1.362,1.364,1.37,1.368,0.207,0.093,0.144,0.186,0.089,0.16
2500,0.766,0.43,4.852,0.024,4.446,0.879,1.362,1.364,1.37,1.368,0.207,0.093,0.144,0.186,0.089,0.16
2600,0.765,0.43,4.852,0.024,4.446,0.879,1.362,1.364,1.37,1.368,0.207,0.093,0.144,0.186,0.089,0.16
2700,0.766,0.43,4.852,0.024,4.446,0.879,1.362,1.365,1.37,1.368,0.207,0.093,0.144,0.185,0.09,0.16
2800,0.774,0.406,4.852,0.023,4.47,0.84,1.364,1.365,1.37,1.368,0.189,0.083,0.133,0.185,0.09,0.16
2900,0.773,0.406,4.852,0.023,4.47,0.84,1.364,1.366,1.37,1.368,0.189,0.083,0.133,0.185,0.09,0.16
3000,0.781,0.388,4.815,0.023,4.487,0.826,1.364,1.366,1.372,1.368,0.189,0.079,0.133,0.183,0.09,0.152
3100,0.789,0.373,4.852,0.023,4.502,0.816,1.367,1.366,1.372,1.368,0.183,0.078,0.129,0.183,0.09,0.152
3200,0.797,0.363,4.826,0.029,4.518,0.799,1.367,1.36,1.372,1.368,0.177,0.078,0.129,0.172,0.09,0.152
3300,0.797,0.362,4.83,0.023,4.513,0.799,1.368,1.365,1.372,1.368,0.177,0.078,0.129,0.172,0.091,0.152
3400,0.797,0.362,4.742,0.023,4.513,0.799,1.368,1.366,1.371,1.368,0.177,0.078,0.129,0.172,0.091,0.152
3500,0.796,0.362,4.776,0.023,4.513,0.799,1.368,1.366,1.371,1.368,0.177,0.078,0.129,0.172,0.091,0.152
3600,0.797,0.362,4.698,0.023,4.512,0.799,1.368,1.367,1.371,1.368,0.177,0.078,0.129,0.172,0.091,0.152
3700,0.797,0.362,4.67,0.023,4.512,0.799,1.368,1.367,1.371,1.368,0.177,0.078,0.129,0.172,0.091,0.152
3800,0.799,0.361,4.646,0.026,4.516,0.795,1.368,1.367,1.371,1.364,0.177,0.078,0.128,0.172,0.089,0.15
