Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.94,3.459,3.466,5.537,5.543,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.999,0.033,3.466,0.572,4.005,0.273,0.602,0.592,0.625,0.61,0.628,0.625,0.65,0.616,0.0,0.0,0.001,0.0,0.023,0.018,0.001,0.0,0.013,0.0,0.023,0.003,0.0,0.002,0.007,0.016,0.038,0.006,0.022,0.0,0.0,0.008,0.004,0.0,0.001,0.0,0.057,0.029
200,1.0,0.01,3.466,0.31,3.765,0.282,0.649,0.633,0.657,0.646,0.646,0.655,0.668,0.65,0.0,0.0,0.001,0.0,0.018,0.017,0.002,0.0,0.015,0.001,0.019,0.002,0.001,0.002,0.006,0.017,0.046,0.003,0.022,0.0,0.0,0.008,0.004,0.001,0.001,0.0,0.067,0.03
300,1.0,0.006,3.466,0.229,3.689,0.287,0.663,0.647,0.668,0.658,0.652,0.663,0.673,0.659,0.0,0.0,0.001,0.0,0.017,0.017,0.003,0.0,0.016,0.001,0.019,0.002,0.001,0.002,0.006,0.018,0.048,0.003,0.021,0.0,0.0,0.008,0.004,0.001,0.001,0.0,0.069,0.031
400,1.0,0.005,3.466,0.195,3.656,0.288,0.669,0.653,0.672,0.663,0.657,0.666,0.675,0.663,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.006,0.018,0.048,0.003,0.02,0.0,0.0,0.008,0.003,0.001,0.002,0.0,0.069,0.031
500,1.0,0.004,3.466,0.176,3.638,0.289,0.672,0.656,0.674,0.665,0.661,0.667,0.676,0.665,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.007,0.018,0.049,0.003,0.019,0.0,0.0,0.008,0.003,0.001,0.002,0.0,0.07,0.031
600,1.0,0.003,3.466,0.165,3.627,0.289,0.674,0.658,0.675,0.666,0.666,0.667,0.677,0.666,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.007,0.018,0.049,0.002,0.019,0.0,0.0,0.008,0.003,0.001,0.002,0.0,0.07,0.031
700,1.0,0.003,3.466,0.158,3.62,0.289,0.675,0.659,0.675,0.666,0.669,0.667,0.677,0.666,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.008,0.018,0.049,0.002,0.018,0.0,0.0,0.008,0.002,0.002,0.002,0.0,0.07,0.031
800,1.0,0.003,3.466,0.154,3.617,0.289,0.676,0.66,0.675,0.666,0.672,0.667,0.677,0.666,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.008,0.018,0.049,0.002,0.018,0.0,0.0,0.008,0.002,0.002,0.002,0.0,0.07,0.031
900,1.0,0.003,3.466,0.152,3.614,0.289,0.677,0.661,0.675,0.666,0.673,0.667,0.677,0.666,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.008,0.018,0.049,0.002,0.018,0.0,0.0,0.008,0.002,0.002,0.003,0.0,0.07,0.031
1000,1.0,0.003,3.466,0.151,3.614,0.289,0.678,0.661,0.675,0.665,0.674,0.666,0.677,0.666,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.008,0.018,0.049,0.002,0.018,0.0,0.0,0.008,0.002,0.002,0.003,0.0,0.07,0.031
1100,1.0,0.003,3.466,0.151,3.613,0.289,0.678,0.662,0.675,0.664,0.675,0.666,0.677,0.665,0.0,0.0,0.002,0.0,0.017,0.017,0.003,0.0,0.017,0.0,0.018,0.002,0.001,0.002,0.008,0.018,0.049,0.002,0.018,0.0,0.0,0.008,0.002,0.002,0.003,0.0,0.07,0.031
