Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.788,4.851,4.852,5.533,5.535,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
100,0.735,4.465,4.852,4.984,5.372,0.094,0.133,0.129,0.102,0.115,0.021,0.016,0.015,0.015,0.015,0.013
200,0.492,3.342,4.852,2.932,4.442,1.507,0.607,0.681,0.621,0.646,0.272,0.258,0.206,0.269,0.257,0.246
300,0.385,2.676,4.852,1.764,3.94,2.149,0.901,0.955,0.92,0.96,0.38,0.344,0.259,0.389,0.387,0.39
400,0.343,2.114,4.852,0.978,3.715,2.372,1.149,1.096,1.125,1.152,0.43,0.384,0.248,0.418,0.445,0.447
500,0.352,1.732,4.852,0.521,3.641,2.412,1.259,1.211,1.246,1.263,0.453,0.395,0.247,0.399,0.469,0.451
600,0.359,1.551,4.852,0.306,3.606,2.436,1.304,1.271,1.301,1.312,0.457,0.404,0.249,0.411,0.48,0.435
700,0.369,1.463,4.852,0.201,3.59,2.439,1.327,1.307,1.327,1.329,0.467,0.392,0.254,0.424,0.475,0.428
800,0.379,1.415,4.852,0.148,3.585,2.441,1.339,1.324,1.341,1.338,0.47,0.394,0.257,0.429,0.456,0.434
900,0.383,1.386,4.852,0.114,3.58,2.446,1.346,1.334,1.347,1.349,0.473,0.397,0.258,0.431,0.451,0.436
1000,0.393,1.362,4.852,0.099,3.589,2.422,1.349,1.335,1.353,1.35,0.472,0.401,0.256,0.415,0.447,0.43
1100,0.406,1.321,4.852,0.079,3.61,2.378,1.352,1.34,1.356,1.352,0.465,0.402,0.248,0.398,0.43,0.435
1200,0.406,1.313,4.852,0.068,3.607,2.381,1.354,1.344,1.359,1.354,0.466,0.403,0.248,0.399,0.429,0.435
1300,0.406,1.308,4.852,0.061,3.605,2.383,1.355,1.347,1.361,1.355,0.466,0.404,0.248,0.4,0.429,0.435
1400,0.406,1.305,4.852,0.056,3.603,2.384,1.356,1.349,1.363,1.356,0.467,0.405,0.248,0.401,0.429,0.435
1500,0.407,1.302,4.852,0.053,3.602,2.385,1.356,1.35,1.364,1.356,0.467,0.405,0.248,0.401,0.429,0.435
1600,0.407,1.3,4.852,0.052,3.603,2.385,1.355,1.351,1.365,1.357,0.467,0.406,0.248,0.402,0.429,0.434
1700,0.414,1.289,4.852,0.049,3.612,2.376,1.355,1.351,1.365,1.357,0.462,0.402,0.246,0.402,0.429,0.434
1800,0.415,1.287,4.852,0.047,3.612,2.376,1.355,1.351,1.365,1.357,0.462,0.402,0.246,0.403,0.428,0.434
1900,0.416,1.286,4.852,0.048,3.613,2.374,1.355,1.351,1.365,1.357,0.461,0.402,0.246,0.402,0.428,0.434
2000,0.43,1.261,4.852,0.057,3.649,2.307,1.356,1.346,1.365,1.355,0.454,0.379,0.243,0.386,0.43,0.414
2100,0.438,1.245,4.852,0.061,3.668,2.278,1.357,1.343,1.367,1.353,0.439,0.371,0.245,0.384,0.423,0.415
2200,0.445,1.228,4.852,0.055,3.679,2.261,1.36,1.342,1.367,1.351,0.446,0.373,0.252,0.378,0.399,0.413
2300,0.453,1.204,4.852,0.053,3.701,2.22,1.361,1.342,1.365,1.351,0.449,0.354,0.252,0.362,0.397,0.406
2400,0.454,1.203,4.852,0.051,3.7,2.219,1.362,1.343,1.365,1.352,0.451,0.354,0.253,0.361,0.396,0.406
