A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.46,0.54,0.464,0.536,0.504,0.496,0.54,0.46,0.535,0.465,0.507,0.493,0.558,0.442,0.562,0.438
0.496,0.504,0.512,0.488,0.492,0.508,0.534,0.466,0.523,0.477,0.487,0.513,0.547,0.453,0.531,0.469
0.534,0.466,0.534,0.466,0.507,0.493,0.523,0.477,0.574,0.426,0.504,0.496,0.564,0.436,0.463,0.537
0.507,0.493,0.518,0.482,0.493,0.507,0.513,0.487,0.562,0.438,0.539,0.461,0.562,0.438,0.428,0.572
0.542,0.458,0.47,0.53,0.487,0.513,0.514,0.486,0.562,0.438,0.534,0.466,0.562,0.438,0.414,0.586
0.52,0.48,0.469,0.531,0.498,0.502,0.519,0.481,0.562,0.438,0.536,0.464,0.561,0.439,0.427,0.573
0.525,0.475,0.473,0.527,0.506,0.494,0.521,0.479,0.562,0.438,0.553,0.447,0.561,0.439,0.436,0.564
0.528,0.472,0.472,0.528,0.51,0.49,0.522,0.478,0.562,0.438,0.559,0.441,0.56,0.44,0.438,0.562
0.529,0.471,0.472,0.528,0.512,0.488,0.523,0.477,0.562,0.438,0.561,0.439,0.56,0.44,0.439,0.561
0.529,0.471,0.472,0.528,0.515,0.485,0.524,0.476,0.563,0.437,0.564,0.436,0.555,0.445,0.438,0.562
0.53,0.47,0.471,0.529,0.518,0.482,0.525,0.475,0.563,0.437,0.564,0.436,0.53,0.47,0.438,0.562
0.531,0.469,0.471,0.529,0.518,0.482,0.526,0.474,0.563,0.437,0.563,0.437,0.53,0.47,0.438,0.562
0.531,0.469,0.47,0.53,0.518,0.482,0.526,0.474,0.563,0.437,0.563,0.437,0.53,0.47,0.438,0.562
0.531,0.469,0.47,0.53,0.518,0.482,0.527,0.473,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.531,0.469,0.47,0.53,0.518,0.482,0.527,0.473,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.531,0.469,0.47,0.53,0.518,0.482,0.528,0.472,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.531,0.469,0.47,0.53,0.519,0.481,0.528,0.472,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.519,0.481,0.528,0.472,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.519,0.481,0.529,0.471,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.519,0.481,0.529,0.471,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.52,0.48,0.529,0.471,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.52,0.48,0.529,0.471,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.52,0.48,0.529,0.471,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.521,0.479,0.53,0.47,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.521,0.479,0.53,0.47,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.521,0.479,0.53,0.47,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.469,0.531,0.521,0.479,0.53,0.47,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.468,0.532,0.522,0.478,0.53,0.47,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.419,0.581,0.521,0.479,0.531,0.469,0.563,0.437,0.562,0.438,0.531,0.469,0.44,0.56
0.532,0.468,0.428,0.572,0.523,0.477,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.439,0.561
0.532,0.468,0.431,0.569,0.523,0.477,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.432,0.568,0.523,0.477,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.433,0.567,0.524,0.476,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.434,0.566,0.524,0.476,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.434,0.566,0.524,0.476,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.435,0.565,0.524,0.476,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.435,0.565,0.524,0.476,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.435,0.565,0.525,0.475,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
0.532,0.468,0.435,0.565,0.525,0.475,0.531,0.469,0.563,0.437,0.563,0.437,0.531,0.469,0.438,0.562
