Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.942,3.463,3.466,5.525,5.528,0.0,0.002,0.002,0.0
100,0.935,3.245,3.466,5.254,5.474,0.01,0.117,0.121,0.01
200,0.845,2.035,3.466,3.304,4.734,0.526,0.939,1.028,0.526
300,0.716,1.382,3.466,1.889,3.972,1.169,1.672,1.585,1.169
400,0.739,0.897,3.466,1.166,3.734,1.44,2.134,1.878,1.44
500,0.774,0.552,3.466,0.644,3.558,1.585,2.405,2.096,1.585
600,0.787,0.425,3.466,0.389,3.43,1.678,2.499,2.221,1.678
700,0.783,0.379,3.466,0.282,3.369,1.725,2.539,2.273,1.725
800,0.786,0.359,3.466,0.233,3.34,1.75,2.56,2.297,1.75
900,0.815,0.323,3.466,0.238,3.381,1.75,2.567,2.326,1.75
1000,0.828,0.299,3.466,0.211,3.378,1.751,2.578,2.34,1.751
1100,0.867,0.242,3.466,0.209,3.432,1.709,2.586,2.347,1.709
1200,0.875,0.213,3.466,0.147,3.399,1.736,2.595,2.393,1.736
1300,0.874,0.207,3.466,0.127,3.386,1.747,2.6,2.406,1.747
1400,0.876,0.203,3.466,0.117,3.379,1.753,2.604,2.412,1.753
1500,0.876,0.201,3.466,0.11,3.375,1.757,2.606,2.416,1.757
1600,0.875,0.2,3.466,0.106,3.372,1.76,2.607,2.419,1.76
1700,0.876,0.199,3.466,0.103,3.37,1.762,2.608,2.42,1.762
1800,0.875,0.198,3.466,0.101,3.369,1.762,2.608,2.422,1.762
1900,0.877,0.197,3.466,0.102,3.371,1.76,2.607,2.422,1.76
2000,0.898,0.183,3.466,0.139,3.422,1.695,2.562,2.417,1.695
2100,0.906,0.157,3.466,0.105,3.414,1.703,2.588,2.424,1.703
2200,0.907,0.155,3.466,0.097,3.409,1.71,2.594,2.427,1.71
2300,0.907,0.154,3.466,0.094,3.406,1.713,2.598,2.427,1.713
2400,0.906,0.153,3.466,0.092,3.405,1.714,2.6,2.427,1.714
2500,0.906,0.153,3.466,0.091,3.404,1.715,2.601,2.427,1.715
2600,0.907,0.152,3.466,0.091,3.404,1.716,2.602,2.427,1.716
2700,0.907,0.152,3.466,0.091,3.405,1.716,2.602,2.427,1.716
2800,0.907,0.152,3.466,0.095,3.409,1.711,2.599,2.427,1.711
2900,0.936,0.111,3.466,0.095,3.449,1.661,2.591,2.424,1.661
3000,0.938,0.109,3.466,0.091,3.447,1.663,2.594,2.425,1.663
3100,0.937,0.109,3.466,0.091,3.447,1.663,2.596,2.425,1.663
3200,0.937,0.109,3.466,0.091,3.448,1.663,2.596,2.424,1.663
3300,0.936,0.109,3.466,0.091,3.449,1.663,2.597,2.423,1.663
3400,0.937,0.108,3.466,0.092,3.45,1.662,2.597,2.422,1.662
3500,0.937,0.108,3.466,0.093,3.451,1.661,2.597,2.421,1.661
3600,0.937,0.108,3.466,0.095,3.452,1.661,2.598,2.42,1.661
3700,0.938,0.108,3.466,0.096,3.453,1.66,2.598,2.419,1.66
3800,0.938,0.108,3.466,0.097,3.455,1.658,2.598,2.418,1.658
3900,0.937,0.108,3.466,0.099,3.456,1.657,2.598,2.417,1.657
4000,0.937,0.108,3.466,0.1,3.458,1.656,2.598,2.416,1.656
4100,0.938,0.108,3.466,0.102,3.459,1.655,2.598,2.414,1.655
4200,0.937,0.108,3.466,0.104,3.461,1.653,2.598,2.413,1.653
4300,0.937,0.108,3.466,0.105,3.463,1.652,2.598,2.411,1.652
4400,0.937,0.108,3.466,0.107,3.465,1.65,2.598,2.409,1.65
4500,0.938,0.108,3.466,0.109,3.467,1.649,2.599,2.408,1.649
4600,0.938,0.108,3.466,0.111,3.469,1.647,2.599,2.406,1.647
4700,0.937,0.108,3.466,0.113,3.471,1.646,2.599,2.404,1.646
4800,0.938,0.108,3.466,0.115,3.473,1.644,2.599,2.402,1.644
4900,0.938,0.108,3.466,0.118,3.475,1.642,2.599,2.401,1.642
5000,0.938,0.108,3.466,0.12,3.477,1.64,2.599,2.399,1.64
5100,0.938,0.108,3.466,0.122,3.479,1.639,2.599,2.397,1.639
5200,0.937,0.108,3.466,0.124,3.481,1.637,2.599,2.395,1.637
5300,0.938,0.108,3.466,0.126,3.483,1.635,2.6,2.393,1.635
5400,0.938,0.108,3.466,0.128,3.485,1.634,2.6,2.392,1.634
5500,0.937,0.108,3.466,0.129,3.487,1.632,2.6,2.39,1.632
5600,0.938,0.108,3.466,0.131,3.489,1.631,2.6,2.389,1.631
5700,0.937,0.108,3.466,0.132,3.49,1.63,2.6,2.387,1.63
5800,0.937,0.108,3.466,0.134,3.492,1.628,2.6,2.386,1.628
5900,0.937,0.108,3.422,0.135,3.493,1.628,2.6,2.385,1.628
6000,0.937,0.108,3.422,0.135,3.493,1.627,2.6,2.385,1.627
6100,0.938,0.108,3.422,0.135,3.493,1.627,2.6,2.385,1.627
6200,0.938,0.108,3.422,0.135,3.493,1.628,2.6,2.385,1.628
6300,0.938,0.108,3.466,0.133,3.491,1.629,2.6,2.387,1.629
6400,0.938,0.108,3.422,0.13,3.488,1.632,2.6,2.389,1.632
6500,0.938,0.108,3.422,0.125,3.483,1.636,2.6,2.393,1.636
6600,0.938,0.108,3.422,0.119,3.477,1.642,2.6,2.399,1.642
6700,0.937,0.108,3.422,0.111,3.469,1.648,2.6,2.406,1.648
6800,0.938,0.108,3.422,0.104,3.462,1.655,2.6,2.412,1.655
6900,0.938,0.108,3.363,0.098,3.456,1.66,2.6,2.418,1.66
