A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.063,0.064,0.062,0.06,0.059,0.062,0.06,0.066,0.063,0.064,0.059,0.064,0.065,0.062,0.063,0.063,0.059,0.061,0.066,0.06,0.059,0.061,0.063,0.068,0.066,0.061,0.06,0.065,0.065,0.063,0.062,0.062
0.071,0.077,0.089,0.045,0.097,0.018,0.032,0.019,0.051,0.089,0.086,0.027,0.108,0.025,0.087,0.081,0.026,0.083,0.064,0.1,0.039,0.062,0.055,0.039,0.066,0.062,0.031,0.117,0.047,0.008,0.097,0.105
0.071,0.078,0.087,0.047,0.094,0.019,0.031,0.019,0.053,0.086,0.086,0.03,0.103,0.028,0.091,0.078,0.031,0.085,0.055,0.094,0.031,0.054,0.055,0.031,0.087,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.071,0.078,0.086,0.047,0.094,0.017,0.031,0.021,0.054,0.086,0.086,0.031,0.102,0.03,0.088,0.078,0.031,0.085,0.055,0.094,0.031,0.055,0.055,0.031,0.087,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.071,0.078,0.086,0.053,0.086,0.016,0.031,0.022,0.063,0.086,0.086,0.031,0.086,0.03,0.087,0.088,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.062,0.031,0.117,0.055,0.008,0.102,0.102
0.071,0.078,0.086,0.054,0.086,0.016,0.031,0.023,0.062,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.062,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.062,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.063,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.063,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.063,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
0.07,0.078,0.086,0.055,0.086,0.016,0.031,0.023,0.063,0.086,0.086,0.031,0.086,0.031,0.086,0.086,0.031,0.078,0.047,0.094,0.031,0.055,0.055,0.031,0.102,0.063,0.031,0.117,0.055,0.008,0.102,0.102
