Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.936,3.461,3.466,5.54,5.544,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
100,0.999,0.041,3.466,0.438,3.863,0.694,1.304,1.276,1.171,1.176,0.115,0.058,0.081,0.171,0.182,0.086
200,1.0,0.012,3.466,0.22,3.674,0.739,1.345,1.314,1.268,1.215,0.127,0.055,0.084,0.191,0.193,0.089
300,1.0,0.007,3.466,0.158,3.617,0.756,1.354,1.323,1.301,1.226,0.13,0.056,0.084,0.196,0.197,0.093
400,1.0,0.005,3.466,0.131,3.591,0.764,1.357,1.326,1.317,1.231,0.131,0.057,0.084,0.198,0.198,0.096
500,1.0,0.005,3.466,0.116,3.578,0.769,1.359,1.328,1.325,1.233,0.132,0.058,0.084,0.199,0.199,0.097
600,1.0,0.004,3.466,0.109,3.57,0.771,1.36,1.328,1.33,1.234,0.132,0.058,0.084,0.2,0.199,0.098
700,0.999,0.004,3.466,0.104,3.566,0.773,1.361,1.329,1.333,1.235,0.132,0.059,0.083,0.2,0.199,0.099
800,1.0,0.004,3.466,0.101,3.563,0.774,1.361,1.328,1.335,1.235,0.133,0.059,0.083,0.201,0.2,0.099
900,1.0,0.004,3.466,0.099,3.561,0.775,1.362,1.328,1.337,1.236,0.133,0.059,0.083,0.201,0.2,0.099
1000,1.0,0.004,3.466,0.097,3.559,0.775,1.362,1.328,1.339,1.236,0.133,0.059,0.083,0.202,0.2,0.099
1100,1.0,0.004,3.466,0.096,3.558,0.776,1.362,1.327,1.34,1.237,0.133,0.059,0.082,0.202,0.2,0.099
1200,1.0,0.004,3.466,0.095,3.557,0.776,1.362,1.327,1.341,1.237,0.133,0.059,0.082,0.202,0.2,0.099
1300,1.0,0.003,3.466,0.094,3.556,0.777,1.362,1.327,1.342,1.238,0.133,0.059,0.082,0.203,0.2,0.099
1400,1.0,0.003,3.466,0.093,3.556,0.777,1.362,1.326,1.342,1.238,0.133,0.059,0.082,0.203,0.2,0.1
1500,1.0,0.003,3.466,0.093,3.555,0.777,1.362,1.326,1.343,1.238,0.133,0.059,0.081,0.203,0.2,0.1
1600,1.0,0.003,3.466,0.093,3.555,0.777,1.362,1.325,1.343,1.239,0.133,0.059,0.081,0.203,0.2,0.1
1700,1.0,0.003,3.466,0.093,3.555,0.777,1.362,1.325,1.343,1.239,0.133,0.059,0.081,0.204,0.2,0.1
1800,1.0,0.003,3.466,0.093,3.556,0.777,1.362,1.324,1.344,1.239,0.133,0.059,0.081,0.204,0.2,0.1
1900,1.0,0.003,3.466,0.094,3.557,0.777,1.362,1.323,1.344,1.239,0.133,0.059,0.08,0.204,0.2,0.1
2000,1.0,0.003,3.466,0.095,3.557,0.776,1.362,1.322,1.344,1.24,0.133,0.059,0.08,0.204,0.2,0.099
2100,1.0,0.003,3.466,0.096,3.558,0.776,1.362,1.321,1.344,1.24,0.133,0.059,0.08,0.204,0.2,0.099
2200,0.999,0.003,3.466,0.097,3.56,0.776,1.362,1.319,1.344,1.24,0.133,0.059,0.08,0.204,0.2,0.099
2300,1.0,0.003,3.466,0.099,3.561,0.775,1.362,1.318,1.344,1.24,0.133,0.059,0.08,0.204,0.2,0.099
2400,1.0,0.003,3.466,0.1,3.563,0.775,1.362,1.316,1.344,1.24,0.133,0.059,0.08,0.204,0.199,0.099
2500,1.0,0.003,3.466,0.102,3.564,0.774,1.362,1.314,1.343,1.241,0.132,0.059,0.08,0.204,0.199,0.099
2600,1.0,0.003,3.466,0.104,3.566,0.774,1.362,1.313,1.343,1.241,0.132,0.059,0.08,0.204,0.199,0.099
2700,1.0,0.003,3.466,0.106,3.568,0.773,1.362,1.311,1.342,1.241,0.132,0.059,0.08,0.204,0.199,0.099
2800,1.0,0.003,3.466,0.108,3.57,0.772,1.363,1.309,1.342,1.242,0.132,0.059,0.08,0.204,0.198,0.099
2900,1.0,0.003,3.466,0.11,3.573,0.772,1.363,1.307,1.341,1.242,0.132,0.059,0.08,0.204,0.198,0.099
3000,1.0,0.003,3.466,0.113,3.575,0.771,1.363,1.305,1.339,1.243,0.132,0.059,0.08,0.204,0.198,0.099
3100,1.0,0.003,3.466,0.116,3.578,0.77,1.363,1.302,1.338,1.243,0.131,0.059,0.08,0.204,0.197,0.099
3200,1.0,0.003,3.466,0.119,3.582,0.769,1.363,1.3,1.337,1.244,0.131,0.058,0.08,0.204,0.197,0.098
3300,1.0,0.003,3.466,0.123,3.586,0.768,1.363,1.297,1.335,1.244,0.131,0.058,0.08,0.204,0.197,0.098
3400,1.0,0.003,3.466,0.127,3.59,0.767,1.363,1.294,1.333,1.245,0.131,0.058,0.08,0.204,0.196,0.098
3500,1.0,0.003,3.466,0.132,3.595,0.765,1.363,1.29,1.332,1.246,0.13,0.058,0.08,0.204,0.195,0.098
3600,1.0,0.003,3.466,0.137,3.6,0.763,1.363,1.285,1.33,1.246,0.13,0.057,0.08,0.204,0.194,0.097
3700,1.0,0.003,3.466,0.145,3.607,0.761,1.363,1.278,1.328,1.247,0.13,0.057,0.08,0.204,0.193,0.097
3800,1.0,0.003,3.466,0.154,3.617,0.757,1.363,1.269,1.327,1.248,0.129,0.056,0.08,0.204,0.191,0.096
3900,1.0,0.003,3.466,0.165,3.628,0.753,1.363,1.259,1.325,1.248,0.128,0.056,0.08,0.204,0.19,0.096
4000,1.0,0.003,3.466,0.177,3.64,0.749,1.363,1.248,1.323,1.249,0.126,0.055,0.08,0.204,0.188,0.095
4100,1.0,0.003,3.466,0.193,3.655,0.744,1.363,1.234,1.32,1.249,0.125,0.054,0.081,0.205,0.186,0.094
4200,1.0,0.003,3.466,0.213,3.675,0.738,1.363,1.218,1.317,1.25,0.123,0.052,0.081,0.208,0.184,0.092
4300,1.0,0.003,3.466,0.232,3.695,0.737,1.363,1.205,1.309,1.251,0.119,0.049,0.081,0.216,0.186,0.087
4400,1.0,0.003,3.466,0.24,3.703,0.728,1.363,1.192,1.303,1.251,0.117,0.041,0.081,0.226,0.188,0.075
4500,1.0,0.003,3.466,0.245,3.708,0.724,1.363,1.166,1.316,1.252,0.115,0.039,0.081,0.232,0.185,0.07
4600,1.0,0.003,3.466,0.272,3.735,0.721,1.365,1.128,1.32,1.252,0.114,0.039,0.081,0.234,0.182,0.07
4700,1.0,0.003,3.466,0.31,3.773,0.739,1.366,1.071,1.323,1.253,0.117,0.039,0.082,0.249,0.182,0.07
4800,1.0,0.003,3.466,0.314,3.777,0.776,1.366,1.053,1.326,1.253,0.128,0.039,0.081,0.27,0.188,0.07
4900,1.0,0.003,3.466,0.34,3.803,0.771,1.366,1.025,1.329,1.254,0.129,0.039,0.081,0.264,0.187,0.07
