A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.245,0.249,0.243,0.263,0.258,0.236,0.256,0.25,0.25,0.24,0.271,0.239,0.263,0.228,0.269,0.239
0.248,0.231,0.295,0.226,0.135,0.262,0.371,0.233,0.358,0.147,0.267,0.228,0.319,0.165,0.288,0.227
0.25,0.253,0.247,0.249,0.137,0.238,0.388,0.237,0.336,0.161,0.283,0.22,0.347,0.16,0.27,0.224
0.251,0.25,0.25,0.25,0.14,0.234,0.385,0.24,0.339,0.159,0.282,0.22,0.346,0.158,0.274,0.223
0.251,0.25,0.25,0.25,0.144,0.231,0.384,0.242,0.34,0.158,0.282,0.219,0.345,0.157,0.276,0.222
0.25,0.249,0.25,0.25,0.147,0.228,0.383,0.243,0.341,0.157,0.282,0.219,0.345,0.157,0.277,0.221
0.25,0.249,0.25,0.25,0.149,0.226,0.382,0.243,0.341,0.157,0.282,0.219,0.344,0.157,0.278,0.221
0.25,0.249,0.25,0.25,0.151,0.224,0.381,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.279,0.221
0.25,0.249,0.25,0.25,0.153,0.223,0.38,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.279,0.221
0.25,0.249,0.25,0.25,0.154,0.222,0.38,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.279,0.221
0.25,0.249,0.25,0.25,0.154,0.222,0.38,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.155,0.221,0.379,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.155,0.221,0.379,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.156,0.221,0.379,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.156,0.221,0.378,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.157,0.221,0.378,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.157,0.221,0.378,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.28,0.22
0.25,0.249,0.25,0.25,0.157,0.221,0.378,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.281,0.22
0.25,0.249,0.25,0.25,0.158,0.221,0.377,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.281,0.22
0.25,0.249,0.25,0.25,0.158,0.221,0.377,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.281,0.22
0.25,0.249,0.25,0.25,0.158,0.221,0.377,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.159,0.221,0.377,0.244,0.341,0.157,0.282,0.219,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.159,0.221,0.377,0.243,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.159,0.221,0.377,0.243,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.159,0.221,0.377,0.243,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.16,0.221,0.376,0.243,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.22
0.25,0.249,0.251,0.25,0.16,0.221,0.376,0.243,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.16,0.221,0.376,0.242,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.16,0.221,0.376,0.242,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.161,0.221,0.376,0.242,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.161,0.222,0.376,0.242,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.161,0.222,0.376,0.241,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.161,0.222,0.376,0.241,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.162,0.222,0.376,0.241,0.341,0.157,0.282,0.22,0.344,0.156,0.281,0.219
0.251,0.249,0.251,0.25,0.162,0.222,0.376,0.24,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.25,0.162,0.222,0.376,0.24,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.25,0.162,0.222,0.376,0.24,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.25,0.163,0.222,0.376,0.239,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.25,0.163,0.223,0.376,0.239,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.25,0.164,0.223,0.376,0.238,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
0.251,0.249,0.251,0.249,0.164,0.223,0.376,0.237,0.341,0.157,0.282,0.22,0.344,0.155,0.281,0.219
