A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.508,0.492,0.478,0.522,0.423,0.577,0.535,0.465,0.539,0.461,0.51,0.49,0.513,0.487,0.486,0.514
0.501,0.499,0.49,0.51,0.494,0.506,0.498,0.502,0.502,0.498,0.512,0.488,0.499,0.501,0.506,0.494
0.505,0.495,0.487,0.513,0.469,0.531,0.513,0.487,0.499,0.501,0.521,0.479,0.508,0.492,0.489,0.511
0.493,0.507,0.503,0.497,0.471,0.529,0.522,0.478,0.482,0.518,0.503,0.497,0.51,0.49,0.494,0.506
0.476,0.524,0.519,0.481,0.466,0.534,0.5,0.5,0.444,0.556,0.49,0.51,0.504,0.496,0.496,0.504
0.465,0.535,0.548,0.452,0.468,0.532,0.5,0.5,0.445,0.555,0.502,0.498,0.505,0.495,0.496,0.504
0.448,0.552,0.551,0.449,0.469,0.531,0.501,0.499,0.448,0.552,0.512,0.488,0.504,0.496,0.496,0.504
0.444,0.556,0.553,0.447,0.465,0.535,0.502,0.498,0.448,0.552,0.516,0.484,0.504,0.496,0.496,0.504
0.441,0.559,0.552,0.448,0.464,0.536,0.511,0.489,0.446,0.554,0.516,0.484,0.504,0.496,0.496,0.504
0.445,0.555,0.554,0.446,0.458,0.542,0.515,0.485,0.446,0.554,0.516,0.484,0.504,0.496,0.495,0.505
0.438,0.562,0.554,0.446,0.457,0.543,0.516,0.484,0.442,0.558,0.516,0.484,0.504,0.496,0.494,0.506
0.439,0.561,0.554,0.446,0.456,0.544,0.519,0.481,0.44,0.56,0.516,0.484,0.504,0.496,0.49,0.51
0.436,0.564,0.554,0.446,0.455,0.545,0.516,0.484,0.437,0.563,0.516,0.484,0.504,0.496,0.489,0.511
0.437,0.563,0.554,0.446,0.455,0.545,0.516,0.484,0.437,0.563,0.516,0.484,0.508,0.492,0.489,0.511
