A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.316,0.242,0.305,0.137,0.242,0.184,0.262,0.313,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.317,0.242,0.301,0.141,0.242,0.184,0.262,0.313,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.32,0.238,0.301,0.141,0.242,0.188,0.257,0.313,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.321,0.238,0.301,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.187,0.277,0.242,0.293
0.321,0.238,0.301,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.324,0.238,0.298,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.33,0.232,0.297,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.329,0.233,0.297,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.329,0.234,0.297,0.141,0.242,0.188,0.254,0.317,0.219,0.34,0.172,0.27,0.188,0.277,0.242,0.293
0.329,0.234,0.297,0.141,0.238,0.188,0.254,0.32,0.219,0.337,0.172,0.272,0.188,0.277,0.242,0.293
0.329,0.234,0.297,0.141,0.238,0.188,0.254,0.32,0.219,0.336,0.172,0.273,0.192,0.277,0.238,0.293
0.329,0.234,0.297,0.141,0.238,0.187,0.254,0.32,0.219,0.336,0.172,0.273,0.191,0.277,0.238,0.293
0.329,0.234,0.297,0.141,0.238,0.188,0.254,0.32,0.219,0.336,0.172,0.273,0.191,0.273,0.238,0.297
0.329,0.234,0.297,0.141,0.238,0.188,0.254,0.32,0.219,0.336,0.176,0.269,0.195,0.273,0.234,0.297
0.328,0.234,0.297,0.141,0.238,0.188,0.254,0.32,0.223,0.336,0.172,0.269,0.195,0.265,0.234,0.305
0.333,0.23,0.297,0.141,0.238,0.188,0.254,0.32,0.223,0.336,0.172,0.27,0.195,0.266,0.234,0.305
0.333,0.23,0.297,0.141,0.238,0.187,0.254,0.32,0.223,0.336,0.172,0.27,0.195,0.266,0.234,0.305
0.332,0.23,0.297,0.141,0.238,0.187,0.256,0.319,0.223,0.34,0.172,0.265,0.195,0.266,0.234,0.305
0.332,0.23,0.297,0.141,0.236,0.19,0.258,0.316,0.223,0.34,0.172,0.266,0.195,0.266,0.234,0.305
0.332,0.23,0.297,0.141,0.234,0.191,0.258,0.316,0.223,0.34,0.172,0.266,0.195,0.266,0.234,0.305
0.332,0.23,0.297,0.141,0.234,0.191,0.258,0.316,0.223,0.34,0.172,0.266,0.191,0.266,0.238,0.305
0.332,0.23,0.297,0.141,0.234,0.191,0.258,0.317,0.223,0.34,0.172,0.266,0.191,0.266,0.238,0.305
