Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.632,5.544,5.545,5.543,5.544,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
100,0.645,0.648,5.545,0.172,5.069,0.244,0.671,0.668,0.667,0.674,0.671,0.666,0.671,0.668,0.0,0.012,0.001,0.015,0.001,0.013,0.006,0.012,0.001,0.032,0.001,0.003,0.003,0.001,0.0,0.001,0.058,0.002,0.012,0.001,0.014,0.014,0.001,0.024,0.003,0.0,0.017,0.0
200,0.698,0.486,5.545,0.051,5.109,0.218,0.685,0.684,0.68,0.686,0.687,0.681,0.687,0.684,0.0,0.015,0.0,0.01,0.0,0.012,0.007,0.009,0.001,0.019,0.001,0.002,0.004,0.001,0.0,0.0,0.052,0.003,0.011,0.0,0.015,0.013,0.001,0.026,0.001,0.0,0.014,0.0
300,0.714,0.457,5.545,0.038,5.126,0.205,0.686,0.685,0.683,0.688,0.688,0.685,0.687,0.685,0.0,0.014,0.0,0.01,0.0,0.012,0.007,0.007,0.001,0.015,0.001,0.001,0.002,0.001,0.0,0.0,0.049,0.002,0.011,0.001,0.015,0.013,0.001,0.025,0.001,0.0,0.015,0.0
400,0.738,0.412,5.545,0.031,5.164,0.175,0.687,0.685,0.684,0.689,0.689,0.686,0.688,0.685,0.0,0.013,0.0,0.009,0.0,0.01,0.007,0.006,0.001,0.014,0.001,0.001,0.002,0.001,0.0,0.0,0.037,0.003,0.012,0.001,0.01,0.013,0.001,0.017,0.001,0.0,0.015,0.001
500,0.761,0.378,5.545,0.029,5.196,0.15,0.687,0.687,0.685,0.69,0.689,0.687,0.689,0.683,0.0,0.013,0.0,0.009,0.0,0.007,0.005,0.005,0.0,0.013,0.001,0.0,0.001,0.001,0.0,0.0,0.033,0.004,0.011,0.0,0.007,0.01,0.001,0.015,0.0,0.0,0.012,0.0
600,0.769,0.359,5.545,0.024,5.21,0.14,0.687,0.687,0.686,0.69,0.69,0.688,0.689,0.686,0.0,0.011,0.0,0.008,0.0,0.007,0.005,0.004,0.0,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.031,0.004,0.01,0.0,0.007,0.01,0.001,0.013,0.0,0.0,0.012,0.0
700,0.77,0.358,5.545,0.025,5.212,0.139,0.688,0.686,0.686,0.688,0.69,0.688,0.689,0.686,0.0,0.012,0.0,0.008,0.0,0.007,0.005,0.004,0.0,0.011,0.001,0.0,0.001,0.0,0.0,0.0,0.031,0.004,0.01,0.0,0.007,0.009,0.001,0.013,0.0,0.0,0.012,0.0
800,0.778,0.347,5.545,0.024,5.222,0.135,0.688,0.686,0.686,0.69,0.69,0.688,0.688,0.686,0.0,0.012,0.0,0.008,0.0,0.007,0.005,0.004,0.0,0.01,0.001,0.0,0.001,0.001,0.0,0.0,0.031,0.004,0.009,0.001,0.006,0.009,0.001,0.013,0.0,0.0,0.012,0.0
900,0.794,0.32,5.545,0.022,5.247,0.123,0.688,0.688,0.684,0.691,0.69,0.688,0.689,0.686,0.001,0.01,0.0,0.008,0.0,0.007,0.005,0.003,0.001,0.009,0.001,0.0,0.001,0.002,0.0,0.0,0.026,0.004,0.008,0.0,0.005,0.008,0.001,0.012,0.0,0.0,0.012,0.0
1000,0.796,0.315,5.545,0.019,5.249,0.121,0.688,0.688,0.687,0.691,0.69,0.688,0.689,0.686,0.001,0.009,0.0,0.008,0.0,0.007,0.005,0.003,0.001,0.009,0.001,0.0,0.001,0.002,0.0,0.0,0.025,0.004,0.008,0.0,0.005,0.008,0.001,0.012,0.0,0.0,0.012,0.0
1100,0.8,0.309,5.545,0.018,5.254,0.119,0.688,0.689,0.687,0.691,0.691,0.688,0.69,0.686,0.001,0.009,0.0,0.008,0.0,0.006,0.005,0.003,0.001,0.009,0.001,0.0,0.001,0.002,0.0,0.0,0.023,0.004,0.008,0.0,0.005,0.008,0.001,0.011,0.0,0.001,0.012,0.0
1200,0.8,0.309,5.545,0.017,5.254,0.119,0.688,0.689,0.687,0.691,0.691,0.689,0.69,0.687,0.001,0.009,0.0,0.008,0.0,0.006,0.005,0.003,0.001,0.009,0.001,0.0,0.001,0.002,0.0,0.0,0.023,0.004,0.008,0.0,0.005,0.008,0.001,0.011,0.0,0.001,0.012,0.0
1300,0.8,0.309,5.545,0.017,5.254,0.119,0.688,0.689,0.688,0.691,0.691,0.689,0.69,0.687,0.001,0.009,0.0,0.008,0.0,0.006,0.005,0.003,0.001,0.009,0.001,0.0,0.001,0.002,0.0,0.0,0.023,0.004,0.008,0.0,0.005,0.008,0.001,0.011,0.0,0.001,0.012,0.0
1400,0.804,0.303,5.545,0.017,5.259,0.115,0.688,0.689,0.688,0.691,0.691,0.689,0.69,0.687,0.001,0.009,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.002,0.0,0.0,0.024,0.003,0.008,0.0,0.005,0.007,0.001,0.011,0.0,0.001,0.011,0.0
1500,0.808,0.297,5.545,0.016,5.264,0.114,0.688,0.689,0.688,0.691,0.691,0.689,0.69,0.688,0.001,0.009,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.001,0.0,0.0,0.024,0.003,0.009,0.001,0.005,0.006,0.001,0.011,0.0,0.001,0.011,0.0
1600,0.812,0.292,5.545,0.015,5.269,0.111,0.688,0.689,0.688,0.691,0.691,0.689,0.69,0.688,0.001,0.008,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.001,0.0,0.0,0.022,0.003,0.009,0.001,0.005,0.006,0.001,0.011,0.0,0.001,0.011,0.0
1700,0.812,0.291,5.545,0.015,5.269,0.111,0.688,0.689,0.689,0.691,0.691,0.689,0.69,0.688,0.001,0.008,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.001,0.0,0.0,0.022,0.003,0.009,0.001,0.005,0.006,0.001,0.011,0.0,0.001,0.011,0.0
1800,0.812,0.291,5.545,0.015,5.269,0.111,0.688,0.689,0.689,0.691,0.691,0.689,0.69,0.688,0.001,0.008,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.001,0.0,0.0,0.022,0.003,0.009,0.001,0.005,0.006,0.001,0.011,0.0,0.001,0.011,0.0
1900,0.812,0.291,5.534,0.015,5.269,0.111,0.688,0.689,0.689,0.691,0.691,0.689,0.69,0.688,0.001,0.008,0.0,0.008,0.0,0.006,0.004,0.003,0.001,0.009,0.001,0.0,0.0,0.001,0.0,0.0,0.022,0.003,0.009,0.001,0.005,0.006,0.001,0.011,0.0,0.001,0.011,0.0
