A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.477,0.523,0.523,0.477,0.509,0.491,0.518,0.482,0.48,0.52,0.489,0.511,0.499,0.501,0.479,0.521
0.523,0.477,0.53,0.47,0.528,0.472,0.458,0.542,0.487,0.513,0.511,0.489,0.466,0.534,0.489,0.511
0.504,0.496,0.546,0.454,0.538,0.462,0.447,0.553,0.503,0.497,0.479,0.521,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.538,0.462,0.455,0.545,0.502,0.498,0.488,0.512,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.526,0.474,0.454,0.546,0.501,0.499,0.48,0.52,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.523,0.477,0.454,0.546,0.501,0.499,0.478,0.522,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.523,0.477,0.454,0.546,0.501,0.499,0.457,0.543,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.523,0.477,0.454,0.546,0.501,0.499,0.453,0.547,0.461,0.539,0.508,0.492
0.485,0.515,0.547,0.453,0.523,0.477,0.454,0.546,0.5,0.5,0.453,0.547,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.453,0.547,0.5,0.5,0.453,0.547,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.445,0.555,0.5,0.5,0.453,0.547,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.523,0.477,0.445,0.555,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.547,0.453,0.523,0.477,0.446,0.554,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.445,0.555,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.454,0.546,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.454,0.546,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.454,0.546,0.5,0.5,0.452,0.548,0.461,0.539,0.508,0.492
0.492,0.508,0.547,0.453,0.523,0.477,0.462,0.538,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.492,0.508,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.5,0.5,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.499,0.501,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.499,0.501,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.499,0.501,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.461,0.539,0.499,0.501,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.555,0.445,0.523,0.477,0.453,0.547,0.498,0.502,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.548,0.452,0.523,0.477,0.454,0.546,0.495,0.505,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.491,0.509,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.491,0.509,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.49,0.51,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.489,0.511,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.484,0.516,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.478,0.522,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.547,0.453,0.524,0.476,0.454,0.546,0.477,0.523,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.454,0.546,0.477,0.523,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.455,0.545,0.476,0.524,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.458,0.542,0.476,0.524,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.462,0.538,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
0.484,0.516,0.539,0.461,0.524,0.476,0.461,0.539,0.476,0.524,0.461,0.539,0.461,0.539,0.508,0.492
