A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.274,0.236,0.233,0.257,0.224,0.232,0.296,0.247,0.242,0.262,0.243,0.253,0.246,0.265,0.228,0.261
0.333,0.221,0.268,0.178,0.302,0.244,0.207,0.246,0.205,0.234,0.199,0.363,0.174,0.251,0.226,0.35
0.318,0.24,0.224,0.218,0.307,0.291,0.187,0.214,0.2,0.232,0.225,0.343,0.182,0.304,0.234,0.279
0.34,0.211,0.236,0.213,0.252,0.313,0.209,0.226,0.233,0.235,0.249,0.284,0.191,0.325,0.256,0.229
0.333,0.219,0.232,0.216,0.24,0.321,0.218,0.22,0.246,0.224,0.242,0.288,0.211,0.319,0.258,0.212
0.33,0.219,0.234,0.217,0.239,0.319,0.215,0.227,0.251,0.218,0.237,0.293,0.216,0.315,0.257,0.212
0.329,0.218,0.234,0.219,0.243,0.328,0.217,0.212,0.255,0.219,0.234,0.292,0.217,0.314,0.258,0.211
0.328,0.219,0.234,0.219,0.243,0.329,0.222,0.207,0.256,0.219,0.227,0.297,0.214,0.316,0.258,0.212
0.328,0.219,0.234,0.219,0.243,0.328,0.223,0.205,0.257,0.219,0.227,0.297,0.206,0.32,0.258,0.216
0.328,0.219,0.234,0.219,0.243,0.328,0.225,0.204,0.257,0.219,0.226,0.298,0.203,0.321,0.257,0.219
0.327,0.219,0.234,0.219,0.243,0.33,0.225,0.202,0.257,0.219,0.219,0.305,0.202,0.322,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.225,0.196,0.257,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.225,0.196,0.257,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.226,0.196,0.257,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.226,0.196,0.257,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.226,0.196,0.257,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.219,0.234,0.219,0.243,0.336,0.226,0.195,0.258,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.335,0.219,0.226,0.219,0.243,0.336,0.226,0.195,0.258,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.335,0.219,0.227,0.219,0.243,0.336,0.226,0.195,0.258,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.335,0.219,0.227,0.219,0.243,0.336,0.226,0.195,0.258,0.219,0.219,0.305,0.195,0.328,0.257,0.219
0.328,0.227,0.227,0.219,0.25,0.336,0.226,0.188,0.266,0.219,0.219,0.296,0.195,0.329,0.257,0.219
0.318,0.236,0.226,0.219,0.251,0.336,0.226,0.187,0.266,0.219,0.219,0.297,0.195,0.33,0.258,0.218
