Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.627,5.545,5.545,5.531,5.531,0.0,0.0,0.0,0.0
100,0.599,5.34,5.545,5.246,5.451,0.016,0.112,0.117,0.016
200,0.415,4.265,5.545,3.523,4.804,0.529,0.875,0.945,0.529
300,0.273,3.637,5.545,2.071,3.979,1.175,1.525,1.562,1.175
400,0.217,3.368,5.545,1.476,3.653,1.442,1.817,1.804,1.442
500,0.19,3.168,5.545,1.092,3.47,1.57,1.99,1.96,1.57
600,0.179,2.965,5.545,0.787,3.367,1.568,2.088,2.062,1.568
700,0.166,2.75,5.545,0.478,3.273,1.554,2.186,2.165,1.554
800,0.164,2.583,5.545,0.311,3.273,1.56,2.3,2.224,1.56
900,0.171,2.436,5.545,0.163,3.272,1.542,2.408,2.245,1.542
1000,0.178,2.377,5.545,0.112,3.279,1.525,2.432,2.262,1.525
1100,0.182,2.344,5.545,0.101,3.303,1.504,2.438,2.268,1.504
1200,0.186,2.319,5.545,0.085,3.31,1.491,2.445,2.272,1.491
1300,0.192,2.295,5.545,0.076,3.326,1.479,2.448,2.281,1.479
1400,0.194,2.283,5.545,0.069,3.331,1.467,2.447,2.283,1.467
1500,0.205,2.243,5.545,0.079,3.381,1.408,2.439,2.272,1.408
1600,0.212,2.202,5.529,0.057,3.4,1.386,2.448,2.282,1.386
1700,0.213,2.193,5.534,0.048,3.4,1.384,2.45,2.287,1.384
1800,0.216,2.182,5.513,0.048,3.411,1.369,2.449,2.283,1.369
1900,0.216,2.178,5.502,0.045,3.412,1.368,2.45,2.285,1.368
2000,0.217,2.176,5.45,0.045,3.414,1.366,2.45,2.286,1.366
2100,0.22,2.162,5.435,0.043,3.426,1.353,2.45,2.286,1.353
2200,0.221,2.16,5.346,0.043,3.428,1.351,2.45,2.286,1.351
2300,0.224,2.145,5.268,0.044,3.444,1.337,2.45,2.287,1.337
2400,0.225,2.143,5.234,0.041,3.443,1.337,2.452,2.287,1.337
2500,0.225,2.143,5.061,0.042,3.444,1.336,2.452,2.287,1.336
2600,0.232,2.123,4.826,0.058,3.48,1.307,2.448,2.281,1.307
2700,0.233,2.114,5.061,0.04,3.471,1.312,2.453,2.29,1.312
2800,0.24,2.093,4.824,0.041,3.492,1.283,2.452,2.283,1.283
2900,0.24,2.09,4.69,0.037,3.492,1.283,2.454,2.285,1.283
3000,0.24,2.089,4.635,0.037,3.493,1.283,2.454,2.285,1.283
3100,0.242,2.087,4.483,0.042,3.501,1.275,2.45,2.284,1.275
3200,0.249,2.062,4.522,0.04,3.524,1.25,2.45,2.283,1.25
3300,0.255,2.04,4.347,0.034,3.539,1.232,2.453,2.284,1.232
3400,0.255,2.039,4.483,0.033,3.539,1.232,2.453,2.284,1.232
3500,0.255,2.039,4.177,0.033,3.54,1.231,2.453,2.284,1.231
3600,0.259,2.035,4.231,0.034,3.545,1.218,2.453,2.275,1.218
3700,0.259,2.033,4.146,0.032,3.545,1.217,2.454,2.276,1.217
3800,0.259,2.033,4.101,0.032,3.545,1.217,2.454,2.276,1.217
3900,0.26,2.032,4.214,0.032,3.545,1.217,2.454,2.276,1.217
4000,0.259,2.032,4.045,0.032,3.546,1.217,2.454,2.276,1.217
4100,0.26,2.032,4.194,0.032,3.546,1.216,2.454,2.276,1.216
4200,0.259,2.032,4.083,0.032,3.546,1.216,2.454,2.276,1.216
4300,0.259,2.032,4.04,0.033,3.546,1.216,2.454,2.276,1.216
4400,0.259,2.031,3.904,0.033,3.546,1.216,2.454,2.276,1.216
4500,0.26,2.031,3.859,0.033,3.547,1.215,2.453,2.276,1.215
4600,0.26,2.031,3.889,0.033,3.547,1.215,2.453,2.276,1.215
4700,0.263,2.022,3.918,0.032,3.556,1.204,2.454,2.274,1.204
4800,0.263,2.021,3.938,0.032,3.556,1.203,2.454,2.274,1.203
4900,0.264,2.021,3.884,0.033,3.557,1.203,2.453,2.274,1.203
5000,0.263,2.021,3.822,0.033,3.557,1.203,2.453,2.273,1.203
5100,0.264,2.021,3.84,0.033,3.557,1.203,2.453,2.273,1.203
5200,0.263,2.021,3.903,0.033,3.558,1.202,2.453,2.273,1.202
5300,0.267,2.008,3.958,0.031,3.568,1.188,2.454,2.271,1.188
5400,0.27,2.002,3.846,0.041,3.583,1.174,2.448,2.27,1.174
5500,0.271,1.993,3.931,0.031,3.584,1.176,2.457,2.271,1.176
5600,0.272,1.992,3.845,0.031,3.584,1.175,2.457,2.271,1.175
5700,0.275,1.98,3.762,0.034,3.599,1.16,2.452,2.272,1.16
5800,0.275,1.98,3.734,0.031,3.596,1.163,2.456,2.272,1.163
5900,0.274,1.98,3.729,0.03,3.596,1.163,2.457,2.272,1.163
6000,0.275,1.98,3.675,0.03,3.596,1.163,2.457,2.271,1.163
6100,0.275,1.98,3.739,0.03,3.596,1.163,2.457,2.271,1.163
6200,0.275,1.98,3.712,0.031,3.596,1.163,2.457,2.271,1.163
6300,0.279,1.967,3.781,0.03,3.608,1.148,2.457,2.269,1.148
6400,0.279,1.967,3.77,0.03,3.608,1.148,2.457,2.269,1.148
6500,0.279,1.967,3.647,0.03,3.608,1.148,2.457,2.269,1.148
6600,0.279,1.967,3.72,0.03,3.608,1.148,2.457,2.269,1.148
6700,0.279,1.967,3.66,0.03,3.609,1.147,2.457,2.269,1.147
6800,0.279,1.967,3.66,0.031,3.609,1.147,2.457,2.269,1.147
6900,0.279,1.967,3.646,0.031,3.609,1.147,2.457,2.269,1.147
