Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.945,3.459,3.466,5.524,5.53,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
100,0.926,0.658,3.466,1.739,4.546,0.469,0.47,0.469,0.403,0.495,0.458,0.424,0.445,0.477,0.002,0.001,0.001,0.027,0.009,0.001,0.025,0.01,0.032,0.013,0.002,0.024,0.023,0.009,0.0,0.032,0.01,0.021,0.047,0.011,0.0,0.022,0.047,0.038,0.005,0.004,0.042,0.012
200,0.97,0.093,3.466,0.483,3.855,0.528,0.643,0.596,0.53,0.649,0.603,0.583,0.602,0.587,0.002,0.003,0.014,0.018,0.013,0.0,0.036,0.018,0.062,0.017,0.006,0.01,0.026,0.01,0.0,0.018,0.012,0.015,0.033,0.005,0.0,0.02,0.052,0.099,0.004,0.003,0.02,0.011
300,0.998,0.023,3.466,0.315,3.758,0.516,0.663,0.611,0.544,0.663,0.621,0.619,0.616,0.604,0.006,0.005,0.015,0.019,0.015,0.0,0.039,0.013,0.041,0.026,0.02,0.003,0.015,0.011,0.0,0.014,0.013,0.016,0.032,0.007,0.0,0.02,0.054,0.1,0.005,0.002,0.015,0.012
400,0.999,0.013,3.466,0.243,3.695,0.522,0.67,0.621,0.549,0.669,0.629,0.631,0.627,0.612,0.005,0.005,0.016,0.02,0.015,0.001,0.04,0.013,0.039,0.026,0.021,0.002,0.014,0.011,0.0,0.013,0.012,0.016,0.032,0.008,0.0,0.02,0.055,0.106,0.006,0.002,0.014,0.011
500,0.999,0.009,3.466,0.204,3.66,0.522,0.674,0.626,0.552,0.672,0.633,0.637,0.633,0.616,0.005,0.005,0.016,0.02,0.015,0.001,0.04,0.012,0.037,0.024,0.021,0.002,0.013,0.011,0.0,0.013,0.012,0.016,0.032,0.008,0.0,0.02,0.056,0.109,0.006,0.002,0.014,0.011
600,1.0,0.007,3.466,0.178,3.637,0.521,0.676,0.631,0.553,0.674,0.636,0.641,0.636,0.619,0.004,0.005,0.016,0.021,0.015,0.001,0.04,0.012,0.036,0.023,0.021,0.002,0.013,0.011,0.0,0.012,0.012,0.016,0.032,0.008,0.0,0.02,0.056,0.111,0.006,0.002,0.013,0.011
700,1.0,0.006,3.466,0.161,3.621,0.521,0.678,0.635,0.554,0.676,0.638,0.644,0.639,0.621,0.004,0.005,0.017,0.021,0.015,0.001,0.04,0.012,0.035,0.022,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.016,0.032,0.008,0.0,0.02,0.056,0.113,0.006,0.002,0.013,0.011
800,1.0,0.005,3.466,0.148,3.609,0.52,0.679,0.638,0.555,0.676,0.639,0.645,0.64,0.622,0.004,0.006,0.017,0.021,0.015,0.001,0.04,0.012,0.035,0.022,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.016,0.032,0.008,0.0,0.02,0.057,0.114,0.006,0.002,0.013,0.011
900,1.0,0.004,3.466,0.139,3.6,0.52,0.68,0.64,0.555,0.677,0.64,0.646,0.642,0.623,0.004,0.006,0.017,0.021,0.015,0.001,0.04,0.012,0.034,0.021,0.02,0.002,0.012,0.011,-0.0,0.012,0.012,0.017,0.032,0.008,0.0,0.02,0.057,0.114,0.006,0.002,0.013,0.011
1000,1.0,0.004,3.466,0.132,3.594,0.52,0.68,0.642,0.555,0.678,0.641,0.647,0.643,0.624,0.003,0.006,0.017,0.021,0.016,0.001,0.041,0.011,0.034,0.021,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.017,0.032,0.008,0.0,0.019,0.057,0.115,0.006,0.002,0.013,0.011
1100,1.0,0.004,3.466,0.127,3.589,0.52,0.68,0.644,0.556,0.678,0.641,0.648,0.643,0.624,0.003,0.006,0.017,0.021,0.016,0.001,0.041,0.011,0.034,0.021,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.017,0.032,0.008,0.0,0.019,0.057,0.116,0.007,0.002,0.013,0.011
1200,1.0,0.004,3.466,0.123,3.585,0.52,0.681,0.645,0.556,0.678,0.642,0.648,0.644,0.625,0.003,0.006,0.017,0.021,0.016,0.001,0.041,0.011,0.033,0.021,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.017,0.032,0.008,0.0,0.019,0.057,0.116,0.007,0.002,0.013,0.011
1300,1.0,0.003,3.466,0.12,3.583,0.52,0.681,0.646,0.556,0.678,0.642,0.649,0.644,0.625,0.003,0.006,0.017,0.021,0.016,0.001,0.04,0.011,0.033,0.021,0.02,0.002,0.012,0.011,0.0,0.012,0.012,0.017,0.032,0.008,0.0,0.019,0.057,0.116,0.007,0.002,0.013,0.011
