Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.783,4.85,4.852,5.519,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.762,4.325,4.852,4.952,5.48,0.074,0.072,0.052,0.052,0.101,0.065,0.071,0.082,0.115,0.002,0.0,0.0,0.005,0.003,0.008,0.0,0.0,0.0,0.001,0.003,0.004,0.0,0.004,0.001,0.0,0.0,0.008,0.001,0.001,0.001,0.009,0.004,0.006,0.003,0.004,0.001,0.003
200,0.579,2.902,4.852,2.813,4.762,0.901,0.326,0.315,0.318,0.363,0.311,0.359,0.344,0.4,0.022,0.0,0.0,0.083,0.018,0.108,0.0,0.006,0.025,0.02,0.052,0.057,0.001,0.039,0.011,0.001,0.002,0.142,0.0,0.049,0.001,0.035,0.071,0.086,0.016,0.035,0.007,0.013
300,0.55,1.809,4.852,1.446,4.489,0.977,0.493,0.533,0.482,0.553,0.478,0.527,0.497,0.531,0.01,0.0,0.001,0.09,0.01,0.131,0.0,0.014,0.017,0.002,0.025,0.054,0.001,0.027,0.017,0.01,0.0,0.197,0.0,0.067,0.002,0.03,0.114,0.078,0.017,0.035,0.014,0.015
400,0.58,1.13,4.852,0.669,4.391,0.949,0.593,0.632,0.585,0.639,0.588,0.627,0.595,0.608,0.009,0.001,0.0,0.075,0.007,0.132,0.0,0.015,0.016,0.0,0.019,0.048,0.001,0.029,0.018,0.012,0.0,0.189,0.0,0.071,0.001,0.032,0.109,0.077,0.019,0.034,0.017,0.018
500,0.606,0.881,4.852,0.386,4.357,0.902,0.637,0.658,0.631,0.663,0.636,0.656,0.627,0.638,0.008,0.001,0.001,0.066,0.007,0.122,0.0,0.012,0.017,0.0,0.019,0.045,0.001,0.029,0.013,0.013,0.0,0.179,0.0,0.071,0.001,0.032,0.104,0.075,0.019,0.032,0.017,0.018
600,0.616,0.778,4.852,0.273,4.348,0.88,0.655,0.668,0.647,0.673,0.655,0.667,0.643,0.65,0.006,0.001,0.001,0.062,0.008,0.123,0.0,0.012,0.017,0.0,0.021,0.042,0.001,0.028,0.012,0.011,0.0,0.177,0.0,0.077,0.002,0.032,0.098,0.071,0.02,0.026,0.015,0.016
700,0.653,0.68,4.852,0.224,4.396,0.808,0.664,0.672,0.644,0.677,0.665,0.675,0.651,0.659,0.006,0.001,0.001,0.06,0.008,0.111,0.001,0.011,0.017,0.0,0.021,0.035,0.001,0.027,0.012,0.011,0.0,0.148,0.0,0.078,0.002,0.027,0.097,0.063,0.019,0.02,0.013,0.018
800,0.674,0.611,4.852,0.178,4.419,0.774,0.666,0.675,0.654,0.681,0.67,0.679,0.66,0.671,0.006,0.001,0.001,0.061,0.009,0.108,0.001,0.006,0.017,0.0,0.021,0.034,0.001,0.019,0.01,0.014,0.0,0.129,0.0,0.078,0.002,0.028,0.097,0.064,0.018,0.02,0.012,0.02
900,0.691,0.569,4.852,0.154,4.437,0.748,0.668,0.678,0.659,0.682,0.672,0.681,0.663,0.676,0.004,0.001,0.0,0.064,0.01,0.1,0.001,0.004,0.017,0.0,0.021,0.034,0.001,0.015,0.008,0.013,0.0,0.116,0.0,0.078,0.002,0.028,0.096,0.064,0.018,0.02,0.012,0.02
1000,0.724,0.506,4.852,0.139,4.485,0.688,0.675,0.679,0.667,0.684,0.668,0.682,0.657,0.678,0.002,0.002,0.0,0.05,0.006,0.087,0.003,0.002,0.017,-0.0,0.021,0.031,0.001,0.013,0.005,0.015,0.0,0.106,0.0,0.078,0.001,0.028,0.088,0.064,0.015,0.023,0.012,0.017
1100,0.734,0.48,4.852,0.113,4.486,0.664,0.677,0.68,0.671,0.685,0.672,0.684,0.667,0.679,0.002,0.002,0.0,0.046,0.006,0.083,0.003,0.002,0.017,0.0,0.021,0.03,0.001,0.012,0.003,0.015,0.0,0.106,0.0,0.078,0.001,0.028,0.082,0.058,0.013,0.024,0.012,0.018
1200,0.743,0.467,4.852,0.115,4.5,0.644,0.679,0.681,0.673,0.686,0.662,0.684,0.668,0.681,0.002,0.002,0.0,0.041,0.007,0.08,0.003,0.002,0.017,0.0,0.021,0.029,0.001,0.012,0.002,0.015,0.0,0.105,0.0,0.078,0.001,0.028,0.075,0.054,0.011,0.024,0.012,0.019
1300,0.772,0.408,4.852,0.094,4.538,0.597,0.68,0.681,0.674,0.687,0.672,0.685,0.676,0.681,0.002,0.003,0.0,0.046,0.006,0.067,0.003,0.001,0.017,0.0,0.021,0.022,0.001,0.01,0.001,0.013,0.0,0.097,0.0,0.078,0.001,0.028,0.07,0.04,0.009,0.024,0.012,0.025
1400,0.773,0.401,4.852,0.083,4.533,0.597,0.681,0.682,0.676,0.687,0.675,0.686,0.679,0.682,0.002,0.003,0.0,0.046,0.006,0.067,0.003,0.001,0.017,0.0,0.021,0.022,0.001,0.01,0.001,0.013,0.0,0.097,0.0,0.078,0.001,0.028,0.07,0.039,0.009,0.024,0.012,0.025
1500,0.774,0.398,4.852,0.077,4.531,0.596,0.681,0.682,0.677,0.687,0.676,0.686,0.68,0.683,0.002,0.003,0.0,0.046,0.006,0.067,0.003,0.001,0.017,0.0,0.021,0.022,0.001,0.01,0.001,0.012,0.0,0.097,0.0,0.078,0.001,0.028,0.07,0.039,0.008,0.024,0.012,0.025
1600,0.781,0.379,4.852,0.073,4.546,0.576,0.681,0.683,0.678,0.688,0.677,0.687,0.682,0.683,0.002,0.003,0.0,0.046,0.006,0.06,0.003,0.001,0.017,0.0,0.021,0.018,0.001,0.01,0.001,0.012,0.0,0.097,0.0,0.078,0.002,0.028,0.07,0.035,0.008,0.021,0.012,0.022
1700,0.781,0.377,4.852,0.07,4.545,0.576,0.682,0.683,0.679,0.688,0.677,0.687,0.682,0.684,0.002,0.003,0.0,0.046,0.006,0.06,0.003,0.001,0.017,0.0,0.021,0.018,0.001,0.01,0.001,0.012,0.0,0.097,0.0,0.078,0.002,0.028,0.07,0.035,0.008,0.021,0.012,0.021
1800,0.789,0.366,4.852,0.066,4.552,0.572,0.682,0.683,0.68,0.688,0.677,0.687,0.684,0.684,0.002,0.003,0.0,0.046,0.006,0.054,0.003,0.001,0.017,0.0,0.021,0.015,0.001,0.01,0.001,0.012,0.0,0.097,0.0,0.078,0.001,0.028,0.07,0.04,0.008,0.024,0.012,0.018
1900,0.792,0.363,4.852,0.068,4.557,0.569,0.682,0.683,0.68,0.688,0.674,0.687,0.685,0.684,0.002,0.003,0.0,0.049,0.006,0.054,0.003,0.001,0.017,0.0,0.021,0.015,0.001,0.01,0.001,0.012,0.0,0.097,0.0,0.078,0.001,0.028,0.068,0.038,0.007,0.024,0.012,0.018
2000,0.796,0.353,4.852,0.061,4.56,0.564,0.683,0.683,0.68,0.688,0.68,0.687,0.686,0.684,0.002,0.003,0.0,0.051,0.006,0.054,0.003,0.001,0.017,0.001,0.021,0.015,0.001,0.01,0.0,0.012,0.0,0.097,0.001,0.078,0.001,0.028,0.065,0.035,0.006,0.024,0.012,0.018
2100,0.805,0.343,4.852,0.061,4.57,0.563,0.683,0.683,0.68,0.688,0.681,0.687,0.686,0.685,0.002,0.003,0.0,0.051,0.006,0.054,0.004,0.001,0.017,0.001,0.021,0.015,0.002,0.01,0.0,0.012,0.0,0.09,0.001,0.078,0.001,0.024,0.065,0.035,0.008,0.024,0.015,0.021
