A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.497,0.503,0.499,0.501,0.499,0.501,0.505,0.495,0.505,0.495,0.489,0.511,0.495,0.505,0.513,0.487
0.521,0.479,0.564,0.436,0.485,0.515,0.454,0.546,0.591,0.409,0.476,0.524,0.471,0.529,0.441,0.559
0.516,0.484,0.562,0.438,0.504,0.496,0.476,0.524,0.592,0.408,0.484,0.516,0.469,0.531,0.441,0.559
0.516,0.484,0.562,0.438,0.507,0.493,0.493,0.507,0.585,0.415,0.484,0.516,0.469,0.531,0.442,0.558
0.516,0.484,0.562,0.438,0.515,0.485,0.493,0.507,0.585,0.415,0.484,0.516,0.469,0.531,0.443,0.557
0.516,0.484,0.562,0.438,0.515,0.485,0.493,0.507,0.586,0.414,0.484,0.516,0.469,0.531,0.444,0.556
0.516,0.484,0.563,0.437,0.516,0.484,0.492,0.508,0.586,0.414,0.484,0.516,0.469,0.531,0.445,0.555
0.515,0.485,0.563,0.437,0.516,0.484,0.492,0.508,0.578,0.422,0.492,0.508,0.469,0.531,0.445,0.555
0.516,0.484,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.445,0.555
0.516,0.484,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.445,0.555
0.516,0.484,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.438,0.562
0.516,0.484,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.516,0.484,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.492,0.508,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.491,0.509,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.486,0.514,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.486,0.514,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.488,0.512,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.493,0.507,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.494,0.506,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.497,0.503,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.5,0.5,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
0.515,0.485,0.555,0.445,0.516,0.484,0.501,0.499,0.578,0.422,0.5,0.5,0.469,0.531,0.437,0.563
