0,0.879,4.156,9.685,5.529,4.159,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.826,3.539,8.817,5.279,4.159,0.105,0.131,0.16,0.111,0.133,0.042,0.041,0.185,0.013,0.016,0.006,0.018,0.001,0.0,0.03,0.035,0.022,0.027,0.001,0.002,0.033,0.026,0.035,0.001,0.001,0.042,0.019,0.002,0.003,0.018,0.0,0.001,0.04,0.001,0.0,0.0
200,0.589,2.509,6.771,4.262,4.159,0.369,0.36,0.392,0.33,0.369,0.342,0.363,0.406,0.017,0.023,0.001,0.081,0.094,0.022,0.168,0.169,0.131,0.134,0.015,0.032,0.074,0.108,0.172,0.014,0.003,0.102,0.059,0.065,0.07,0.014,0.0,0.0,0.172,0.061,0.026,0.006
300,0.51,1.879,5.68,3.801,4.159,0.485,0.463,0.497,0.454,0.457,0.548,0.595,0.504,0.012,0.018,0.001,0.098,0.15,0.016,0.258,0.2,0.23,0.141,0.017,0.059,0.05,0.142,0.225,0.026,0.0,0.089,0.071,0.07,0.101,0.008,0.0,0.001,0.208,0.044,0.044,0.011
400,0.488,1.455,5.061,3.606,4.159,0.567,0.537,0.57,0.568,0.531,0.616,0.654,0.57,0.011,0.023,0.0,0.115,0.142,0.009,0.301,0.197,0.313,0.129,0.022,0.079,0.035,0.139,0.25,0.029,0.001,0.091,0.076,0.059,0.113,0.007,0.0,0.001,0.233,0.042,0.042,0.011
500,0.529,1.088,4.631,3.542,4.159,0.63,0.619,0.634,0.638,0.591,0.649,0.67,0.615,0.012,0.018,0.0,0.107,0.152,0.009,0.305,0.223,0.286,0.122,0.015,0.081,0.043,0.132,0.218,0.023,0.002,0.079,0.058,0.046,0.13,0.006,0.0,0.005,0.253,0.037,0.037,0.009
600,0.533,0.959,4.445,3.486,4.159,0.653,0.654,0.662,0.661,0.617,0.663,0.677,0.641,0.012,0.018,0.0,0.104,0.154,0.009,0.312,0.229,0.286,0.121,0.016,0.083,0.043,0.132,0.214,0.022,0.002,0.079,0.058,0.045,0.132,0.007,0.0,0.006,0.261,0.038,0.037,0.008
700,0.568,0.877,4.42,3.543,4.159,0.66,0.666,0.67,0.668,0.565,0.669,0.681,0.653,0.011,0.017,0.0,0.086,0.155,0.009,0.315,0.231,0.286,0.115,0.017,0.083,0.042,0.133,0.166,0.022,0.002,0.078,0.059,0.045,0.132,0.007,0.0,0.001,0.224,0.038,0.037,0.008
800,0.622,0.739,4.352,3.613,4.159,0.649,0.672,0.676,0.673,0.592,0.672,0.683,0.66,0.007,0.011,0.0,0.06,0.141,0.012,0.288,0.231,0.286,0.08,0.017,0.084,0.041,0.133,0.121,0.022,0.002,0.076,0.053,0.044,0.133,0.007,0.0,0.003,0.184,0.038,0.038,0.008
900,0.625,0.709,4.312,3.603,4.159,0.657,0.675,0.679,0.674,0.61,0.674,0.685,0.666,0.007,0.01,0.0,0.056,0.14,0.013,0.29,0.231,0.285,0.08,0.017,0.084,0.041,0.134,0.121,0.022,0.002,0.075,0.053,0.044,0.132,0.007,0.0,0.004,0.182,0.038,0.038,0.008
1000,0.655,0.647,4.307,3.66,4.159,0.657,0.675,0.68,0.67,0.618,0.674,0.685,0.668,0.006,0.01,0.0,0.055,0.139,0.012,0.289,0.23,0.229,0.079,0.017,0.084,0.041,0.131,0.121,0.022,0.002,0.075,0.067,0.025,0.098,0.016,0.0,0.005,0.181,0.038,0.038,0.008
1100,0.672,0.6,4.302,3.702,4.159,0.654,0.676,0.68,0.677,0.62,0.675,0.686,0.662,0.006,0.009,0.001,0.055,0.137,0.011,0.264,0.23,0.229,0.079,0.017,0.084,0.032,0.13,0.12,0.022,0.002,0.064,0.067,0.025,0.098,0.012,0.0,0.005,0.167,0.038,0.046,0.012
1200,0.687,0.568,4.281,3.713,4.159,0.657,0.677,0.681,0.676,0.625,0.676,0.686,0.672,0.006,0.009,0.0,0.054,0.137,0.011,0.265,0.23,0.205,0.078,0.017,0.084,0.032,0.113,0.119,0.022,0.002,0.064,0.051,0.031,0.084,0.008,0.0,0.005,0.169,0.038,0.046,0.012
1300,0.687,0.563,4.268,3.706,4.159,0.658,0.678,0.682,0.682,0.628,0.676,0.687,0.673,0.005,0.008,0.0,0.054,0.136,0.011,0.263,0.23,0.207,0.077,0.017,0.084,0.032,0.113,0.118,0.022,0.002,0.064,0.052,0.031,0.084,0.008,0.0,0.006,0.169,0.038,0.045,0.012
1400,0.688,0.559,4.261,3.701,4.159,0.66,0.678,0.683,0.683,0.63,0.676,0.688,0.674,0.005,0.008,0.0,0.055,0.135,0.01,0.26,0.23,0.207,0.077,0.017,0.084,0.032,0.112,0.118,0.022,0.002,0.064,0.052,0.031,0.085,0.008,0.0,0.006,0.169,0.038,0.045,0.012
1500,0.688,0.557,4.255,3.698,4.159,0.661,0.679,0.683,0.684,0.632,0.677,0.688,0.674,0.004,0.007,0.0,0.055,0.133,0.01,0.258,0.23,0.207,0.077,0.017,0.084,0.032,0.112,0.118,0.022,0.002,0.064,0.052,0.031,0.085,0.008,0.0,0.006,0.17,0.038,0.045,0.012
1600,0.688,0.556,4.251,3.695,4.159,0.663,0.679,0.683,0.685,0.633,0.677,0.688,0.675,0.004,0.007,0.0,0.055,0.132,0.009,0.256,0.23,0.207,0.076,0.017,0.084,0.032,0.112,0.117,0.022,0.002,0.064,0.052,0.031,0.085,0.008,0.0,0.006,0.17,0.038,0.045,0.012
1700,0.704,0.513,4.249,3.736,4.159,0.662,0.679,0.685,0.685,0.634,0.677,0.688,0.675,0.004,0.004,0.0,0.055,0.131,0.009,0.254,0.207,0.207,0.076,0.017,0.084,0.032,0.098,0.106,0.017,0.0,0.052,0.051,0.031,0.084,0.008,0.0,0.006,0.17,0.038,0.045,0.012
1800,0.735,0.452,4.245,3.793,4.159,0.658,0.68,0.686,0.684,0.637,0.677,0.689,0.675,0.001,0.001,0.001,0.043,0.117,0.005,0.232,0.207,0.187,0.076,0.017,0.084,0.032,0.085,0.105,0.017,0.0,0.051,0.044,0.041,0.072,0.004,0.0,0.006,0.17,0.038,0.045,0.012
1900,0.74,0.444,4.252,3.808,4.159,0.651,0.678,0.686,0.688,0.637,0.677,0.689,0.675,0.001,0.001,0.0,0.039,0.111,0.004,0.223,0.206,0.186,0.075,0.017,0.084,0.032,0.084,0.105,0.017,0.0,0.051,0.044,0.041,0.072,0.004,0.0,0.006,0.17,0.038,0.045,0.012
2000,0.768,0.402,4.254,3.852,4.159,0.666,0.667,0.685,0.687,0.638,0.677,0.689,0.675,0.0,0.0,0.001,0.03,0.079,0.005,0.179,0.201,0.182,0.072,0.016,0.081,0.03,0.084,0.105,0.017,0.0,0.051,0.044,0.041,0.073,0.004,0.0,0.006,0.17,0.038,0.045,0.012
2100,0.796,0.353,4.271,3.918,4.159,0.67,0.638,0.686,0.688,0.64,0.677,0.689,0.674,0.0,0.0,0.001,0.029,0.079,0.005,0.178,0.152,0.14,0.042,0.016,0.084,0.017,0.084,0.104,0.017,0.0,0.051,0.044,0.041,0.072,0.004,0.0,0.006,0.169,0.038,0.045,0.012
2200,0.797,0.351,4.255,3.904,4.159,0.672,0.651,0.686,0.688,0.641,0.677,0.689,0.674,0.0,0.0,0.001,0.029,0.08,0.005,0.177,0.157,0.143,0.043,0.016,0.084,0.017,0.084,0.104,0.017,0.0,0.051,0.044,0.041,0.072,0.004,0.0,0.006,0.169,0.038,0.045,0.012
2300,0.799,0.349,4.259,3.91,4.159,0.673,0.649,0.683,0.688,0.642,0.677,0.689,0.674,0.0,0.0,0.001,0.028,0.08,0.005,0.177,0.155,0.142,0.042,0.016,0.083,0.017,0.083,0.103,0.017,0.0,0.051,0.044,0.041,0.072,0.004,0.0,0.006,0.17,0.038,0.045,0.012
2400,0.812,0.328,4.256,3.928,4.159,0.674,0.645,0.684,0.688,0.643,0.677,0.689,0.673,0.001,0.001,0.001,0.028,0.08,0.005,0.177,0.154,0.128,0.032,0.01,0.071,0.013,0.072,0.085,0.011,0.0,0.043,0.043,0.041,0.072,0.004,0.0,0.007,0.169,0.038,0.045,0.012
2500,0.828,0.295,4.241,3.945,4.159,0.675,0.664,0.685,0.688,0.643,0.677,0.689,0.673,0.0,0.001,0.001,0.028,0.08,0.005,0.177,0.14,0.118,0.03,0.007,0.061,0.021,0.072,0.084,0.011,0.0,0.043,0.043,0.041,0.072,0.004,0.0,0.007,0.17,0.038,0.045,0.012
2600,0.828,0.293,4.238,3.945,4.159,0.675,0.665,0.685,0.688,0.643,0.677,0.689,0.673,0.0,0.001,0.001,0.028,0.08,0.005,0.176,0.141,0.113,0.026,0.006,0.059,0.02,0.072,0.084,0.011,0.0,0.043,0.043,0.041,0.072,0.004,0.0,0.007,0.169,0.038,0.045,0.012
2700,0.83,0.292,4.241,3.949,4.159,0.673,0.664,0.685,0.688,0.644,0.678,0.689,0.672,0.0,0.001,0.001,0.028,0.08,0.005,0.175,0.14,0.112,0.026,0.006,0.058,0.019,0.072,0.084,0.011,0.0,0.043,0.043,0.041,0.072,0.004,0.0,0.007,0.169,0.038,0.045,0.012
2800,0.859,0.25,4.258,4.009,4.159,0.673,0.664,0.686,0.688,0.644,0.677,0.689,0.658,0.0,0.005,0.001,0.018,0.051,0.001,0.144,0.14,0.112,0.026,0.006,0.058,0.016,0.072,0.084,0.011,0.0,0.038,0.043,0.041,0.072,0.003,0.0,0.007,0.161,0.038,0.038,0.009
2900,0.859,0.249,4.251,4.002,4.159,0.678,0.664,0.687,0.688,0.644,0.677,0.689,0.659,0.0,0.005,0.001,0.018,0.052,0.001,0.146,0.14,0.112,0.026,0.006,0.058,0.016,0.072,0.084,0.011,0.0,0.037,0.043,0.041,0.072,0.003,0.0,0.007,0.16,0.038,0.037,0.008
3000,0.859,0.249,4.248,4.0,4.159,0.68,0.663,0.687,0.688,0.644,0.678,0.689,0.659,0.0,0.005,0.001,0.018,0.052,0.001,0.147,0.14,0.112,0.025,0.006,0.058,0.016,0.072,0.084,0.011,0.0,0.037,0.043,0.041,0.072,0.002,0.0,0.007,0.159,0.038,0.037,0.008
3100,0.859,0.248,4.247,3.999,4.159,0.681,0.663,0.687,0.688,0.644,0.678,0.689,0.66,0.0,0.005,0.001,0.018,0.052,0.001,0.147,0.14,0.111,0.025,0.006,0.057,0.015,0.072,0.084,0.011,0.0,0.036,0.043,0.041,0.072,0.002,0.0,0.007,0.158,0.038,0.036,0.008
3200,0.859,0.248,4.247,3.999,4.159,0.681,0.663,0.687,0.687,0.644,0.678,0.689,0.66,0.0,0.005,0.001,0.017,0.052,0.001,0.148,0.14,0.111,0.025,0.006,0.057,0.015,0.072,0.084,0.011,0.0,0.036,0.043,0.041,0.072,0.002,0.0,0.007,0.158,0.038,0.036,0.008
