A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.501,0.499,0.502,0.498,0.482,0.518,0.514,0.486,0.493,0.507,0.499,0.501,0.523,0.477,0.484,0.516
0.508,0.492,0.504,0.496,0.483,0.517,0.484,0.516,0.521,0.479,0.469,0.531,0.51,0.49,0.533,0.467
0.487,0.513,0.519,0.481,0.484,0.516,0.473,0.527,0.51,0.49,0.469,0.531,0.519,0.481,0.531,0.469
0.488,0.512,0.522,0.478,0.484,0.516,0.475,0.525,0.516,0.484,0.469,0.531,0.523,0.477,0.531,0.469
0.488,0.512,0.521,0.479,0.484,0.516,0.473,0.527,0.516,0.484,0.469,0.531,0.523,0.477,0.531,0.469
0.488,0.512,0.525,0.475,0.484,0.516,0.473,0.527,0.512,0.488,0.469,0.531,0.526,0.474,0.531,0.469
0.488,0.512,0.527,0.473,0.484,0.516,0.477,0.523,0.508,0.492,0.469,0.531,0.527,0.473,0.531,0.469
0.488,0.512,0.527,0.473,0.484,0.516,0.484,0.516,0.512,0.488,0.469,0.531,0.527,0.473,0.531,0.469
0.488,0.512,0.531,0.469,0.484,0.516,0.484,0.516,0.512,0.488,0.469,0.531,0.527,0.473,0.531,0.469
0.488,0.512,0.53,0.47,0.484,0.516,0.484,0.516,0.509,0.491,0.469,0.531,0.524,0.476,0.531,0.469
0.488,0.512,0.527,0.473,0.484,0.516,0.488,0.512,0.509,0.491,0.473,0.527,0.522,0.478,0.531,0.469
0.488,0.512,0.521,0.479,0.484,0.516,0.488,0.512,0.513,0.487,0.473,0.527,0.516,0.484,0.531,0.469
0.484,0.516,0.531,0.469,0.484,0.516,0.488,0.512,0.517,0.483,0.473,0.527,0.516,0.484,0.531,0.469
0.484,0.516,0.531,0.469,0.484,0.516,0.488,0.512,0.513,0.487,0.473,0.527,0.514,0.486,0.531,0.469
0.48,0.52,0.53,0.47,0.484,0.516,0.488,0.512,0.508,0.492,0.473,0.527,0.512,0.488,0.531,0.469
0.481,0.519,0.527,0.473,0.484,0.516,0.488,0.512,0.51,0.49,0.473,0.527,0.512,0.488,0.531,0.469
0.484,0.516,0.527,0.473,0.484,0.516,0.488,0.512,0.511,0.489,0.473,0.527,0.512,0.488,0.531,0.469
0.488,0.512,0.527,0.473,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.531,0.469
0.488,0.512,0.527,0.473,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.527,0.473
0.488,0.512,0.527,0.473,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.507,0.493,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.489,0.511,0.516,0.484,0.473,0.527,0.508,0.492,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.508,0.492,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.508,0.492,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.508,0.492,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.508,0.492,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.512,0.488,0.527,0.473
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.513,0.487,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.515,0.485,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.516,0.484,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.516,0.484,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.516,0.484,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.516,0.484,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.516,0.484,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.519,0.481,0.524,0.476
0.488,0.512,0.523,0.477,0.488,0.512,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.523,0.477,0.487,0.513,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.523,0.477,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.523,0.477,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.52,0.48,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.52,0.48,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
0.488,0.512,0.52,0.48,0.484,0.516,0.488,0.512,0.516,0.484,0.473,0.527,0.52,0.48,0.524,0.476
