Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z]
0,0.948,3.464,3.466,5.542,5.543,0,0.002
100,1.0,0.009,3.466,0.694,4.151,0,3.457
200,0.999,0.005,3.466,0.411,3.872,0,3.461
300,1.0,0.004,3.466,0.216,3.678,0,3.462
400,1.0,0.003,3.466,0.106,3.568,0,3.462
500,1.0,0.003,3.466,0.054,3.517,0,3.462
600,1.0,0.003,3.466,0.028,3.491,0,3.462
700,1.0,0.003,3.466,0.016,3.478,0,3.462
800,0.999,0.003,3.466,0.01,3.472,0,3.462
900,1.0,0.003,3.466,0.008,3.47,0,3.462
1000,1.0,0.003,3.466,0.007,3.469,0,3.462
1100,1.0,0.003,3.466,0.006,3.469,0,3.462
1200,0.999,0.003,3.466,0.006,3.468,0,3.462
1300,1.0,0.003,3.466,0.006,3.468,0,3.462
1400,1.0,0.003,3.466,0.006,3.468,0,3.462
1500,1.0,0.003,3.466,0.006,3.468,0,3.462
1600,1.0,0.003,3.466,0.006,3.468,0,3.462
1700,1.0,0.003,3.466,0.006,3.468,0,3.462
1800,1.0,0.003,3.466,0.006,3.468,0,3.462
1900,1.0,0.003,3.466,0.006,3.468,0,3.462
2000,1.0,0.003,3.466,0.006,3.468,0,3.462
2100,1.0,0.003,3.466,0.006,3.468,0,3.462
2200,1.0,0.003,3.466,0.006,3.468,0,3.462
2300,1.0,0.003,3.466,0.006,3.468,0,3.462
2400,1.0,0.003,3.466,0.006,3.468,0,3.462
2500,1.0,0.003,3.466,0.006,3.468,0,3.462
2600,1.0,0.003,3.466,0.006,3.468,0,3.462
2700,1.0,0.003,3.466,0.006,3.468,0,3.462
2800,1.0,0.003,3.466,0.006,3.468,0,3.462
2900,1.0,0.003,3.466,0.006,3.468,0,3.462
3000,0.999,0.003,3.466,0.006,3.468,0,3.462
3100,1.0,0.003,3.466,0.006,3.468,0,3.462
3200,1.0,0.003,3.466,0.006,3.468,0,3.462
3300,1.0,0.003,3.466,0.006,3.468,0,3.462
3400,1.0,0.003,3.466,0.006,3.468,0,3.462
3500,1.0,0.003,3.466,0.006,3.468,0,3.462
3600,1.0,0.003,3.466,0.006,3.468,0,3.462
3700,1.0,0.003,3.466,0.006,3.468,0,3.462
3800,1.0,0.003,3.466,0.006,3.468,0,3.462
3900,1.0,0.003,3.466,0.006,3.468,0,3.462
4000,1.0,0.003,3.466,0.006,3.468,0,3.462
4100,1.0,0.003,3.466,0.005,3.468,0,3.462
4200,1.0,0.003,3.466,0.005,3.468,0,3.462
4300,1.0,0.003,3.466,0.005,3.468,0,3.462
4400,1.0,0.003,3.466,0.005,3.468,0,3.462
4500,1.0,0.003,3.466,0.005,3.468,0,3.462
4600,1.0,0.003,3.466,0.005,3.468,0,3.462
4700,1.0,0.003,3.466,0.005,3.468,0,3.462
4800,1.0,0.003,3.466,0.005,3.468,0,3.462
4900,1.0,0.003,3.466,0.005,3.468,0,3.462
5000,1.0,0.003,3.466,0.005,3.468,0,3.462
5100,1.0,0.003,3.466,0.005,3.468,0,3.462
5200,0.999,0.003,3.466,0.005,3.468,0,3.462
5300,1.0,0.003,3.466,0.005,3.468,0,3.462
5400,1.0,0.003,3.466,0.005,3.468,0,3.462
5500,1.0,0.003,3.466,0.005,3.468,0,3.462
5600,1.0,0.003,3.466,0.005,3.468,0,3.462
5700,1.0,0.003,3.466,0.005,3.468,0,3.462
5800,1.0,0.003,3.466,0.005,3.468,0,3.462
5900,1.0,0.003,3.466,0.005,3.468,0,3.462
6000,0.999,0.003,3.466,0.005,3.468,0,3.462
6100,1.0,0.003,3.466,0.005,3.468,0,3.462
6200,1.0,0.003,3.466,0.005,3.468,0,3.462
6300,0.999,0.003,3.466,0.005,3.468,0,3.462
6400,1.0,0.003,3.466,0.005,3.468,0,3.462
6500,1.0,0.003,3.466,0.005,3.468,0,3.462
6600,1.0,0.003,3.466,0.005,3.468,0,3.462
6700,1.0,0.003,3.466,0.005,3.468,0,3.462
6800,1.0,0.003,3.466,0.005,3.468,0,3.462
6900,1.0,0.003,3.466,0.005,3.468,0,3.462
