A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.242,0.247,0.255,0.256,0.251,0.249,0.246,0.254,0.246,0.247,0.264,0.244,0.257,0.253,0.24,0.25
0.279,0.184,0.25,0.287,0.22,0.34,0.186,0.254,0.33,0.281,0.201,0.188,0.316,0.339,0.066,0.278
0.281,0.187,0.25,0.283,0.219,0.342,0.187,0.252,0.317,0.283,0.193,0.206,0.316,0.34,0.063,0.281
0.281,0.187,0.25,0.282,0.219,0.342,0.187,0.252,0.314,0.283,0.19,0.213,0.315,0.341,0.063,0.281
0.281,0.187,0.25,0.282,0.219,0.343,0.187,0.252,0.313,0.282,0.188,0.216,0.315,0.342,0.063,0.281
0.281,0.187,0.25,0.282,0.219,0.343,0.186,0.251,0.313,0.282,0.188,0.217,0.314,0.342,0.063,0.281
0.281,0.187,0.25,0.282,0.219,0.343,0.186,0.251,0.313,0.282,0.187,0.218,0.314,0.342,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.313,0.282,0.187,0.218,0.314,0.342,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.314,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.314,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.314,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.282,0.22,0.343,0.186,0.251,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.281,0.22,0.343,0.186,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.187,0.25,0.281,0.22,0.343,0.186,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.22,0.343,0.186,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.22,0.343,0.185,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.22,0.343,0.185,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.22,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.313,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.22,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.252,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
0.281,0.188,0.25,0.281,0.221,0.342,0.185,0.253,0.312,0.282,0.187,0.219,0.312,0.343,0.063,0.281
