Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.633,5.545,5.545,5.542,5.543,0.0,0.0,0.0,0.0
100,0.377,4.259,5.545,3.356,4.642,0.59,0.929,0.971,0.59
200,0.157,2.789,5.545,0.609,3.366,1.611,2.198,2.18,1.611
300,0.162,2.308,5.545,0.071,3.308,1.624,2.509,2.353,1.624
400,0.167,2.276,5.545,0.053,3.322,1.605,2.514,2.361,1.605
500,0.178,2.228,5.545,0.044,3.361,1.57,2.523,2.364,1.57
600,0.19,2.189,5.545,0.047,3.404,1.535,2.528,2.363,1.535
700,0.199,2.151,5.545,0.053,3.447,1.493,2.53,2.357,1.493
800,0.203,2.136,5.545,0.047,3.456,1.486,2.534,2.361,1.486
900,0.218,2.094,5.545,0.046,3.498,1.446,2.534,2.363,1.446
1000,0.232,2.039,5.545,0.043,3.548,1.397,2.536,2.367,1.397
1100,0.232,2.038,5.545,0.041,3.548,1.398,2.535,2.369,1.398
1200,0.237,2.022,5.545,0.039,3.562,1.385,2.538,2.37,1.385
1300,0.242,2.012,5.54,0.048,3.582,1.366,2.534,2.368,1.366
1400,0.245,1.996,5.5,0.038,3.587,1.363,2.541,2.371,1.363
1500,0.253,1.972,5.484,0.036,3.61,1.339,2.543,2.37,1.339
1600,0.256,1.959,5.366,0.035,3.621,1.328,2.543,2.371,1.328
1700,0.26,1.944,5.291,0.034,3.635,1.313,2.543,2.372,1.313
1800,0.263,1.919,5.268,0.032,3.658,1.292,2.544,2.374,1.292
1900,0.264,1.919,4.956,0.033,3.659,1.291,2.543,2.374,1.291
2000,0.264,1.919,4.934,0.033,3.659,1.291,2.543,2.374,1.291
2100,0.267,1.903,4.804,0.032,3.674,1.277,2.544,2.375,1.277
2200,0.267,1.903,4.602,0.032,3.674,1.277,2.543,2.375,1.277
2300,0.269,1.903,4.752,0.032,3.674,1.277,2.543,2.375,1.277
2400,0.268,1.903,4.662,0.032,3.675,1.277,2.543,2.375,1.277
2500,0.268,1.903,4.42,0.032,3.675,1.276,2.543,2.375,1.276
2600,0.268,1.903,4.385,0.033,3.675,1.276,2.543,2.375,1.276
2700,0.267,1.903,4.519,0.033,3.675,1.276,2.543,2.375,1.276
2800,0.267,1.903,4.273,0.033,3.675,1.276,2.543,2.375,1.276
2900,0.268,1.903,4.273,0.033,3.675,1.276,2.543,2.375,1.276
3000,0.268,1.903,4.15,0.033,3.676,1.276,2.543,2.375,1.276
3100,0.268,1.902,4.162,0.033,3.676,1.275,2.543,2.375,1.275
3200,0.268,1.902,4.268,0.033,3.676,1.275,2.543,2.375,1.275
3300,0.268,1.902,4.21,0.033,3.676,1.275,2.543,2.375,1.275
3400,0.268,1.902,4.03,0.033,3.676,1.275,2.543,2.375,1.275
3500,0.267,1.902,3.929,0.033,3.676,1.275,2.543,2.375,1.275
3600,0.267,1.902,4.007,0.033,3.676,1.275,2.543,2.374,1.275
3700,0.268,1.902,4.014,0.034,3.676,1.275,2.543,2.374,1.275
3800,0.268,1.902,4.159,0.034,3.676,1.274,2.543,2.374,1.274
3900,0.268,1.902,3.898,0.034,3.677,1.274,2.543,2.374,1.274
4000,0.268,1.902,3.837,0.034,3.677,1.274,2.543,2.374,1.274
4100,0.268,1.902,3.882,0.034,3.677,1.274,2.543,2.374,1.274
4200,0.272,1.891,4.142,0.033,3.687,1.261,2.543,2.372,1.261
4300,0.272,1.891,3.922,0.033,3.688,1.26,2.543,2.372,1.26
4400,0.272,1.891,3.845,0.033,3.688,1.26,2.543,2.372,1.26
4500,0.272,1.891,3.892,0.034,3.688,1.26,2.543,2.372,1.26
4600,0.272,1.891,3.778,0.034,3.688,1.26,2.543,2.372,1.26
4700,0.271,1.891,3.787,0.034,3.688,1.26,2.543,2.371,1.26
4800,0.271,1.891,3.837,0.034,3.689,1.259,2.543,2.371,1.259
4900,0.272,1.891,3.775,0.034,3.689,1.259,2.543,2.371,1.259
5000,0.272,1.891,3.798,0.034,3.689,1.259,2.543,2.371,1.259
5100,0.272,1.891,3.73,0.035,3.69,1.258,2.543,2.37,1.258
5200,0.272,1.891,3.713,0.036,3.691,1.256,2.543,2.368,1.256
5300,0.272,1.89,3.836,0.034,3.689,1.239,2.543,2.351,1.239
5400,0.272,1.89,3.763,0.033,3.688,1.238,2.543,2.35,1.238
5500,0.272,1.89,3.711,0.033,3.688,1.238,2.543,2.35,1.238
5600,0.272,1.89,3.76,0.033,3.688,1.238,2.543,2.35,1.238
5700,0.272,1.89,3.681,0.033,3.688,1.238,2.543,2.35,1.238
5800,0.272,1.89,3.713,0.033,3.688,1.238,2.543,2.35,1.238
5900,0.271,1.89,3.71,0.033,3.688,1.238,2.543,2.35,1.238
6000,0.271,1.89,3.74,0.033,3.688,1.238,2.543,2.35,1.238
6100,0.272,1.89,3.805,0.033,3.688,1.238,2.543,2.35,1.238
6200,0.272,1.89,3.692,0.033,3.688,1.238,2.543,2.35,1.238
6300,0.272,1.89,3.734,0.033,3.688,1.238,2.543,2.35,1.238
6400,0.273,1.89,3.73,0.033,3.688,1.238,2.543,2.35,1.238
6500,0.271,1.89,3.722,0.033,3.688,1.238,2.543,2.35,1.238
6600,0.272,1.89,3.709,0.033,3.688,1.238,2.543,2.35,1.238
6700,0.272,1.89,3.738,0.033,3.688,1.238,2.543,2.35,1.238
6800,0.272,1.89,3.72,0.033,3.688,1.238,2.543,2.35,1.238
6900,0.272,1.89,3.709,0.033,3.688,1.238,2.543,2.35,1.238
