0,0.63,5.545,11.086,5.542,5.545,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
100,0.376,4.255,8.834,4.579,5.545,0.582,0.51,0.581,0.525,0.23,0.256,0.222,0.182,0.17,0.214
200,0.218,2.826,6.536,3.71,5.545,1.088,1.143,1.146,1.146,0.385,0.527,0.415,0.342,0.347,0.41
300,0.226,2.127,5.767,3.64,5.545,1.317,1.332,1.304,1.333,0.409,0.527,0.411,0.352,0.358,0.43
400,0.229,2.02,5.64,3.619,5.545,1.353,1.36,1.343,1.355,0.412,0.53,0.413,0.354,0.359,0.432
500,0.247,1.95,5.612,3.662,5.545,1.359,1.367,1.354,1.363,0.412,0.51,0.416,0.348,0.356,0.405
600,0.251,1.928,5.597,3.668,5.545,1.362,1.37,1.358,1.368,0.399,0.514,0.416,0.348,0.353,0.402
700,0.269,1.891,5.596,3.706,5.545,1.357,1.372,1.36,1.37,0.379,0.484,0.422,0.34,0.356,0.402
800,0.278,1.857,5.584,3.728,5.545,1.366,1.373,1.362,1.372,0.376,0.481,0.412,0.34,0.358,0.384
900,0.278,1.854,5.582,3.728,5.545,1.367,1.374,1.362,1.372,0.376,0.481,0.412,0.34,0.358,0.383
1000,0.282,1.839,5.581,3.742,5.545,1.367,1.374,1.362,1.372,0.376,0.48,0.403,0.34,0.355,0.374
1100,0.293,1.807,5.581,3.775,5.545,1.367,1.373,1.362,1.372,0.374,0.48,0.39,0.339,0.335,0.36
1200,0.305,1.769,5.579,3.81,5.545,1.367,1.374,1.363,1.374,0.369,0.467,0.374,0.334,0.323,0.355
1300,0.305,1.768,5.579,3.811,5.545,1.367,1.374,1.362,1.374,0.368,0.467,0.374,0.334,0.323,0.355
1400,0.306,1.768,5.58,3.812,5.545,1.367,1.373,1.362,1.374,0.367,0.467,0.374,0.334,0.322,0.355
1500,0.316,1.752,5.586,3.834,5.545,1.367,1.374,1.362,1.369,0.343,0.466,0.37,0.341,0.317,0.35
1600,0.322,1.74,5.589,3.848,5.545,1.366,1.374,1.356,1.374,0.342,0.458,0.368,0.342,0.314,0.337
1700,0.331,1.704,5.586,3.882,5.545,1.363,1.374,1.363,1.374,0.333,0.445,0.365,0.325,0.311,0.323
1800,0.341,1.678,5.581,3.903,5.545,1.364,1.374,1.365,1.375,0.323,0.42,0.364,0.322,0.311,0.329
1900,0.353,1.642,5.585,3.943,5.545,1.362,1.373,1.362,1.375,0.307,0.397,0.336,0.315,0.31,0.313
2000,0.367,1.609,5.589,3.981,5.527,1.362,1.373,1.355,1.376,0.304,0.387,0.334,0.298,0.311,0.281
2100,0.373,1.574,5.581,4.007,5.529,1.359,1.375,1.363,1.376,0.298,0.383,0.331,0.29,0.298,0.276
2200,0.384,1.539,5.58,4.041,5.507,1.36,1.375,1.361,1.375,0.293,0.369,0.325,0.277,0.29,0.266
2300,0.384,1.537,5.576,4.039,5.507,1.361,1.376,1.362,1.376,0.292,0.37,0.326,0.276,0.289,0.267
2400,0.392,1.515,5.578,4.062,5.318,1.363,1.376,1.362,1.375,0.289,0.346,0.316,0.275,0.288,0.266
2500,0.4,1.497,5.584,4.086,5.326,1.364,1.374,1.361,1.373,0.28,0.343,0.308,0.258,0.278,0.263
2600,0.411,1.466,5.581,4.115,5.243,1.365,1.375,1.361,1.373,0.257,0.336,0.31,0.231,0.278,0.266
2700,0.419,1.445,5.577,4.132,5.258,1.364,1.379,1.361,1.374,0.245,0.336,0.303,0.235,0.262,0.258
2800,0.43,1.42,5.581,4.16,5.211,1.358,1.379,1.361,1.374,0.235,0.319,0.269,0.235,0.257,0.258
2900,0.435,1.402,5.574,4.172,5.213,1.361,1.379,1.361,1.376,0.23,0.31,0.258,0.235,0.257,0.258
3000,0.45,1.349,5.575,4.226,5.183,1.362,1.378,1.363,1.375,0.222,0.279,0.244,0.223,0.257,0.247
3100,0.459,1.326,5.575,4.249,5.265,1.364,1.378,1.362,1.374,0.213,0.278,0.232,0.217,0.25,0.235
3200,0.473,1.288,5.572,4.283,5.051,1.365,1.378,1.363,1.375,0.213,0.271,0.209,0.21,0.236,0.214
3300,0.477,1.281,5.572,4.291,4.963,1.365,1.379,1.362,1.374,0.213,0.271,0.203,0.21,0.238,0.21
3400,0.481,1.266,5.57,4.304,4.98,1.365,1.379,1.364,1.375,0.213,0.262,0.203,0.201,0.238,0.207
3500,0.481,1.266,5.569,4.303,4.955,1.365,1.379,1.364,1.375,0.213,0.262,0.203,0.201,0.238,0.207
3600,0.489,1.237,5.569,4.332,5.156,1.365,1.379,1.368,1.374,0.213,0.249,0.202,0.191,0.238,0.196
3700,0.5,1.203,5.571,4.368,5.11,1.366,1.379,1.368,1.372,0.202,0.233,0.196,0.184,0.23,0.185
3800,0.504,1.186,5.568,4.382,4.926,1.368,1.379,1.368,1.374,0.198,0.227,0.192,0.184,0.229,0.185
3900,0.512,1.16,5.567,4.407,4.853,1.367,1.38,1.368,1.374,0.182,0.227,0.192,0.172,0.216,0.185
4000,0.516,1.152,5.567,4.415,4.932,1.366,1.38,1.368,1.374,0.177,0.226,0.184,0.172,0.216,0.185
4100,0.516,1.152,5.566,4.414,4.678,1.366,1.38,1.368,1.374,0.177,0.227,0.184,0.172,0.216,0.185
4200,0.516,1.152,5.566,4.414,4.551,1.366,1.38,1.368,1.374,0.177,0.227,0.184,0.172,0.216,0.185
4300,0.527,1.114,5.566,4.452,5.047,1.367,1.38,1.368,1.375,0.163,0.22,0.173,0.165,0.195,0.179
4400,0.527,1.114,5.566,4.452,4.764,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.195,0.179
4500,0.527,1.114,5.565,4.452,4.597,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
4600,0.527,1.114,5.565,4.451,4.553,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
4700,0.527,1.114,5.565,4.451,4.533,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
4800,0.527,1.114,5.565,4.451,4.516,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
4900,0.527,1.114,5.565,4.451,4.493,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5000,0.527,1.114,5.565,4.451,4.46,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5100,0.527,1.114,5.565,4.451,4.51,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5200,0.527,1.114,5.565,4.451,4.455,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5300,0.528,1.114,5.565,4.451,4.492,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5400,0.527,1.114,5.565,4.451,4.48,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5500,0.527,1.114,5.565,4.451,4.486,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5600,0.527,1.114,5.565,4.451,4.481,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5700,0.528,1.114,5.565,4.451,4.507,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5800,0.527,1.114,5.565,4.451,4.485,1.367,1.381,1.368,1.375,0.163,0.22,0.173,0.165,0.196,0.179
5900,0.531,1.104,5.565,4.461,4.716,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6000,0.531,1.104,5.565,4.461,4.546,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6100,0.532,1.104,5.565,4.461,4.515,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6200,0.531,1.104,5.565,4.461,4.484,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6300,0.531,1.104,5.565,4.461,4.491,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6400,0.531,1.104,5.565,4.461,4.452,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6500,0.531,1.104,5.565,4.461,4.481,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6600,0.531,1.104,5.565,4.461,4.463,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6700,0.531,1.104,5.565,4.461,4.472,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6800,0.531,1.104,5.565,4.461,4.459,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
6900,0.531,1.104,5.565,4.461,4.452,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7000,0.531,1.104,5.565,4.461,4.465,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7100,0.531,1.104,5.565,4.461,4.457,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7200,0.531,1.104,5.565,4.461,4.481,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7300,0.531,1.104,5.565,4.461,4.483,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7400,0.531,1.104,5.565,4.461,4.517,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7500,0.531,1.104,5.565,4.461,4.508,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7600,0.531,1.104,5.565,4.461,4.498,1.367,1.381,1.368,1.375,0.166,0.22,0.173,0.16,0.188,0.179
7700,0.532,1.104,5.565,4.462,4.509,1.367,1.38,1.368,1.375,0.165,0.22,0.173,0.16,0.187,0.179
7800,0.535,1.092,5.565,4.472,4.648,1.367,1.381,1.368,1.375,0.159,0.22,0.173,0.155,0.181,0.179
7900,0.535,1.092,5.565,4.472,4.482,1.367,1.381,1.368,1.375,0.159,0.22,0.173,0.155,0.181,0.179
8000,0.535,1.092,5.565,4.472,4.491,1.367,1.381,1.368,1.375,0.159,0.22,0.173,0.155,0.181,0.179
8100,0.535,1.092,5.564,4.472,4.463,1.367,1.381,1.368,1.375,0.159,0.22,0.173,0.155,0.181,0.179
