8000,0.812,0.336,4.195,3.859,3.852,2.4,2.512,1.089
8100,0.812,0.336,4.195,3.86,3.977,2.4,2.512,1.089
8200,0.813,0.336,4.196,3.86,3.83,2.399,2.512,1.088
8300,0.813,0.336,4.196,3.861,3.882,2.399,2.512,1.088
8400,0.813,0.336,4.197,3.861,3.882,2.398,2.512,1.087
8500,0.812,0.336,4.197,3.862,3.852,2.398,2.512,1.087
8600,0.813,0.336,4.198,3.862,3.925,2.397,2.512,1.086
8700,0.812,0.336,4.198,3.862,3.86,2.396,2.512,1.086
8800,0.812,0.336,4.198,3.863,3.83,2.396,2.512,1.085
8900,0.812,0.336,4.199,3.863,3.83,2.396,2.512,1.085
9000,0.813,0.336,4.199,3.864,3.869,2.395,2.512,1.084
9100,0.813,0.336,4.2,3.864,3.852,2.394,2.512,1.084
9200,0.813,0.336,4.2,3.865,3.942,2.394,2.512,1.083
9300,0.813,0.336,4.201,3.865,3.86,2.393,2.512,1.082
9400,0.813,0.336,4.202,3.866,3.852,2.391,2.512,1.08
9500,0.812,0.335,4.204,3.869,3.891,2.387,2.512,1.076
9600,0.812,0.335,4.194,3.859,3.895,2.37,2.512,1.059
9700,0.813,0.335,4.191,3.855,3.899,2.371,2.512,1.06
9800,0.813,0.335,4.19,3.855,3.83,2.372,2.512,1.06
9900,0.813,0.335,4.19,3.854,3.869,2.372,2.512,1.061
