A0_0,A0_1,A1_0,A1_1,A2_0,A2_1,A3_0,A3_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A7_0,A7_1
0.513,0.487,0.488,0.512,0.495,0.505,0.496,0.504,0.498,0.502,0.486,0.514,0.5,0.5,0.5,0.5
0.542,0.458,0.451,0.549,0.46,0.54,0.52,0.48,0.489,0.511,0.538,0.462,0.527,0.473,0.55,0.45
0.539,0.461,0.457,0.543,0.45,0.55,0.52,0.48,0.492,0.508,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.453,0.547,0.454,0.546,0.52,0.48,0.492,0.508,0.535,0.465,0.528,0.472,0.547,0.453
0.539,0.461,0.453,0.547,0.458,0.542,0.52,0.48,0.488,0.512,0.535,0.465,0.528,0.472,0.547,0.453
0.539,0.461,0.457,0.543,0.457,0.543,0.516,0.484,0.488,0.512,0.535,0.465,0.527,0.473,0.549,0.451
0.539,0.461,0.457,0.543,0.461,0.539,0.516,0.484,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.457,0.543,0.461,0.539,0.515,0.485,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.461,0.539,0.461,0.539,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.465,0.535,0.458,0.542,0.508,0.492,0.484,0.516,0.535,0.465,0.531,0.469,0.547,0.453
0.539,0.461,0.465,0.535,0.461,0.539,0.508,0.492,0.484,0.516,0.535,0.465,0.531,0.469,0.547,0.453
0.539,0.461,0.465,0.535,0.461,0.539,0.508,0.492,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.465,0.535,0.461,0.539,0.508,0.492,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.465,0.535,0.461,0.539,0.508,0.492,0.484,0.516,0.535,0.465,0.527,0.473,0.547,0.453
0.539,0.461,0.465,0.535,0.461,0.539,0.508,0.492,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.461,0.539,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
0.539,0.461,0.465,0.535,0.465,0.535,0.512,0.488,0.484,0.516,0.535,0.465,0.527,0.473,0.543,0.457
