0,0.938,3.46,8.956,5.496,3.466,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
100,0.945,3.171,8.689,5.518,3.466,0.034,0.068,0.031,0.048,0.027,0.031,0.056,0.034,0.004,0.001,0.002,0.0,0.0,0.0,0.001,0.002,0.005,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0
200,0.869,2.172,7.135,4.963,3.466,0.242,0.301,0.218,0.27,0.17,0.202,0.269,0.209,0.107,0.033,0.092,0.001,0.007,0.008,0.041,0.044,0.118,0.001,0.014,0.004,0.057,0.027,0.009,0.018,0.0,0.058,0.006,0.014,0.003,0.038,0.004,0.004,0.008,0.051,0.008,0.003
300,0.817,1.585,6.069,4.484,3.466,0.353,0.402,0.349,0.387,0.339,0.34,0.424,0.334,0.192,0.032,0.166,0.003,0.002,0.018,0.053,0.038,0.203,0.006,0.008,0.011,0.068,0.02,0.016,0.021,0.0,0.118,0.027,0.014,0.004,0.041,0.017,0.006,0.018,0.141,0.002,0.009
400,0.802,1.142,5.293,4.151,3.466,0.419,0.462,0.448,0.455,0.516,0.43,0.524,0.427,0.256,0.028,0.197,0.004,0.0,0.033,0.049,0.03,0.25,0.014,0.004,0.023,0.066,0.015,0.008,0.03,0.0,0.154,0.06,0.016,0.005,0.049,0.044,0.012,0.007,0.203,0.003,0.007
500,0.807,0.836,4.784,3.948,3.466,0.458,0.512,0.536,0.502,0.607,0.486,0.582,0.483,0.297,0.027,0.208,0.001,0.0,0.043,0.036,0.029,0.282,0.011,0.001,0.041,0.063,0.013,0.006,0.034,0.0,0.148,0.063,0.015,0.008,0.06,0.053,0.011,0.003,0.236,0.005,0.005
600,0.832,0.61,4.453,3.843,3.466,0.482,0.542,0.588,0.546,0.639,0.542,0.608,0.528,0.305,0.031,0.209,0.0,0.002,0.048,0.013,0.03,0.309,0.01,0.0,0.05,0.037,0.013,0.007,0.025,0.0,0.106,0.063,0.011,0.01,0.049,0.048,0.011,0.004,0.272,0.008,0.0
700,0.854,0.462,4.255,3.793,3.466,0.492,0.555,0.612,0.573,0.654,0.575,0.625,0.569,0.295,0.046,0.187,0.0,0.004,0.057,0.013,0.034,0.295,0.007,0.001,0.064,0.032,0.015,0.005,0.027,0.0,0.092,0.066,0.012,0.01,0.046,0.048,0.01,0.004,0.281,0.012,0.0
800,0.891,0.342,4.132,3.79,3.466,0.533,0.575,0.627,0.587,0.664,0.589,0.632,0.587,0.327,0.042,0.151,0.003,0.008,0.084,0.004,0.03,0.246,0.001,0.004,0.096,0.018,0.016,0.004,0.031,0.0,0.074,0.068,0.014,0.011,0.034,0.054,0.01,0.005,0.264,0.02,0.001
900,0.924,0.238,3.998,3.76,3.466,0.552,0.595,0.638,0.608,0.669,0.597,0.643,0.631,0.352,0.045,0.111,0.005,0.01,0.097,0.0,0.033,0.202,0.001,0.005,0.106,0.011,0.01,0.004,0.035,0.0,0.055,0.09,0.012,0.015,0.018,0.06,0.01,0.007,0.25,0.031,0.004
