Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.63,5.544,5.545,5.542,5.542,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
100,0.376,2.944,5.545,1.971,4.572,1.102,0.423,0.439,0.486,0.437,0.448,0.457,0.464,0.456,0.056,0.003,0.085,0.121,0.024,0.06,0.0,0.061,0.02,0.018,0.001,0.23,0.004,0.006,0.034,0.002,0.031,0.0,0.157,0.007,0.01,0.063,0.0,0.01,0.045,0.001,0.051,0.0
200,0.453,1.223,5.545,0.196,4.518,0.957,0.668,0.649,0.676,0.67,0.661,0.677,0.668,0.675,0.043,0.007,0.06,0.114,0.029,0.051,0.001,0.053,0.006,0.019,0.002,0.237,0.0,0.011,0.035,0.001,0.015,0.003,0.129,0.006,0.006,0.046,0.001,0.01,0.036,0.0,0.035,0.002
300,0.496,1.062,5.545,0.084,4.568,0.877,0.682,0.672,0.686,0.682,0.682,0.685,0.68,0.684,0.036,0.007,0.057,0.102,0.029,0.047,0.001,0.042,0.007,0.026,0.001,0.205,0.0,0.01,0.032,0.001,0.014,0.003,0.119,0.006,0.005,0.048,0.001,0.006,0.035,0.0,0.035,0.001
400,0.5,1.035,5.545,0.054,4.565,0.867,0.685,0.68,0.688,0.686,0.685,0.687,0.685,0.687,0.036,0.007,0.056,0.102,0.029,0.048,0.001,0.041,0.006,0.026,0.001,0.204,0.0,0.009,0.032,0.001,0.014,0.003,0.117,0.006,0.005,0.046,0.001,0.006,0.035,0.0,0.035,0.001
500,0.519,0.989,5.545,0.049,4.605,0.827,0.686,0.681,0.689,0.686,0.687,0.687,0.683,0.687,0.038,0.007,0.055,0.091,0.029,0.046,0.001,0.039,0.007,0.026,0.001,0.195,0.0,0.009,0.03,0.001,0.014,0.003,0.105,0.006,0.005,0.046,0.002,0.005,0.029,0.0,0.035,0.001
600,0.528,0.96,5.545,0.041,4.626,0.807,0.688,0.681,0.689,0.687,0.688,0.688,0.687,0.688,0.036,0.007,0.053,0.088,0.029,0.045,0.001,0.037,0.007,0.029,0.001,0.197,0.0,0.008,0.028,0.001,0.013,0.003,0.098,0.006,0.005,0.044,0.001,0.007,0.027,0.0,0.035,0.001
700,0.547,0.911,5.545,0.038,4.673,0.758,0.688,0.681,0.689,0.689,0.688,0.688,0.687,0.688,0.036,0.007,0.047,0.078,0.029,0.045,0.001,0.037,0.007,0.027,0.001,0.196,0.0,0.008,0.022,0.001,0.013,0.003,0.081,0.004,0.004,0.04,0.001,0.004,0.029,0.0,0.035,0.001
800,0.551,0.898,5.545,0.036,4.684,0.745,0.688,0.682,0.69,0.689,0.688,0.688,0.687,0.688,0.034,0.007,0.047,0.078,0.029,0.045,0.001,0.035,0.006,0.026,0.001,0.191,0.0,0.008,0.022,0.001,0.013,0.003,0.081,0.004,0.004,0.04,0.001,0.004,0.029,0.0,0.035,0.001
900,0.566,0.87,5.545,0.038,4.713,0.71,0.689,0.683,0.69,0.689,0.688,0.688,0.686,0.688,0.03,0.007,0.047,0.075,0.029,0.043,0.001,0.031,0.006,0.028,0.001,0.175,0.0,0.008,0.021,0.001,0.012,0.003,0.078,0.004,0.004,0.04,0.0,0.004,0.027,0.0,0.035,0.001
1000,0.58,0.838,5.545,0.037,4.744,0.684,0.689,0.684,0.69,0.69,0.687,0.689,0.685,0.688,0.028,0.007,0.045,0.074,0.027,0.042,0.001,0.029,0.006,0.026,0.001,0.168,0.0,0.007,0.02,0.001,0.012,0.003,0.074,0.004,0.005,0.037,0.001,0.005,0.027,0.0,0.033,0.0
1100,0.602,0.789,5.545,0.037,4.793,0.638,0.689,0.681,0.69,0.69,0.687,0.689,0.689,0.688,0.023,0.007,0.04,0.065,0.027,0.034,0.001,0.028,0.005,0.026,0.001,0.155,0.0,0.007,0.019,0.001,0.012,0.003,0.071,0.004,0.007,0.037,0.0,0.007,0.025,0.0,0.033,0.0
1200,0.624,0.734,5.545,0.032,4.843,0.574,0.689,0.684,0.69,0.69,0.686,0.689,0.689,0.688,0.015,0.006,0.038,0.06,0.025,0.032,0.0,0.02,0.004,0.018,0.0,0.138,0.0,0.007,0.017,0.001,0.012,0.003,0.067,0.004,0.007,0.037,0.0,0.006,0.023,0.0,0.033,0.0
1300,0.631,0.725,5.545,0.032,4.852,0.564,0.689,0.685,0.69,0.69,0.687,0.689,0.686,0.688,0.015,0.006,0.038,0.057,0.025,0.031,0.0,0.02,0.004,0.016,0.0,0.136,0.0,0.007,0.016,0.001,0.012,0.003,0.065,0.004,0.007,0.038,0.0,0.004,0.025,0.0,0.033,0.0
1400,0.641,0.704,5.545,0.031,4.872,0.549,0.689,0.684,0.69,0.69,0.688,0.689,0.69,0.688,0.017,0.005,0.036,0.052,0.024,0.032,0.0,0.02,0.004,0.015,0.0,0.133,0.0,0.007,0.017,0.001,0.011,0.003,0.062,0.004,0.008,0.038,0.0,0.003,0.023,0.0,0.033,0.0
