Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
1500,0.645,0.697,5.545,0.03,4.878,0.54,0.687,0.686,0.69,0.69,0.688,0.689,0.69,0.688,0.018,0.005,0.035,0.051,0.023,0.031,0.0,0.019,0.004,0.014,0.001,0.13,0.0,0.007,0.017,0.001,0.011,0.003,0.061,0.004,0.008,0.038,0.0,0.003,0.023,0.0,0.033,0.0
1600,0.648,0.686,5.545,0.027,4.886,0.528,0.69,0.687,0.69,0.69,0.688,0.689,0.69,0.688,0.017,0.004,0.034,0.048,0.022,0.03,0.0,0.019,0.004,0.014,0.001,0.13,0.0,0.007,0.016,0.001,0.011,0.003,0.06,0.004,0.008,0.038,0.0,0.003,0.022,0.0,0.033,0.0
1700,0.656,0.667,5.545,0.024,4.902,0.509,0.69,0.687,0.69,0.69,0.69,0.689,0.69,0.688,0.015,0.005,0.032,0.043,0.02,0.028,0.0,0.019,0.004,0.013,0.001,0.13,0.0,0.007,0.015,0.001,0.011,0.003,0.057,0.004,0.008,0.037,0.0,0.002,0.02,0.0,0.033,0.0
1800,0.66,0.66,5.545,0.023,4.908,0.503,0.69,0.688,0.69,0.69,0.69,0.689,0.69,0.689,0.015,0.005,0.032,0.043,0.02,0.028,0.0,0.019,0.004,0.013,0.001,0.13,0.0,0.007,0.015,0.001,0.011,0.002,0.057,0.004,0.008,0.035,0.0,0.002,0.019,0.0,0.031,0.001
1900,0.664,0.654,5.545,0.022,4.914,0.497,0.69,0.688,0.69,0.69,0.69,0.689,0.69,0.689,0.015,0.004,0.032,0.043,0.02,0.028,0.0,0.017,0.004,0.013,0.001,0.13,0.0,0.006,0.014,0.001,0.01,0.002,0.057,0.004,0.008,0.035,0.0,0.002,0.019,0.0,0.031,0.001
2000,0.671,0.641,5.545,0.025,4.929,0.488,0.69,0.687,0.69,0.69,0.69,0.689,0.689,0.689,0.014,0.004,0.032,0.043,0.021,0.03,0.0,0.016,0.005,0.012,0.0,0.122,0.0,0.006,0.014,0.001,0.009,0.002,0.057,0.004,0.009,0.035,0.0,0.003,0.019,0.0,0.031,0.0
2100,0.679,0.628,5.54,0.022,4.939,0.471,0.69,0.689,0.69,0.689,0.691,0.69,0.69,0.689,0.014,0.004,0.032,0.038,0.021,0.03,0.0,0.016,0.005,0.01,0.0,0.122,0.0,0.006,0.011,0.001,0.009,0.002,0.052,0.004,0.009,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2200,0.679,0.627,5.497,0.021,4.939,0.471,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.689,0.014,0.004,0.032,0.038,0.021,0.03,0.0,0.016,0.005,0.01,0.0,0.122,0.0,0.006,0.011,0.001,0.009,0.002,0.052,0.004,0.009,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2300,0.679,0.627,5.471,0.021,4.939,0.471,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.689,0.014,0.004,0.032,0.038,0.021,0.03,0.0,0.016,0.005,0.01,0.0,0.122,0.0,0.006,0.011,0.001,0.009,0.002,0.052,0.004,0.009,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2400,0.679,0.627,5.471,0.021,4.939,0.471,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.689,0.014,0.004,0.032,0.038,0.021,0.03,0.0,0.016,0.005,0.01,0.0,0.122,0.0,0.006,0.011,0.001,0.009,0.002,0.052,0.004,0.009,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2500,0.679,0.627,5.418,0.021,4.939,0.471,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.689,0.014,0.004,0.032,0.038,0.021,0.03,0.0,0.016,0.005,0.01,0.0,0.122,0.0,0.006,0.011,0.001,0.009,0.002,0.052,0.004,0.009,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2600,0.683,0.621,5.389,0.02,4.944,0.464,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.689,0.014,0.004,0.032,0.038,0.021,0.028,0.0,0.016,0.005,0.01,0.0,0.117,0.0,0.006,0.011,0.001,0.01,0.002,0.052,0.004,0.008,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2700,0.683,0.621,5.321,0.021,4.945,0.464,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.689,0.014,0.004,0.032,0.038,0.021,0.028,0.0,0.016,0.005,0.01,0.0,0.117,0.0,0.006,0.011,0.001,0.01,0.002,0.052,0.004,0.008,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2800,0.683,0.621,5.33,0.021,4.945,0.464,0.691,0.689,0.69,0.69,0.691,0.69,0.689,0.689,0.014,0.004,0.032,0.038,0.021,0.028,0.0,0.016,0.005,0.01,0.0,0.117,0.0,0.006,0.011,0.001,0.01,0.002,0.052,0.004,0.008,0.035,0.0,0.004,0.016,0.0,0.031,0.0
2900,0.687,0.616,5.25,0.021,4.951,0.458,0.691,0.689,0.69,0.69,0.691,0.69,0.688,0.69,0.014,0.004,0.032,0.038,0.021,0.028,0.0,0.016,0.005,0.01,0.0,0.117,0.0,0.006,0.011,0.001,0.01,0.001,0.052,0.004,0.008,0.033,0.0,0.004,0.015,0.0,0.029,0.0
3000,0.687,0.616,5.206,0.022,4.952,0.454,0.691,0.689,0.69,0.69,0.691,0.69,0.688,0.69,0.014,0.004,0.032,0.038,0.021,0.027,0.0,0.016,0.005,0.01,0.0,0.114,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.008,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3100,0.687,0.615,5.184,0.02,4.95,0.452,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.69,0.014,0.004,0.032,0.038,0.021,0.026,0.0,0.016,0.005,0.01,0.0,0.113,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.009,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3200,0.687,0.615,5.131,0.02,4.95,0.452,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.69,0.014,0.004,0.032,0.038,0.021,0.026,0.0,0.016,0.005,0.01,0.0,0.113,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.009,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3300,0.687,0.615,5.075,0.02,4.95,0.452,0.69,0.689,0.69,0.69,0.691,0.69,0.689,0.69,0.014,0.004,0.032,0.038,0.02,0.026,0.0,0.016,0.005,0.01,0.0,0.113,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.009,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3400,0.687,0.615,5.062,0.021,4.95,0.452,0.69,0.689,0.69,0.691,0.691,0.69,0.689,0.69,0.014,0.004,0.032,0.038,0.02,0.026,0.0,0.016,0.005,0.01,0.0,0.113,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.009,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3500,0.687,0.615,5.028,0.021,4.951,0.451,0.69,0.689,0.69,0.691,0.691,0.69,0.688,0.69,0.014,0.004,0.032,0.038,0.02,0.026,0.0,0.016,0.005,0.01,0.0,0.113,0.0,0.006,0.011,0.001,0.009,0.001,0.052,0.004,0.009,0.033,0.0,0.003,0.015,0.0,0.029,0.0
3600,0.687,0.615,5.003,0.02,4.95,0.448,0.69,0.689,0.69,0.691,0.691,0.69,0.689,0.69,0.014,0.004,0.032,0.038,0.02,0.028,0.0,0.016,0.005,0.01,0.0,0.11,0.0,0.006,0.011,0.001,0.008,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
3700,0.687,0.615,5.031,0.02,4.95,0.448,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.69,0.014,0.004,0.032,0.038,0.02,0.028,0.0,0.016,0.005,0.01,0.0,0.109,0.0,0.006,0.011,0.001,0.008,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
3800,0.687,0.615,5.013,0.021,4.951,0.446,0.69,0.689,0.688,0.69,0.691,0.69,0.69,0.69,0.014,0.004,0.032,0.038,0.02,0.028,0.0,0.016,0.005,0.01,0.0,0.109,0.0,0.006,0.011,0.0,0.008,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
3900,0.687,0.615,4.986,0.019,4.949,0.442,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.69,0.014,0.004,0.032,0.038,0.02,0.028,0.0,0.014,0.005,0.01,0.0,0.109,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4000,0.687,0.615,4.986,0.02,4.95,0.442,0.69,0.688,0.69,0.69,0.691,0.69,0.69,0.69,0.014,0.004,0.032,0.038,0.02,0.028,0.0,0.014,0.005,0.01,0.0,0.109,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4100,0.687,0.615,4.964,0.019,4.95,0.437,0.69,0.689,0.69,0.69,0.691,0.69,0.69,0.69,0.013,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4200,0.687,0.615,4.973,0.018,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4300,0.687,0.615,4.963,0.018,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4400,0.687,0.615,4.977,0.018,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4500,0.687,0.615,4.945,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4600,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4700,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4800,0.687,0.615,4.969,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
4900,0.687,0.615,4.947,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5000,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5100,0.687,0.615,4.957,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5200,0.687,0.615,4.95,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5300,0.687,0.615,4.969,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5400,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5500,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5600,0.687,0.615,4.947,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5700,0.687,0.615,4.945,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5800,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
5900,0.687,0.615,4.949,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6000,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6100,0.687,0.615,4.947,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6200,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6300,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6400,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6500,0.687,0.615,4.945,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6600,0.687,0.615,4.949,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6700,0.687,0.615,4.947,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6800,0.687,0.615,4.947,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
6900,0.687,0.615,4.94,0.019,4.949,0.436,0.69,0.69,0.69,0.69,0.691,0.689,0.69,0.69,0.012,0.004,0.032,0.038,0.02,0.028,0.0,0.013,0.006,0.009,0.001,0.106,0.0,0.005,0.01,0.0,0.007,0.001,0.052,0.004,0.008,0.033,0.0,0.002,0.015,0.001,0.029,0.0
