Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.622,5.544,5.545,5.525,5.526,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
100,0.535,4.936,5.545,4.632,5.242,0.497,0.131,0.129,0.104,0.085,0.156,0.148,0.103,0.088,0.026,0.018,0.012,0.035,0.025,0.023,0.002,0.017,0.013,0.033,0.033,0.022,0.006,0.015,0.022,0.019,0.017,0.008,0.015,0.015,0.012,0.009,0.034,0.027,0.004,0.022,0.009,0.004
200,0.357,3.95,5.545,2.732,4.327,2.019,0.358,0.357,0.336,0.336,0.373,0.373,0.328,0.361,0.091,0.037,0.012,0.182,0.058,0.146,0.011,0.053,0.04,0.128,0.185,0.112,0.006,0.152,0.042,0.058,0.079,0.054,0.017,0.053,0.045,0.1,0.093,0.156,0.004,0.087,0.019,0.0
300,0.266,3.253,5.545,1.617,3.91,2.126,0.465,0.495,0.492,0.483,0.46,0.526,0.434,0.579,0.031,0.025,0.007,0.27,0.019,0.246,0.031,0.017,0.015,0.07,0.367,0.053,0.014,0.304,0.015,0.016,0.06,0.049,0.004,0.016,0.032,0.102,0.052,0.233,0.017,0.037,0.02,0.003
400,0.216,2.893,5.545,0.989,3.641,2.354,0.536,0.556,0.57,0.57,0.535,0.592,0.538,0.654,0.023,0.026,0.009,0.327,0.015,0.309,0.025,0.007,0.007,0.058,0.452,0.044,0.015,0.392,0.011,0.007,0.067,0.041,0.003,0.007,0.039,0.083,0.045,0.274,0.016,0.033,0.017,0.001
500,0.195,2.593,5.545,0.613,3.565,2.375,0.577,0.586,0.617,0.628,0.609,0.62,0.613,0.67,0.026,0.032,0.006,0.369,0.012,0.32,0.028,0.007,0.006,0.057,0.449,0.046,0.014,0.369,0.012,0.008,0.087,0.029,0.001,0.009,0.037,0.087,0.038,0.255,0.019,0.029,0.021,0.001
600,0.197,2.348,5.545,0.347,3.544,2.365,0.613,0.635,0.653,0.661,0.646,0.644,0.654,0.676,0.029,0.037,0.007,0.381,0.016,0.326,0.027,0.008,0.005,0.059,0.434,0.047,0.013,0.35,0.011,0.011,0.093,0.026,0.001,0.01,0.034,0.089,0.04,0.242,0.02,0.03,0.02,0.001
700,0.202,2.209,5.545,0.212,3.548,2.348,0.64,0.658,0.666,0.671,0.658,0.671,0.67,0.68,0.03,0.036,0.006,0.386,0.02,0.322,0.028,0.007,0.005,0.058,0.427,0.045,0.012,0.341,0.011,0.011,0.092,0.024,0.001,0.01,0.034,0.088,0.043,0.238,0.021,0.03,0.019,0.001
800,0.212,2.131,5.545,0.156,3.571,2.334,0.648,0.666,0.673,0.677,0.666,0.679,0.678,0.682,0.03,0.039,0.009,0.379,0.019,0.318,0.027,0.007,0.007,0.059,0.421,0.045,0.012,0.332,0.011,0.011,0.091,0.024,0.002,0.011,0.036,0.091,0.043,0.241,0.02,0.03,0.019,0.001
900,0.227,2.056,5.545,0.112,3.601,2.314,0.666,0.672,0.677,0.681,0.669,0.683,0.681,0.682,0.035,0.037,0.01,0.38,0.02,0.312,0.026,0.008,0.008,0.063,0.405,0.045,0.011,0.337,0.011,0.013,0.085,0.024,0.001,0.012,0.033,0.087,0.042,0.24,0.02,0.029,0.019,0.001
1000,0.239,2.015,5.545,0.096,3.627,2.276,0.668,0.675,0.679,0.683,0.669,0.685,0.683,0.682,0.035,0.037,0.012,0.365,0.021,0.3,0.023,0.008,0.008,0.065,0.405,0.045,0.011,0.337,0.01,0.013,0.085,0.023,0.001,0.012,0.033,0.086,0.04,0.234,0.019,0.029,0.018,0.001
1100,0.251,1.97,5.545,0.086,3.661,2.227,0.672,0.676,0.678,0.683,0.671,0.686,0.684,0.683,0.034,0.035,0.011,0.362,0.02,0.297,0.02,0.008,0.007,0.062,0.405,0.045,0.01,0.331,0.009,0.013,0.084,0.021,0.001,0.014,0.031,0.079,0.038,0.228,0.016,0.029,0.017,0.001
1200,0.262,1.941,5.545,0.083,3.687,2.191,0.673,0.677,0.678,0.685,0.666,0.687,0.685,0.684,0.032,0.036,0.011,0.353,0.021,0.29,0.018,0.008,0.008,0.059,0.405,0.045,0.01,0.327,0.009,0.014,0.083,0.02,0.001,0.015,0.029,0.075,0.036,0.225,0.015,0.029,0.016,0.0
1300,0.266,1.917,5.545,0.078,3.706,2.16,0.672,0.677,0.679,0.685,0.671,0.687,0.683,0.686,0.031,0.036,0.012,0.355,0.02,0.279,0.018,0.008,0.008,0.058,0.404,0.042,0.009,0.327,0.009,0.014,0.08,0.02,0.001,0.015,0.027,0.075,0.035,0.216,0.015,0.028,0.016,0.0
1400,0.278,1.887,5.545,0.073,3.731,2.124,0.672,0.677,0.679,0.686,0.67,0.687,0.687,0.687,0.029,0.038,0.015,0.334,0.019,0.284,0.015,0.008,0.009,0.055,0.404,0.042,0.01,0.319,0.01,0.014,0.079,0.02,0.002,0.016,0.025,0.072,0.033,0.212,0.016,0.027,0.016,0.0
1500,0.286,1.868,5.545,0.071,3.747,2.113,0.677,0.674,0.68,0.686,0.671,0.687,0.687,0.688,0.031,0.04,0.016,0.326,0.02,0.289,0.014,0.009,0.01,0.052,0.395,0.045,0.009,0.319,0.01,0.014,0.079,0.02,0.002,0.016,0.025,0.072,0.033,0.209,0.016,0.027,0.016,0.0
1600,0.291,1.855,5.545,0.064,3.754,2.103,0.678,0.678,0.68,0.686,0.672,0.687,0.687,0.689,0.031,0.04,0.016,0.33,0.02,0.287,0.014,0.009,0.01,0.05,0.391,0.045,0.008,0.319,0.011,0.014,0.079,0.02,0.002,0.016,0.025,0.071,0.03,0.203,0.017,0.027,0.016,0.0
