Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
4600,0.36,1.745,4.328,0.034,3.834,2.105,1.335,1.358,1.346,1.366,0.35,0.257,0.351,0.39,0.336,0.421
4700,0.36,1.745,4.444,0.033,3.834,2.105,1.335,1.358,1.346,1.366,0.35,0.257,0.351,0.39,0.336,0.421
4800,0.36,1.744,4.509,0.033,3.834,2.105,1.334,1.359,1.347,1.366,0.35,0.257,0.351,0.391,0.337,0.421
4900,0.364,1.727,4.294,0.032,3.85,2.086,1.337,1.359,1.347,1.366,0.342,0.251,0.344,0.391,0.337,0.421
5000,0.379,1.681,4.264,0.033,3.898,2.009,1.337,1.359,1.347,1.366,0.291,0.25,0.325,0.39,0.332,0.42
5100,0.383,1.667,4.277,0.031,3.91,1.99,1.336,1.361,1.347,1.366,0.287,0.249,0.324,0.381,0.327,0.42
5200,0.383,1.666,4.257,0.03,3.909,1.99,1.336,1.361,1.347,1.366,0.287,0.249,0.324,0.381,0.327,0.42
5300,0.386,1.657,4.308,0.034,3.922,1.967,1.333,1.361,1.347,1.366,0.279,0.242,0.317,0.381,0.327,0.42
5400,0.391,1.64,4.196,0.033,3.938,1.94,1.332,1.362,1.347,1.365,0.27,0.234,0.307,0.382,0.328,0.42
5500,0.391,1.639,4.151,0.03,3.937,1.942,1.334,1.362,1.348,1.365,0.269,0.235,0.309,0.382,0.328,0.42
5600,0.391,1.639,4.181,0.03,3.936,1.942,1.334,1.362,1.348,1.365,0.269,0.235,0.309,0.382,0.328,0.42
5700,0.395,1.63,4.27,0.032,3.947,1.913,1.334,1.362,1.346,1.365,0.268,0.235,0.309,0.379,0.317,0.406
5800,0.399,1.616,4.212,0.03,3.96,1.889,1.334,1.362,1.347,1.366,0.267,0.235,0.298,0.381,0.308,0.4
5900,0.399,1.616,4.161,0.029,3.959,1.888,1.335,1.362,1.348,1.367,0.267,0.235,0.298,0.382,0.308,0.399
6000,0.403,1.605,4.255,0.029,3.97,1.86,1.335,1.361,1.348,1.366,0.267,0.235,0.295,0.382,0.297,0.385
6100,0.41,1.586,4.269,0.031,3.989,1.831,1.335,1.361,1.349,1.367,0.267,0.227,0.295,0.378,0.289,0.375
6200,0.418,1.552,4.231,0.035,4.028,1.759,1.334,1.361,1.349,1.362,0.267,0.223,0.282,0.369,0.27,0.349
6300,0.422,1.543,4.359,0.029,4.032,1.748,1.332,1.361,1.349,1.367,0.259,0.225,0.276,0.369,0.27,0.349
6400,0.423,1.542,4.206,0.029,4.032,1.748,1.333,1.361,1.349,1.367,0.258,0.225,0.276,0.369,0.27,0.349
6500,0.428,1.534,4.174,0.031,4.042,1.731,1.332,1.359,1.349,1.367,0.254,0.219,0.276,0.355,0.268,0.358
6600,0.433,1.52,4.104,0.031,4.056,1.709,1.333,1.361,1.349,1.367,0.246,0.219,0.276,0.346,0.264,0.358
6700,0.434,1.515,4.135,0.028,4.058,1.706,1.333,1.364,1.348,1.367,0.245,0.219,0.276,0.345,0.263,0.358
6800,0.438,1.507,4.175,0.028,4.065,1.681,1.333,1.364,1.348,1.367,0.245,0.219,0.273,0.345,0.259,0.341
6900,0.438,1.507,4.25,0.028,4.066,1.68,1.333,1.363,1.348,1.367,0.244,0.219,0.273,0.344,0.259,0.341
