A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.062,0.066,0.062,0.065,0.062,0.063,0.065,0.059,0.064,0.058,0.061,0.067,0.06,0.063,0.065,0.059,0.057,0.057,0.064,0.061,0.063,0.066,0.062,0.067,0.071,0.064,0.063,0.064,0.066,0.06,0.059,0.056
0.035,0.069,0.042,0.044,0.008,0.051,0.124,0.01,0.088,0.038,0.146,0.121,0.016,0.081,0.103,0.023,0.012,0.039,0.099,0.052,0.024,0.15,0.059,0.012,0.05,0.113,0.155,0.055,0.044,0.066,0.057,0.013
0.04,0.07,0.054,0.047,0.007,0.055,0.11,0.012,0.09,0.046,0.125,0.125,0.017,0.078,0.086,0.039,0.008,0.083,0.063,0.062,0.016,0.134,0.078,0.016,0.053,0.102,0.141,0.039,0.039,0.063,0.073,0.03
0.039,0.07,0.055,0.047,0.008,0.055,0.11,0.015,0.087,0.047,0.125,0.125,0.016,0.078,0.086,0.039,0.008,0.086,0.055,0.062,0.016,0.133,0.078,0.016,0.055,0.102,0.141,0.039,0.039,0.062,0.078,0.031
0.039,0.07,0.055,0.047,0.008,0.055,0.11,0.016,0.086,0.046,0.125,0.125,0.026,0.068,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.062,0.078,0.031
0.039,0.07,0.055,0.047,0.008,0.055,0.109,0.016,0.086,0.047,0.125,0.125,0.032,0.062,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.141,0.039,0.039,0.062,0.078,0.031
0.039,0.07,0.055,0.047,0.008,0.055,0.109,0.016,0.086,0.047,0.125,0.125,0.032,0.062,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.141,0.039,0.039,0.062,0.078,0.031
0.039,0.07,0.052,0.05,0.008,0.055,0.109,0.016,0.086,0.047,0.125,0.128,0.031,0.059,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.062,0.078,0.031
0.039,0.07,0.047,0.055,0.008,0.055,0.102,0.018,0.084,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.063,0.078,0.031
0.039,0.07,0.047,0.055,0.008,0.055,0.102,0.023,0.078,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.063,0.078,0.031
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.141,0.039,0.039,0.063,0.078,0.031
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.063,0.078,0.031
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.078,0.016,0.055,0.102,0.14,0.039,0.039,0.063,0.078,0.031
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.086,0.016,0.055,0.102,0.14,0.039,0.039,0.063,0.078,0.023
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.094,0.016,0.055,0.102,0.133,0.039,0.039,0.063,0.078,0.023
0.039,0.078,0.047,0.055,0.007,0.055,0.102,0.023,0.07,0.047,0.125,0.133,0.039,0.055,0.086,0.039,0.008,0.086,0.055,0.063,0.016,0.133,0.094,0.016,0.055,0.102,0.133,0.039,0.039,0.063,0.078,0.023
