A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.064,0.07,0.064,0.071,0.073,0.07,0.067,0.067,0.053,0.054,0.06,0.057,0.054,0.052,0.054,0.071,0.074,0.079,0.058,0.054,0.066,0.052,0.067,0.071,0.063,0.062,0.057,0.067,0.056,0.06,0.061,0.054
0.049,0.088,0.072,0.046,0.092,0.053,0.048,0.079,0.066,0.044,0.077,0.061,0.042,0.051,0.059,0.073,0.061,0.119,0.072,0.037,0.079,0.039,0.071,0.046,0.083,0.054,0.042,0.057,0.05,0.077,0.064,0.047
0.054,0.099,0.072,0.057,0.079,0.062,0.043,0.067,0.084,0.026,0.064,0.067,0.037,0.031,0.071,0.086,0.04,0.171,0.051,0.031,0.056,0.048,0.099,0.041,0.088,0.032,0.019,0.044,0.027,0.101,0.098,0.055
0.031,0.104,0.05,0.064,0.057,0.077,0.047,0.046,0.102,0.006,0.018,0.144,0.041,0.056,0.073,0.083,0.012,0.169,0.016,0.027,0.057,0.069,0.088,0.043,0.081,0.013,0.006,0.058,0.057,0.117,0.106,0.082
0.029,0.105,0.037,0.062,0.07,0.075,0.049,0.053,0.106,0.003,0.008,0.145,0.047,0.07,0.063,0.08,0.005,0.153,0.014,0.029,0.064,0.07,0.064,0.045,0.068,0.006,0.005,0.087,0.064,0.133,0.108,0.085
0.029,0.108,0.026,0.057,0.077,0.075,0.049,0.051,0.111,0.002,0.006,0.136,0.052,0.074,0.065,0.081,0.002,0.138,0.028,0.029,0.06,0.07,0.033,0.047,0.038,0.003,0.006,0.147,0.067,0.136,0.11,0.087
0.03,0.115,0.017,0.056,0.089,0.078,0.046,0.043,0.122,0.001,0.004,0.127,0.05,0.082,0.067,0.073,0.001,0.121,0.048,0.032,0.047,0.073,0.011,0.045,0.014,0.001,0.009,0.197,0.065,0.134,0.113,0.089
0.028,0.129,0.012,0.055,0.092,0.082,0.045,0.037,0.131,0.001,0.002,0.133,0.051,0.084,0.067,0.051,0.0,0.11,0.057,0.037,0.044,0.076,0.003,0.043,0.003,0.0,0.012,0.228,0.062,0.134,0.106,0.082
0.028,0.107,0.009,0.055,0.091,0.083,0.046,0.038,0.129,0.0,0.001,0.135,0.051,0.084,0.067,0.077,0.0,0.108,0.058,0.047,0.044,0.077,0.003,0.043,0.002,0.0,0.012,0.222,0.063,0.134,0.105,0.082
0.028,0.106,0.002,0.054,0.09,0.084,0.047,0.036,0.129,0.0,0.0,0.133,0.051,0.086,0.066,0.086,0.0,0.104,0.059,0.047,0.043,0.078,0.003,0.043,0.002,0.0,0.012,0.221,0.062,0.138,0.105,0.082
0.028,0.109,0.001,0.054,0.09,0.086,0.047,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.066,0.085,0.0,0.105,0.059,0.047,0.043,0.078,0.002,0.043,0.002,0.0,0.012,0.219,0.063,0.137,0.105,0.084
0.028,0.109,0.001,0.051,0.09,0.086,0.05,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.066,0.085,0.0,0.105,0.059,0.047,0.043,0.079,0.002,0.043,0.002,0.0,0.012,0.215,0.063,0.137,0.106,0.086
0.028,0.109,0.0,0.05,0.09,0.086,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.066,0.085,0.0,0.105,0.059,0.047,0.043,0.078,0.001,0.043,0.001,0.0,0.013,0.214,0.063,0.14,0.106,0.086
0.028,0.109,0.0,0.05,0.09,0.086,0.054,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.063,0.086,0.0,0.105,0.059,0.047,0.043,0.079,0.001,0.043,0.001,0.0,0.015,0.211,0.063,0.141,0.106,0.086
0.028,0.109,0.0,0.049,0.09,0.087,0.054,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.063,0.086,0.0,0.105,0.059,0.047,0.043,0.078,0.001,0.043,0.0,0.0,0.016,0.211,0.063,0.141,0.108,0.086
0.027,0.112,0.0,0.047,0.09,0.09,0.052,0.035,0.129,0.0,0.0,0.131,0.051,0.087,0.063,0.086,0.0,0.094,0.059,0.047,0.043,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.063,0.141,0.121,0.085
0.027,0.113,0.0,0.047,0.09,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.093,0.059,0.047,0.043,0.078,0.0,0.043,0.0,0.0,0.016,0.21,0.067,0.141,0.125,0.078
0.027,0.113,0.0,0.047,0.09,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.094,0.059,0.047,0.043,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.141,0.125,0.078
0.027,0.113,0.0,0.047,0.09,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.063,0.086,0.0,0.093,0.059,0.047,0.039,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.145,0.125,0.078
0.027,0.113,0.0,0.047,0.09,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.094,0.059,0.047,0.039,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.144,0.125,0.078
0.027,0.113,0.0,0.047,0.09,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.094,0.059,0.047,0.039,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.144,0.125,0.078
0.027,0.117,0.0,0.047,0.086,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.094,0.059,0.047,0.039,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.144,0.125,0.078
0.028,0.117,0.0,0.047,0.086,0.09,0.051,0.035,0.129,0.0,0.0,0.133,0.051,0.086,0.062,0.086,0.0,0.093,0.059,0.047,0.039,0.078,0.0,0.043,0.0,0.0,0.016,0.211,0.066,0.144,0.125,0.078
