A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.07,0.059,0.059,0.069,0.069,0.069,0.057,0.058,0.055,0.059,0.056,0.072,0.058,0.068,0.062,0.06,0.057,0.056,0.068,0.06,0.063,0.061,0.073,0.06,0.068,0.059,0.071,0.067,0.065,0.06,0.054,0.057
0.071,0.045,0.052,0.059,0.101,0.082,0.059,0.052,0.079,0.045,0.062,0.048,0.051,0.058,0.093,0.043,0.051,0.044,0.043,0.07,0.104,0.063,0.062,0.049,0.08,0.04,0.051,0.082,0.055,0.051,0.086,0.07
0.094,0.067,0.025,0.034,0.091,0.066,0.043,0.026,0.134,0.036,0.075,0.05,0.032,0.083,0.117,0.026,0.044,0.034,0.022,0.103,0.149,0.067,0.051,0.02,0.054,0.016,0.052,0.052,0.052,0.024,0.168,0.091
0.079,0.064,0.008,0.051,0.097,0.034,0.033,0.013,0.163,0.031,0.049,0.068,0.053,0.09,0.147,0.021,0.02,0.064,0.013,0.104,0.14,0.071,0.034,0.018,0.016,0.028,0.054,0.04,0.106,0.013,0.173,0.106
0.081,0.064,0.004,0.054,0.109,0.034,0.017,0.014,0.147,0.043,0.063,0.07,0.077,0.072,0.143,0.008,0.006,0.074,0.02,0.102,0.144,0.077,0.023,0.038,0.007,0.028,0.055,0.032,0.129,0.004,0.16,0.103
0.077,0.063,0.001,0.054,0.12,0.033,0.006,0.02,0.133,0.038,0.084,0.071,0.082,0.073,0.146,0.002,0.002,0.079,0.019,0.104,0.148,0.077,0.023,0.033,0.003,0.025,0.055,0.027,0.132,0.001,0.169,0.102
0.071,0.063,0.001,0.055,0.119,0.026,0.003,0.018,0.129,0.035,0.095,0.07,0.093,0.072,0.15,0.001,0.001,0.085,0.016,0.104,0.154,0.078,0.023,0.033,0.001,0.024,0.055,0.024,0.132,0.001,0.169,0.101
0.07,0.063,0.0,0.055,0.124,0.03,0.002,0.017,0.121,0.039,0.093,0.07,0.103,0.071,0.141,0.0,0.0,0.086,0.016,0.104,0.153,0.078,0.024,0.032,0.001,0.024,0.055,0.023,0.132,0.0,0.171,0.101
0.07,0.062,0.0,0.055,0.125,0.032,0.001,0.016,0.116,0.039,0.094,0.07,0.11,0.071,0.14,0.0,0.0,0.086,0.016,0.101,0.156,0.078,0.023,0.032,0.0,0.024,0.055,0.023,0.133,0.0,0.172,0.101
0.07,0.056,0.0,0.055,0.126,0.031,0.001,0.016,0.122,0.039,0.094,0.07,0.109,0.071,0.14,0.0,0.0,0.086,0.016,0.101,0.156,0.078,0.023,0.032,0.0,0.024,0.055,0.023,0.133,0.0,0.172,0.101
