A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.054,0.066,0.065,0.047,0.061,0.071,0.072,0.06,0.055,0.056,0.052,0.079,0.065,0.074,0.067,0.057,0.058,0.074,0.067,0.071,0.053,0.054,0.072,0.06,0.055,0.059,0.054,0.065,0.071,0.069,0.05,0.068
0.055,0.09,0.05,0.039,0.083,0.083,0.058,0.047,0.044,0.059,0.047,0.062,0.055,0.079,0.08,0.069,0.056,0.09,0.071,0.057,0.047,0.072,0.105,0.077,0.044,0.054,0.06,0.049,0.057,0.051,0.062,0.049
0.083,0.062,0.023,0.057,0.091,0.078,0.044,0.029,0.043,0.044,0.028,0.047,0.053,0.113,0.093,0.112,0.059,0.15,0.097,0.061,0.052,0.107,0.133,0.048,0.017,0.027,0.028,0.035,0.031,0.029,0.094,0.032
0.113,0.055,0.012,0.088,0.077,0.073,0.039,0.045,0.055,0.03,0.01,0.07,0.057,0.106,0.074,0.094,0.035,0.162,0.118,0.037,0.086,0.126,0.138,0.034,0.017,0.031,0.014,0.042,0.019,0.012,0.082,0.048
0.092,0.066,0.015,0.09,0.09,0.074,0.039,0.07,0.062,0.027,0.004,0.056,0.069,0.093,0.064,0.089,0.022,0.15,0.099,0.021,0.106,0.132,0.117,0.063,0.036,0.062,0.028,0.044,0.012,0.008,0.065,0.035
0.093,0.063,0.033,0.092,0.092,0.075,0.038,0.067,0.062,0.032,0.002,0.032,0.068,0.093,0.063,0.094,0.027,0.167,0.097,0.005,0.093,0.121,0.095,0.094,0.035,0.059,0.036,0.064,0.005,0.002,0.067,0.032
0.093,0.062,0.032,0.093,0.093,0.079,0.037,0.065,0.062,0.032,0.002,0.032,0.068,0.094,0.063,0.095,0.03,0.178,0.09,0.002,0.094,0.121,0.094,0.094,0.035,0.063,0.035,0.064,0.003,0.001,0.065,0.032
0.094,0.062,0.032,0.093,0.093,0.084,0.035,0.064,0.062,0.031,0.001,0.031,0.067,0.094,0.063,0.095,0.033,0.182,0.087,0.001,0.094,0.121,0.094,0.093,0.035,0.063,0.034,0.064,0.003,0.0,0.064,0.032
0.094,0.062,0.031,0.093,0.094,0.087,0.033,0.063,0.062,0.031,0.001,0.031,0.066,0.094,0.063,0.095,0.034,0.184,0.085,0.001,0.094,0.121,0.094,0.091,0.036,0.063,0.034,0.064,0.003,0.0,0.064,0.032
0.093,0.061,0.031,0.093,0.094,0.088,0.032,0.063,0.062,0.032,0.0,0.031,0.066,0.094,0.063,0.095,0.034,0.186,0.084,0.001,0.094,0.12,0.094,0.063,0.039,0.061,0.035,0.066,0.028,0.0,0.064,0.032
0.093,0.062,0.031,0.093,0.093,0.09,0.032,0.063,0.062,0.031,0.0,0.031,0.065,0.094,0.063,0.095,0.033,0.186,0.08,0.0,0.094,0.12,0.094,0.063,0.039,0.053,0.036,0.075,0.032,0.0,0.063,0.032
0.093,0.062,0.031,0.093,0.094,0.09,0.032,0.063,0.063,0.031,0.0,0.031,0.065,0.094,0.063,0.095,0.034,0.186,0.076,0.0,0.094,0.087,0.094,0.063,0.04,0.031,0.068,0.097,0.034,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.092,0.031,0.063,0.062,0.031,0.0,0.031,0.064,0.094,0.063,0.095,0.034,0.186,0.079,0.0,0.094,0.091,0.094,0.063,0.038,0.031,0.065,0.097,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.034,0.186,0.079,0.0,0.094,0.092,0.094,0.063,0.038,0.031,0.064,0.096,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.079,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.064,0.096,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.078,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.063,0.096,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.078,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.063,0.096,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.093,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.078,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.063,0.096,0.033,0.0,0.063,0.032
0.094,0.062,0.031,0.092,0.094,0.093,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.078,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.063,0.096,0.033,0.0,0.062,0.033
0.094,0.062,0.031,0.092,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.095,0.035,0.187,0.078,0.0,0.094,0.093,0.094,0.063,0.038,0.031,0.063,0.096,0.033,0.0,0.062,0.033
0.094,0.062,0.031,0.063,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.124,0.036,0.189,0.079,0.0,0.094,0.093,0.094,0.063,0.037,0.031,0.063,0.096,0.032,0.0,0.061,0.032
0.094,0.062,0.031,0.059,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.128,0.035,0.187,0.079,0.0,0.094,0.094,0.094,0.063,0.037,0.031,0.063,0.096,0.032,0.0,0.063,0.032
0.094,0.062,0.031,0.06,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.127,0.035,0.187,0.079,0.0,0.094,0.094,0.094,0.063,0.037,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.094,0.062,0.031,0.061,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.127,0.035,0.187,0.078,0.0,0.094,0.094,0.094,0.063,0.037,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.094,0.062,0.031,0.061,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.126,0.035,0.187,0.078,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.094,0.062,0.031,0.061,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.126,0.035,0.187,0.078,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.094,0.062,0.031,0.062,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.126,0.035,0.187,0.077,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.093,0.062,0.031,0.062,0.094,0.094,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.126,0.035,0.187,0.077,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.034
0.092,0.062,0.031,0.062,0.094,0.095,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.126,0.035,0.187,0.077,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.034
0.062,0.062,0.031,0.062,0.094,0.125,0.031,0.063,0.062,0.031,0.0,0.031,0.062,0.094,0.063,0.126,0.035,0.187,0.076,0.0,0.094,0.094,0.094,0.062,0.039,0.031,0.063,0.096,0.032,0.0,0.063,0.033
0.062,0.062,0.031,0.062,0.094,0.125,0.031,0.063,0.062,0.031,0.0,0.031,0.062,0.094,0.063,0.126,0.035,0.187,0.076,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.034
0.062,0.062,0.031,0.062,0.094,0.125,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.125,0.036,0.187,0.076,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.034
0.062,0.062,0.031,0.062,0.094,0.125,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.125,0.036,0.187,0.076,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.034
0.062,0.062,0.031,0.062,0.094,0.125,0.031,0.063,0.062,0.031,0.0,0.031,0.063,0.094,0.063,0.125,0.036,0.187,0.076,0.0,0.094,0.094,0.094,0.063,0.038,0.031,0.063,0.096,0.032,0.0,0.063,0.035
