Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.944,3.461,3.466,5.536,5.54,0.0,0.001,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
100,0.884,0.881,3.466,1.882,4.466,0.979,0.893,0.854,0.953,0.867,0.17,0.186,0.112,0.148,0.199,0.164
200,0.995,0.066,3.466,0.408,3.808,1.384,1.309,1.195,1.261,1.24,0.294,0.27,0.125,0.193,0.268,0.233
300,0.998,0.024,3.466,0.251,3.693,1.451,1.351,1.228,1.299,1.28,0.311,0.284,0.122,0.202,0.278,0.254
400,0.999,0.014,3.466,0.2,3.652,1.478,1.362,1.242,1.311,1.294,0.317,0.288,0.121,0.207,0.281,0.263
500,1.0,0.01,3.466,0.172,3.628,1.494,1.368,1.253,1.317,1.302,0.321,0.291,0.121,0.211,0.282,0.268
600,1.0,0.007,3.466,0.154,3.612,1.505,1.371,1.261,1.32,1.307,0.323,0.292,0.121,0.214,0.283,0.272
700,1.0,0.006,3.466,0.141,3.6,1.514,1.373,1.267,1.322,1.311,0.325,0.293,0.121,0.216,0.284,0.274
800,1.0,0.005,3.466,0.131,3.592,1.52,1.374,1.273,1.323,1.313,0.327,0.294,0.121,0.218,0.285,0.276
900,1.0,0.005,3.466,0.125,3.586,1.525,1.374,1.276,1.324,1.315,0.328,0.294,0.12,0.219,0.286,0.277
1000,1.0,0.004,3.466,0.12,3.581,1.529,1.375,1.279,1.325,1.316,0.329,0.294,0.12,0.22,0.287,0.279
1100,1.0,0.004,3.466,0.116,3.578,1.531,1.375,1.282,1.325,1.317,0.329,0.294,0.12,0.221,0.287,0.279
1200,1.0,0.004,3.466,0.114,3.576,1.533,1.375,1.283,1.325,1.318,0.33,0.294,0.12,0.221,0.288,0.28
1300,1.0,0.004,3.466,0.112,3.574,1.534,1.375,1.285,1.325,1.318,0.33,0.294,0.12,0.222,0.288,0.281
1400,1.0,0.004,3.466,0.111,3.573,1.534,1.375,1.286,1.325,1.318,0.33,0.293,0.12,0.222,0.288,0.281
1500,1.0,0.004,3.466,0.111,3.573,1.534,1.375,1.286,1.325,1.319,0.33,0.293,0.12,0.222,0.288,0.281
1600,1.0,0.004,3.466,0.111,3.573,1.534,1.375,1.287,1.325,1.319,0.33,0.293,0.12,0.221,0.288,0.282
1700,1.0,0.004,3.466,0.111,3.573,1.534,1.375,1.287,1.325,1.319,0.33,0.292,0.12,0.221,0.289,0.282
