A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.269,0.255,0.24,0.236,0.259,0.259,0.237,0.244,0.258,0.247,0.246,0.248,0.237,0.249,0.256,0.257
0.207,0.206,0.345,0.243,0.238,0.272,0.299,0.19,0.193,0.276,0.211,0.32,0.257,0.249,0.326,0.168
0.191,0.202,0.344,0.263,0.235,0.274,0.304,0.187,0.217,0.265,0.202,0.316,0.273,0.222,0.305,0.2
0.196,0.2,0.344,0.26,0.234,0.282,0.304,0.18,0.218,0.265,0.196,0.32,0.273,0.219,0.305,0.203
0.195,0.2,0.344,0.261,0.234,0.282,0.304,0.18,0.219,0.266,0.195,0.32,0.273,0.219,0.305,0.203
0.187,0.2,0.344,0.269,0.234,0.289,0.297,0.18,0.226,0.266,0.195,0.313,0.273,0.219,0.305,0.203
0.187,0.202,0.343,0.268,0.234,0.289,0.297,0.18,0.227,0.266,0.195,0.312,0.273,0.219,0.305,0.203
0.191,0.21,0.323,0.276,0.234,0.289,0.296,0.18,0.227,0.266,0.195,0.312,0.273,0.219,0.305,0.203
0.204,0.211,0.32,0.265,0.234,0.297,0.289,0.18,0.235,0.266,0.195,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.234,0.297,0.289,0.18,0.234,0.266,0.195,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.234,0.297,0.289,0.18,0.243,0.257,0.195,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.234,0.297,0.289,0.18,0.242,0.258,0.195,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.234,0.305,0.281,0.18,0.242,0.258,0.195,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.234,0.305,0.281,0.18,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.233,0.305,0.281,0.181,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
0.203,0.211,0.32,0.266,0.226,0.305,0.281,0.188,0.234,0.258,0.203,0.305,0.273,0.219,0.305,0.203
