A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.061,0.057,0.06,0.063,0.063,0.067,0.066,0.069,0.065,0.062,0.057,0.058,0.061,0.064,0.059,0.067,0.063,0.063,0.061,0.057,0.069,0.064,0.063,0.061,0.059,0.066,0.063,0.064,0.06,0.06,0.063,0.064
0.061,0.068,0.059,0.107,0.036,0.025,0.069,0.041,0.058,0.019,0.048,0.083,0.049,0.16,0.067,0.052,0.136,0.096,0.019,0.028,0.105,0.106,0.045,0.066,0.015,0.106,0.057,0.015,0.055,0.005,0.087,0.059
0.082,0.02,0.096,0.075,0.077,0.001,0.057,0.006,0.066,0.038,0.032,0.103,0.062,0.15,0.073,0.061,0.073,0.127,0.001,0.053,0.137,0.109,0.074,0.069,0.005,0.11,0.055,0.0,0.002,0.004,0.081,0.101
0.082,0.016,0.097,0.07,0.082,0.0,0.059,0.0,0.066,0.043,0.031,0.102,0.063,0.148,0.074,0.066,0.078,0.125,0.0,0.054,0.136,0.11,0.07,0.07,0.008,0.109,0.055,0.0,0.0,0.0,0.082,0.101
0.082,0.016,0.097,0.069,0.082,0.0,0.059,0.0,0.066,0.043,0.032,0.105,0.063,0.148,0.072,0.066,0.078,0.125,0.0,0.055,0.137,0.109,0.069,0.07,0.008,0.109,0.055,0.0,0.0,0.0,0.082,0.102
0.082,0.016,0.093,0.066,0.082,0.0,0.059,0.0,0.066,0.047,0.031,0.106,0.062,0.148,0.074,0.066,0.078,0.125,0.0,0.055,0.137,0.109,0.074,0.07,0.008,0.105,0.055,0.0,0.0,0.0,0.082,0.101
0.082,0.02,0.094,0.066,0.086,0.0,0.055,0.0,0.066,0.047,0.031,0.106,0.063,0.144,0.074,0.066,0.078,0.125,0.0,0.055,0.137,0.113,0.074,0.07,0.008,0.101,0.055,0.0,0.0,0.0,0.082,0.101
0.086,0.02,0.094,0.066,0.087,0.0,0.055,0.0,0.066,0.047,0.031,0.106,0.063,0.139,0.074,0.066,0.078,0.119,0.0,0.055,0.142,0.113,0.074,0.07,0.008,0.101,0.055,0.0,0.0,0.0,0.082,0.102
0.086,0.02,0.094,0.066,0.09,0.0,0.055,0.0,0.066,0.047,0.031,0.106,0.062,0.137,0.074,0.066,0.078,0.117,0.0,0.055,0.141,0.113,0.074,0.07,0.008,0.101,0.055,0.0,0.0,0.0,0.082,0.106
0.086,0.02,0.094,0.066,0.09,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.136,0.074,0.066,0.078,0.113,0.0,0.055,0.144,0.105,0.082,0.07,0.008,0.101,0.055,0.0,0.0,0.0,0.082,0.106
0.086,0.02,0.094,0.066,0.09,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.137,0.074,0.066,0.078,0.11,0.0,0.055,0.141,0.101,0.089,0.071,0.008,0.102,0.055,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.094,0.066,0.09,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.136,0.074,0.066,0.078,0.109,0.0,0.055,0.141,0.101,0.09,0.07,0.008,0.102,0.055,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.094,0.066,0.09,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.133,0.078,0.066,0.078,0.109,0.0,0.055,0.141,0.101,0.09,0.07,0.008,0.102,0.055,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.092,0.069,0.092,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.13,0.078,0.066,0.078,0.109,0.0,0.055,0.141,0.102,0.09,0.071,0.008,0.102,0.055,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.09,0.07,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.063,0.129,0.078,0.066,0.078,0.109,0.0,0.055,0.141,0.101,0.09,0.07,0.008,0.102,0.055,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.078,0.109,0.0,0.055,0.141,0.101,0.09,0.074,0.008,0.101,0.051,0.0,0.0,0.0,0.082,0.109
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.109,0.0,0.055,0.141,0.101,0.09,0.074,0.008,0.102,0.051,0.0,0.0,0.0,0.078,0.109
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.106,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.141,0.101,0.09,0.074,0.008,0.102,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.141,0.094,0.09,0.082,0.008,0.102,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.141,0.094,0.09,0.082,0.008,0.102,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.141,0.094,0.09,0.082,0.008,0.102,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
0.086,0.02,0.09,0.066,0.094,0.0,0.055,0.0,0.066,0.047,0.031,0.105,0.066,0.129,0.078,0.066,0.082,0.113,0.0,0.055,0.137,0.094,0.09,0.082,0.008,0.105,0.051,0.0,0.0,0.0,0.078,0.105
