Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.791,4.851,4.852,5.543,5.544,0.0,0.001,0.0,0.0
100,0.568,0.929,4.852,0.316,4.239,1.053,2.471,2.521,1.053
200,0.632,0.644,4.852,0.058,4.265,1.03,2.617,2.621,1.03
300,0.634,0.635,4.852,0.04,4.256,1.043,2.634,2.626,1.043
400,0.671,0.556,4.852,0.034,4.33,0.974,2.647,2.624,0.974
500,0.672,0.554,4.852,0.024,4.322,0.983,2.656,2.625,0.983
600,0.672,0.554,4.852,0.022,4.32,0.985,2.659,2.625,0.985
700,0.672,0.554,4.852,0.021,4.319,0.987,2.66,2.625,0.987
800,0.672,0.553,4.852,0.02,4.319,0.987,2.661,2.625,0.987
900,0.671,0.553,4.852,0.02,4.319,0.987,2.662,2.624,0.987
1000,0.672,0.553,4.852,0.02,4.319,0.987,2.662,2.624,0.987
1100,0.672,0.553,4.852,0.02,4.319,0.987,2.662,2.624,0.987
1200,0.672,0.553,4.852,0.02,4.319,0.987,2.662,2.623,0.987
1300,0.672,0.553,4.852,0.02,4.32,0.986,2.662,2.623,0.986
1400,0.672,0.553,4.852,0.02,4.32,0.986,2.663,2.623,0.986
1500,0.672,0.552,4.852,0.021,4.32,0.985,2.663,2.622,0.985
1600,0.672,0.552,4.852,0.021,4.321,0.985,2.663,2.622,0.985
1700,0.672,0.552,4.852,0.021,4.321,0.985,2.663,2.622,0.985
1800,0.672,0.552,4.852,0.021,4.321,0.984,2.663,2.621,0.984
1900,0.672,0.552,4.852,0.022,4.322,0.984,2.663,2.621,0.984
2000,0.672,0.552,4.852,0.022,4.322,0.983,2.663,2.62,0.983
2100,0.672,0.552,4.852,0.022,4.322,0.983,2.663,2.62,0.983
2200,0.673,0.552,4.841,0.023,4.323,0.982,2.663,2.619,0.982
2300,0.68,0.535,4.852,0.022,4.34,0.959,2.663,2.614,0.959
2400,0.68,0.535,4.82,0.023,4.34,0.959,2.663,2.613,0.959
2500,0.68,0.535,4.841,0.023,4.34,0.959,2.663,2.613,0.959
2600,0.68,0.535,4.729,0.023,4.341,0.958,2.663,2.613,0.958
2700,0.68,0.535,4.707,0.023,4.341,0.958,2.663,2.612,0.958
2800,0.68,0.535,4.649,0.024,4.341,0.958,2.663,2.612,0.958
2900,0.68,0.535,4.619,0.024,4.341,0.957,2.663,2.612,0.957
3000,0.681,0.535,4.619,0.024,4.341,0.957,2.663,2.612,0.957
3100,0.68,0.535,4.535,0.024,4.342,0.957,2.663,2.611,0.957
3200,0.68,0.535,4.516,0.024,4.342,0.957,2.663,2.611,0.957
3300,0.68,0.535,4.473,0.024,4.342,0.956,2.663,2.611,0.956
3400,0.68,0.535,4.499,0.025,4.342,0.956,2.663,2.611,0.956
3500,0.68,0.535,4.482,0.025,4.342,0.956,2.663,2.611,0.956
3600,0.68,0.535,4.451,0.025,4.342,0.956,2.663,2.61,0.956
3700,0.68,0.535,4.517,0.025,4.342,0.956,2.663,2.61,0.956
3800,0.68,0.535,4.41,0.025,4.342,0.955,2.663,2.61,0.955
3900,0.68,0.535,4.429,0.025,4.343,0.955,2.663,2.61,0.955
4000,0.681,0.535,4.439,0.025,4.343,0.955,2.663,2.61,0.955
4100,0.679,0.535,4.484,0.025,4.343,0.955,2.663,2.609,0.955
4200,0.68,0.535,4.438,0.025,4.343,0.955,2.663,2.609,0.955
4300,0.68,0.535,4.362,0.026,4.343,0.955,2.663,2.609,0.955
4400,0.68,0.535,4.399,0.026,4.343,0.954,2.663,2.609,0.954
4500,0.68,0.535,4.453,0.026,4.343,0.954,2.663,2.609,0.954
4600,0.68,0.535,4.432,0.026,4.343,0.954,2.663,2.608,0.954
4700,0.68,0.535,4.466,0.026,4.344,0.953,2.663,2.608,0.953
4800,0.68,0.535,4.373,0.027,4.344,0.952,2.663,2.607,0.952
4900,0.68,0.535,4.417,0.028,4.346,0.944,2.663,2.599,0.944
5000,0.68,0.535,4.52,0.02,4.337,0.936,2.663,2.591,0.936
5100,0.68,0.535,4.516,0.02,4.337,0.936,2.663,2.591,0.936
5200,0.68,0.535,4.436,0.02,4.337,0.936,2.663,2.591,0.936
5300,0.68,0.535,4.412,0.02,4.337,0.936,2.663,2.591,0.936
5400,0.68,0.535,4.423,0.02,4.337,0.936,2.663,2.591,0.936
5500,0.68,0.535,4.414,0.02,4.337,0.936,2.663,2.591,0.936
5600,0.68,0.535,4.41,0.02,4.337,0.936,2.663,2.591,0.936
5700,0.68,0.535,4.421,0.02,4.337,0.936,2.663,2.591,0.936
5800,0.68,0.535,4.404,0.02,4.337,0.936,2.662,2.591,0.936
5900,0.681,0.535,4.451,0.02,4.338,0.936,2.662,2.591,0.936
6000,0.68,0.535,4.425,0.02,4.338,0.936,2.662,2.591,0.936
6100,0.68,0.535,4.373,0.02,4.338,0.935,2.662,2.591,0.935
6200,0.68,0.535,4.362,0.021,4.338,0.935,2.662,2.591,0.935
6300,0.68,0.535,4.442,0.021,4.338,0.935,2.662,2.591,0.935
6400,0.68,0.535,4.406,0.021,4.339,0.935,2.661,2.591,0.935
6500,0.68,0.535,4.373,0.022,4.339,0.934,2.661,2.591,0.934
6600,0.68,0.535,4.417,0.023,4.34,0.932,2.659,2.591,0.932
6700,0.68,0.535,4.407,0.03,4.347,0.922,2.649,2.591,0.922
6800,0.68,0.535,4.392,0.019,4.337,0.907,2.634,2.591,0.907
6900,0.68,0.535,4.422,0.019,4.337,0.907,2.634,2.591,0.907
