0,0.788,4.851,10.394,5.544,4.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.614,1.399,5.948,4.549,4.852,1.09,1.056,1.105,1.115,0.17,0.167,0.155,0.126,0.144,0.134
200,0.71,0.54,4.956,4.416,4.852,1.335,1.305,1.354,1.332,0.156,0.174,0.144,0.093,0.138,0.127
300,0.711,0.518,4.913,4.396,4.852,1.347,1.315,1.363,1.341,0.154,0.174,0.145,0.093,0.139,0.127
400,0.719,0.502,4.898,4.396,4.852,1.353,1.318,1.367,1.343,0.146,0.164,0.146,0.094,0.14,0.127
500,0.726,0.485,4.889,4.404,4.852,1.356,1.328,1.368,1.344,0.144,0.165,0.146,0.095,0.137,0.126
600,0.727,0.484,4.886,4.402,4.852,1.357,1.328,1.369,1.345,0.144,0.165,0.146,0.095,0.137,0.126
700,0.734,0.473,4.884,4.412,4.852,1.359,1.329,1.369,1.345,0.134,0.16,0.147,0.095,0.137,0.126
800,0.742,0.461,4.883,4.422,4.852,1.36,1.328,1.367,1.345,0.134,0.147,0.147,0.099,0.137,0.116
900,0.758,0.426,4.885,4.459,4.852,1.359,1.332,1.367,1.346,0.138,0.146,0.138,0.094,0.113,0.11
1000,0.774,0.403,4.882,4.479,4.852,1.359,1.332,1.364,1.346,0.137,0.14,0.128,0.085,0.105,0.104
1100,0.774,0.403,4.881,4.479,4.852,1.36,1.332,1.364,1.346,0.137,0.14,0.128,0.085,0.105,0.104
1200,0.789,0.373,4.887,4.514,4.852,1.361,1.332,1.364,1.346,0.115,0.118,0.119,0.085,0.105,0.104
1300,0.789,0.372,4.881,4.509,4.852,1.365,1.333,1.364,1.346,0.118,0.12,0.117,0.085,0.105,0.104
1400,0.789,0.372,4.88,4.508,4.852,1.366,1.332,1.364,1.346,0.118,0.12,0.117,0.085,0.105,0.104
1500,0.797,0.357,4.879,4.522,4.852,1.366,1.333,1.364,1.348,0.118,0.12,0.108,0.085,0.093,0.1
1600,0.805,0.339,4.879,4.54,4.852,1.369,1.332,1.364,1.348,0.108,0.112,0.094,0.085,0.093,0.1
1700,0.804,0.339,4.878,4.539,4.852,1.369,1.332,1.364,1.348,0.108,0.112,0.094,0.085,0.093,0.1
1800,0.805,0.339,4.878,4.539,4.852,1.37,1.332,1.364,1.348,0.108,0.112,0.093,0.085,0.093,0.1
1900,0.805,0.339,4.877,4.538,4.852,1.371,1.332,1.364,1.348,0.108,0.112,0.093,0.085,0.093,0.1
2000,0.804,0.339,4.877,4.538,4.852,1.371,1.332,1.364,1.348,0.108,0.112,0.093,0.085,0.093,0.1
2100,0.805,0.339,4.877,4.538,4.852,1.371,1.331,1.364,1.348,0.108,0.113,0.093,0.085,0.093,0.1
2200,0.804,0.339,4.877,4.538,4.852,1.371,1.331,1.364,1.348,0.108,0.113,0.093,0.085,0.093,0.1
2300,0.813,0.328,4.877,4.549,4.852,1.372,1.331,1.364,1.349,0.108,0.113,0.086,0.085,0.084,0.094
2400,0.82,0.305,4.876,4.571,4.852,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
2500,0.82,0.305,4.876,4.571,4.852,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
2600,0.82,0.305,4.876,4.571,4.852,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
2700,0.82,0.305,4.876,4.571,4.852,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
2800,0.821,0.305,4.876,4.571,4.809,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
2900,0.82,0.305,4.876,4.571,4.826,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
3000,0.82,0.305,4.876,4.571,4.798,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
3100,0.82,0.305,4.876,4.571,4.757,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
3200,0.82,0.305,4.876,4.571,4.681,1.372,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
3300,0.821,0.305,4.876,4.571,4.703,1.373,1.331,1.364,1.349,0.108,0.113,0.075,0.085,0.075,0.086
3400,0.828,0.294,4.876,4.582,4.809,1.373,1.333,1.364,1.349,0.085,0.113,0.075,0.078,0.079,0.086
3500,0.828,0.294,4.876,4.582,4.714,1.373,1.333,1.364,1.349,0.085,0.113,0.075,0.078,0.079,0.086
3600,0.828,0.294,4.876,4.582,4.649,1.373,1.333,1.364,1.349,0.085,0.113,0.075,0.078,0.079,0.086
3700,0.828,0.294,4.876,4.581,4.63,1.373,1.333,1.364,1.349,0.085,0.113,0.075,0.078,0.079,0.086
3800,0.828,0.294,4.876,4.581,4.619,1.373,1.333,1.364,1.349,0.085,0.113,0.075,0.078,0.079,0.086
