Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.785,4.851,4.852,5.536,5.537,0.0,0.0,0.0,0.0
100,0.758,4.649,4.852,5.256,5.459,0.015,0.122,0.105,0.015
200,0.567,3.734,4.852,3.641,4.758,0.442,0.777,0.792,0.442
300,0.409,2.9,4.852,2.098,4.05,0.984,1.441,1.501,0.984
400,0.334,2.368,4.852,1.172,3.656,1.304,1.855,1.938,1.304
500,0.304,2.023,4.852,0.624,3.453,1.412,2.1,2.144,1.412
600,0.303,1.816,4.852,0.351,3.387,1.417,2.23,2.225,1.417
700,0.315,1.669,4.852,0.219,3.402,1.4,2.325,2.26,1.4
800,0.318,1.587,4.852,0.124,3.389,1.402,2.382,2.285,1.402
900,0.322,1.555,4.852,0.092,3.389,1.392,2.392,2.297,1.392
1000,0.322,1.541,4.852,0.072,3.384,1.394,2.401,2.305,1.394
1100,0.322,1.534,4.852,0.062,3.381,1.396,2.405,2.309,1.396
1200,0.322,1.529,4.852,0.056,3.379,1.397,2.408,2.312,1.397
1300,0.322,1.526,4.852,0.052,3.378,1.396,2.409,2.313,1.396
1400,0.33,1.509,4.852,0.052,3.395,1.374,2.404,2.313,1.374
1500,0.337,1.496,4.852,0.048,3.404,1.362,2.408,2.31,1.362
1600,0.338,1.492,4.852,0.041,3.401,1.364,2.41,2.313,1.364
1700,0.343,1.482,4.852,0.055,3.425,1.337,2.401,2.308,1.337
1800,0.353,1.456,4.852,0.041,3.437,1.317,2.41,2.304,1.317
1900,0.352,1.452,4.852,0.035,3.435,1.319,2.412,2.307,1.319
2000,0.354,1.451,4.852,0.034,3.435,1.318,2.413,2.307,1.318
2100,0.361,1.438,4.852,0.042,3.456,1.3,2.412,2.302,1.3
2200,0.376,1.404,4.852,0.036,3.484,1.279,2.419,2.308,1.279
2300,0.377,1.4,4.852,0.035,3.487,1.275,2.418,2.309,1.275
2400,0.384,1.383,4.852,0.031,3.5,1.26,2.42,2.309,1.26
2500,0.383,1.383,4.841,0.031,3.5,1.26,2.42,2.309,1.26
2600,0.384,1.382,4.852,0.031,3.501,1.259,2.42,2.309,1.259
2700,0.383,1.382,4.852,0.032,3.503,1.258,2.419,2.309,1.258
2800,0.391,1.358,4.852,0.035,3.529,1.236,2.422,2.308,1.236
2900,0.392,1.355,4.852,0.031,3.528,1.237,2.425,2.309,1.237
3000,0.392,1.354,4.841,0.03,3.528,1.236,2.425,2.309,1.236
3100,0.393,1.353,4.82,0.035,3.534,1.229,2.421,2.308,1.229
3200,0.411,1.29,4.794,0.038,3.6,1.165,2.423,2.304,1.165
3300,0.416,1.28,4.798,0.028,3.6,1.164,2.424,2.312,1.164
3400,0.415,1.28,4.794,0.027,3.6,1.164,2.424,2.312,1.164
3500,0.415,1.279,4.736,0.027,3.6,1.164,2.424,2.312,1.164
3600,0.416,1.279,4.604,0.028,3.6,1.164,2.424,2.312,1.164
3700,0.415,1.279,4.614,0.028,3.601,1.163,2.424,2.312,1.163
3800,0.415,1.279,4.662,0.028,3.601,1.163,2.424,2.312,1.163
3900,0.415,1.279,4.619,0.028,3.602,1.162,2.424,2.311,1.162
4000,0.42,1.276,4.645,0.034,3.61,1.149,2.424,2.302,1.149
4100,0.423,1.268,4.684,0.027,3.612,1.144,2.425,2.303,1.144
4200,0.423,1.268,4.44,0.028,3.612,1.143,2.425,2.303,1.143
4300,0.423,1.268,4.56,0.028,3.612,1.143,2.425,2.303,1.143
4400,0.423,1.267,4.357,0.028,3.613,1.143,2.425,2.303,1.143
4500,0.423,1.267,4.371,0.028,3.613,1.142,2.425,2.302,1.142
4600,0.423,1.267,4.406,0.028,3.613,1.142,2.425,2.302,1.142
4700,0.423,1.267,4.291,0.029,3.613,1.141,2.425,2.302,1.141
4800,0.423,1.267,4.198,0.03,3.615,1.14,2.424,2.301,1.14
4900,0.43,1.248,4.279,0.028,3.632,1.115,2.419,2.301,1.115
5000,0.431,1.247,4.224,0.029,3.634,1.114,2.419,2.3,1.114
5100,0.438,1.233,4.198,0.03,3.649,1.101,2.419,2.302,1.101
5200,0.438,1.233,4.04,0.029,3.649,1.1,2.419,2.3,1.1
5300,0.438,1.232,4.157,0.031,3.65,1.095,2.419,2.296,1.095
5400,0.438,1.232,3.914,0.029,3.649,1.083,2.419,2.284,1.083
5500,0.438,1.232,4.057,0.025,3.645,1.079,2.419,2.281,1.079
5600,0.439,1.232,4.023,0.025,3.645,1.079,2.418,2.28,1.079
5700,0.439,1.232,3.999,0.025,3.645,1.079,2.418,2.28,1.079
5800,0.438,1.232,3.912,0.025,3.645,1.079,2.418,2.28,1.079
5900,0.439,1.232,3.902,0.025,3.645,1.079,2.418,2.28,1.079
6000,0.439,1.232,3.808,0.025,3.645,1.079,2.418,2.28,1.079
6100,0.439,1.232,3.889,0.025,3.645,1.079,2.418,2.28,1.079
6200,0.439,1.232,4.096,0.025,3.645,1.079,2.418,2.281,1.079
6300,0.438,1.232,3.905,0.025,3.645,1.079,2.418,2.281,1.079
6400,0.438,1.232,3.818,0.025,3.645,1.078,2.418,2.281,1.078
6500,0.439,1.232,3.985,0.025,3.646,1.078,2.418,2.281,1.078
6600,0.438,1.232,3.865,0.025,3.646,1.078,2.418,2.281,1.078
6700,0.439,1.232,3.949,0.026,3.646,1.078,2.418,2.281,1.078
6800,0.447,1.207,4.013,0.024,3.669,1.05,2.414,2.281,1.05
6900,0.447,1.207,4.067,0.024,3.67,1.05,2.414,2.281,1.05
