Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.939,3.462,3.466,5.538,5.542,0.0,0.003,0.003,0.0
100,0.968,0.068,3.466,0.322,3.719,1.586,2.502,2.481,1.586
200,0.969,0.052,3.466,0.182,3.596,1.7,2.55,2.563,1.7
300,0.969,0.049,3.466,0.142,3.559,1.734,2.566,2.585,1.734
400,0.969,0.048,3.466,0.12,3.538,1.754,2.575,2.596,1.754
500,0.968,0.048,3.466,0.106,3.524,1.767,2.582,2.602,1.767
600,1.0,0.004,3.466,0.108,3.569,1.718,2.591,2.588,1.718
700,0.999,0.004,3.466,0.091,3.552,1.736,2.597,2.601,1.736
800,1.0,0.004,3.466,0.078,3.54,1.749,2.602,2.609,1.749
900,1.0,0.004,3.466,0.068,3.53,1.759,2.606,2.614,1.759
1000,1.0,0.004,3.466,0.06,3.522,1.766,2.61,2.618,1.766
1100,1.0,0.004,3.466,0.054,3.516,1.772,2.613,2.621,1.772
1200,1.0,0.004,3.466,0.05,3.511,1.776,2.615,2.623,1.776
1300,1.0,0.004,3.466,0.046,3.508,1.78,2.616,2.625,1.78
1400,1.0,0.004,3.466,0.043,3.505,1.783,2.618,2.627,1.783
1500,0.999,0.004,3.466,0.041,3.503,1.785,2.619,2.628,1.785
1600,1.0,0.004,3.466,0.039,3.501,1.787,2.62,2.629,1.787
1700,1.0,0.004,3.466,0.037,3.499,1.788,2.62,2.63,1.788
1800,1.0,0.004,3.466,0.036,3.498,1.789,2.62,2.631,1.789
1900,1.0,0.004,3.466,0.035,3.497,1.79,2.621,2.631,1.79
2000,1.0,0.004,3.466,0.035,3.497,1.791,2.621,2.632,1.791
2100,0.999,0.004,3.466,0.034,3.496,1.791,2.62,2.632,1.791
2200,1.0,0.004,3.466,0.034,3.496,1.791,2.62,2.633,1.791
2300,1.0,0.004,3.466,0.034,3.496,1.791,2.62,2.633,1.791
2400,1.0,0.004,3.466,0.034,3.496,1.791,2.619,2.634,1.791
2500,1.0,0.004,3.466,0.034,3.496,1.791,2.618,2.634,1.791
2600,1.0,0.004,3.466,0.035,3.497,1.79,2.617,2.635,1.79
2700,1.0,0.004,3.466,0.035,3.497,1.79,2.616,2.636,1.79
2800,0.999,0.004,3.466,0.036,3.498,1.789,2.615,2.636,1.789
2900,1.0,0.004,3.466,0.037,3.499,1.788,2.613,2.637,1.788
3000,1.0,0.004,3.466,0.038,3.5,1.786,2.611,2.637,1.786
3100,1.0,0.004,3.466,0.04,3.502,1.785,2.609,2.637,1.785
3200,1.0,0.004,3.466,0.041,3.503,1.783,2.607,2.638,1.783
3300,1.0,0.004,3.466,0.043,3.505,1.78,2.604,2.638,1.78
3400,0.999,0.004,3.466,0.046,3.508,1.778,2.602,2.638,1.778
3500,1.0,0.004,3.466,0.048,3.51,1.775,2.599,2.638,1.775
3600,1.0,0.004,3.466,0.051,3.513,1.772,2.596,2.638,1.772
3700,1.0,0.004,3.466,0.053,3.516,1.769,2.593,2.638,1.769
3800,1.0,0.004,3.466,0.056,3.518,1.766,2.59,2.638,1.766
3900,1.0,0.004,3.466,0.059,3.521,1.763,2.587,2.638,1.763
4000,1.0,0.004,3.466,0.062,3.524,1.76,2.584,2.637,1.76
4100,1.0,0.004,3.466,0.065,3.527,1.756,2.581,2.637,1.756
4200,1.0,0.004,3.466,0.068,3.53,1.753,2.579,2.637,1.753
4300,0.999,0.004,3.466,0.071,3.533,1.75,2.576,2.636,1.75
4400,0.999,0.004,3.466,0.074,3.536,1.747,2.573,2.635,1.747
4500,0.999,0.004,3.466,0.077,3.539,1.743,2.571,2.635,1.743
4600,1.0,0.004,3.466,0.08,3.542,1.74,2.568,2.634,1.74
4700,1.0,0.004,3.466,0.083,3.545,1.736,2.566,2.633,1.736
4800,1.0,0.004,3.466,0.087,3.549,1.733,2.563,2.632,1.733
4900,1.0,0.004,3.466,0.09,3.552,1.729,2.561,2.63,1.729
5000,1.0,0.004,3.466,0.094,3.556,1.725,2.558,2.628,1.725
5100,1.0,0.004,3.466,0.098,3.56,1.72,2.556,2.626,1.72
5200,1.0,0.004,3.466,0.102,3.564,1.715,2.554,2.624,1.715
5300,1.0,0.004,3.466,0.107,3.569,1.71,2.551,2.621,1.71
5400,1.0,0.004,3.466,0.113,3.575,1.704,2.549,2.617,1.704
5500,0.999,0.004,3.466,0.119,3.581,1.696,2.546,2.612,1.696
5600,1.0,0.004,3.466,0.129,3.591,1.684,2.544,2.602,1.684
5700,1.0,0.004,3.466,0.146,3.608,1.65,2.54,2.572,1.65
5800,1.0,0.004,3.466,0.122,3.585,1.636,2.535,2.563,1.636
5900,1.0,0.004,3.466,0.124,3.587,1.632,2.53,2.564,1.632
6000,1.0,0.004,3.466,0.131,3.594,1.622,2.521,2.563,1.622
6100,1.0,0.004,3.466,0.125,3.587,1.577,2.478,2.561,1.577
6200,1.0,0.004,3.466,0.122,3.584,1.577,2.479,2.56,1.577
6300,1.0,0.004,3.466,0.124,3.586,1.574,2.478,2.559,1.574
6400,0.999,0.004,3.466,0.127,3.589,1.571,2.476,2.558,1.571
6500,1.0,0.004,3.466,0.13,3.592,1.568,2.474,2.556,1.568
6600,1.0,0.004,3.466,0.133,3.595,1.564,2.472,2.554,1.564
6700,1.0,0.004,3.466,0.137,3.6,1.559,2.469,2.553,1.559
6800,1.0,0.004,3.466,0.144,3.606,1.55,2.463,2.55,1.55
6900,1.0,0.003,3.466,0.142,3.604,1.501,2.419,2.544,1.501
