Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.783,4.851,4.852,5.542,5.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.734,0.554,4.852,0.285,4.583,0.7,1.32,1.323,1.296,1.29,0.092,0.058,0.18,0.148,0.109,0.113
200,0.788,0.366,4.852,0.088,4.573,0.64,1.361,1.363,1.347,1.344,0.08,0.049,0.176,0.115,0.101,0.119
300,0.804,0.327,4.852,0.057,4.582,0.63,1.369,1.367,1.355,1.354,0.082,0.047,0.176,0.115,0.087,0.122
400,0.804,0.324,4.852,0.045,4.573,0.63,1.371,1.369,1.36,1.357,0.083,0.046,0.177,0.114,0.086,0.124
500,0.82,0.293,4.852,0.037,4.596,0.599,1.372,1.37,1.365,1.358,0.082,0.04,0.171,0.113,0.08,0.114
600,0.82,0.292,4.852,0.033,4.593,0.599,1.372,1.37,1.368,1.358,0.082,0.04,0.171,0.112,0.08,0.114
700,0.836,0.266,4.852,0.03,4.616,0.558,1.372,1.372,1.369,1.357,0.07,0.04,0.168,0.108,0.069,0.103
800,0.836,0.266,4.852,0.029,4.615,0.558,1.372,1.372,1.37,1.357,0.07,0.04,0.168,0.108,0.069,0.103
900,0.836,0.266,4.852,0.028,4.614,0.558,1.372,1.373,1.371,1.358,0.07,0.04,0.168,0.108,0.069,0.103
1000,0.836,0.266,4.852,0.026,4.613,0.558,1.372,1.373,1.371,1.359,0.069,0.04,0.168,0.108,0.069,0.103
1100,0.836,0.266,4.852,0.026,4.612,0.558,1.372,1.373,1.371,1.359,0.069,0.04,0.168,0.108,0.069,0.103
1200,0.844,0.25,4.852,0.032,4.634,0.546,1.372,1.373,1.365,1.359,0.069,0.033,0.168,0.107,0.069,0.099
1300,0.851,0.237,4.852,0.024,4.639,0.54,1.373,1.373,1.373,1.36,0.069,0.034,0.168,0.104,0.069,0.095
1400,0.859,0.227,4.852,0.028,4.653,0.53,1.373,1.373,1.373,1.357,0.069,0.034,0.168,0.104,0.066,0.088
1500,0.867,0.215,4.852,0.022,4.659,0.507,1.373,1.373,1.376,1.362,0.069,0.031,0.169,0.096,0.066,0.075
1600,0.867,0.215,4.852,0.022,4.659,0.507,1.373,1.373,1.376,1.362,0.069,0.031,0.169,0.096,0.066,0.075
1700,0.867,0.215,4.852,0.022,4.659,0.507,1.373,1.373,1.376,1.362,0.069,0.031,0.169,0.096,0.066,0.075
1800,0.882,0.193,4.852,0.021,4.68,0.473,1.374,1.373,1.378,1.362,0.064,0.028,0.158,0.091,0.066,0.066
1900,0.883,0.193,4.852,0.021,4.68,0.473,1.374,1.373,1.378,1.362,0.064,0.028,0.158,0.091,0.066,0.066
2000,0.882,0.193,4.852,0.021,4.68,0.473,1.374,1.373,1.378,1.362,0.064,0.028,0.158,0.091,0.066,0.066
2100,0.883,0.193,4.852,0.021,4.68,0.473,1.374,1.373,1.378,1.362,0.064,0.028,0.158,0.091,0.066,0.066
2200,0.89,0.182,4.852,0.021,4.691,0.442,1.375,1.373,1.378,1.36,0.064,0.028,0.13,0.091,0.066,0.062
2300,0.891,0.182,4.852,0.021,4.691,0.442,1.375,1.373,1.378,1.36,0.064,0.028,0.13,0.091,0.066,0.062
2400,0.89,0.182,4.852,0.021,4.691,0.442,1.375,1.373,1.378,1.36,0.064,0.028,0.13,0.091,0.066,0.062
2500,0.898,0.167,4.852,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
2600,0.898,0.167,4.826,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
2700,0.898,0.167,4.815,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
2800,0.898,0.167,4.815,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
2900,0.898,0.167,4.82,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3000,0.898,0.167,4.74,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3100,0.898,0.167,4.755,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3200,0.898,0.167,4.746,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3300,0.898,0.167,4.729,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3400,0.898,0.167,4.731,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3500,0.898,0.167,4.725,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3600,0.898,0.167,4.757,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3700,0.898,0.167,4.714,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3800,0.898,0.167,4.74,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
3900,0.898,0.167,4.714,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4000,0.898,0.167,4.714,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4100,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4200,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4300,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4400,0.898,0.167,4.707,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4500,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4600,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4700,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4800,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
4900,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5000,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5100,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5200,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5300,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5400,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
