Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.791,4.85,4.852,5.539,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.575,2.098,4.852,1.912,4.666,0.9,0.454,0.471,0.458,0.447,0.465,0.451,0.457,0.462,0.033,0.069,0.192,0.019,0.0,0.003,0.003,0.0,0.049,0.001,0.006,0.039,0.034,0.05,0.026,0.048,0.007,0.013,0.011,0.002,0.011,0.012,0.14,0.031,0.014,0.078,0.006,0.003
200,0.741,0.51,4.852,0.237,4.578,0.692,0.65,0.669,0.668,0.647,0.665,0.65,0.666,0.679,0.033,0.071,0.111,0.015,0.001,0.0,0.004,0.0,0.032,0.001,0.008,0.038,0.035,0.051,0.033,0.049,0.005,0.008,0.003,0.003,0.015,0.012,0.075,0.011,0.016,0.053,0.006,0.002
300,0.781,0.377,4.852,0.108,4.582,0.637,0.677,0.681,0.678,0.669,0.678,0.674,0.679,0.687,0.025,0.067,0.094,0.013,0.003,0.001,0.003,0.0,0.028,0.001,0.006,0.038,0.035,0.046,0.034,0.047,0.005,0.008,0.002,0.006,0.017,0.009,0.067,0.011,0.015,0.047,0.009,0.002
400,0.801,0.338,4.852,0.082,4.597,0.615,0.682,0.684,0.677,0.674,0.681,0.679,0.682,0.689,0.025,0.058,0.095,0.012,0.004,0.001,0.003,0.0,0.027,0.001,0.007,0.038,0.036,0.038,0.036,0.05,0.008,0.005,0.002,0.004,0.016,0.01,0.062,0.011,0.015,0.041,0.007,0.002
500,0.805,0.323,4.852,0.062,4.591,0.611,0.684,0.685,0.686,0.677,0.683,0.679,0.684,0.69,0.025,0.055,0.096,0.012,0.003,0.001,0.003,0.0,0.027,0.001,0.007,0.038,0.036,0.037,0.035,0.051,0.009,0.004,0.002,0.004,0.016,0.01,0.063,0.01,0.015,0.041,0.007,0.002
600,0.824,0.29,4.852,0.058,4.62,0.58,0.685,0.685,0.687,0.678,0.684,0.673,0.685,0.69,0.025,0.055,0.096,0.012,0.005,0.001,0.003,0.0,0.027,0.001,0.006,0.038,0.036,0.037,0.035,0.039,0.009,0.004,0.002,0.001,0.016,0.01,0.051,0.01,0.015,0.036,0.007,0.002
700,0.828,0.277,4.852,0.045,4.62,0.572,0.686,0.686,0.688,0.679,0.686,0.682,0.685,0.691,0.025,0.055,0.097,0.012,0.004,0.001,0.003,0.0,0.027,0.001,0.006,0.038,0.036,0.037,0.035,0.037,0.009,0.004,0.002,0.001,0.016,0.01,0.049,0.01,0.015,0.034,0.006,0.002
800,0.828,0.276,4.852,0.043,4.619,0.572,0.685,0.686,0.688,0.68,0.686,0.683,0.686,0.691,0.025,0.055,0.097,0.012,0.004,0.001,0.003,0.0,0.027,0.001,0.006,0.038,0.036,0.037,0.035,0.037,0.008,0.004,0.002,0.001,0.016,0.01,0.049,0.01,0.015,0.034,0.006,0.002
900,0.836,0.265,4.852,0.04,4.627,0.554,0.687,0.686,0.688,0.68,0.686,0.684,0.686,0.691,0.021,0.05,0.09,0.01,0.003,0.0,0.004,0.0,0.027,0.001,0.005,0.038,0.036,0.037,0.035,0.037,0.008,0.004,0.002,0.001,0.016,0.01,0.049,0.01,0.015,0.034,0.006,0.002
