A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.063,0.06,0.06,0.064,0.068,0.06,0.064,0.067,0.056,0.06,0.063,0.067,0.057,0.063,0.064,0.064,0.063,0.06,0.065,0.062,0.057,0.061,0.07,0.057,0.064,0.068,0.065,0.063,0.069,0.06,0.056,0.058
0.031,0.032,0.08,0.093,0.063,0.031,0.126,0.032,0.032,0.128,0.032,0.064,0.095,0.064,0.065,0.031,0.068,0.135,0.136,0.031,0.063,0.066,0.032,0.068,0.064,0.063,0.065,0.031,0.029,0.033,0.058,0.058
0.031,0.032,0.082,0.097,0.063,0.031,0.126,0.032,0.032,0.126,0.032,0.064,0.095,0.063,0.063,0.031,0.064,0.143,0.135,0.031,0.063,0.063,0.032,0.064,0.063,0.063,0.064,0.031,0.031,0.032,0.06,0.062
0.031,0.032,0.083,0.097,0.063,0.031,0.127,0.031,0.031,0.126,0.032,0.063,0.095,0.063,0.063,0.031,0.063,0.146,0.132,0.031,0.063,0.063,0.032,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.061,0.062
0.031,0.032,0.084,0.097,0.063,0.031,0.127,0.031,0.031,0.126,0.032,0.063,0.094,0.063,0.063,0.031,0.063,0.149,0.13,0.031,0.063,0.063,0.032,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.061,0.062
0.031,0.032,0.086,0.097,0.063,0.031,0.126,0.031,0.031,0.126,0.031,0.063,0.094,0.063,0.063,0.031,0.063,0.151,0.129,0.031,0.063,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.061,0.062
0.031,0.031,0.088,0.096,0.063,0.031,0.126,0.031,0.031,0.126,0.031,0.063,0.094,0.063,0.063,0.031,0.063,0.111,0.167,0.031,0.063,0.063,0.032,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.061,0.062
0.031,0.031,0.089,0.096,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.063,0.063,0.031,0.063,0.118,0.162,0.031,0.063,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.062,0.062
0.031,0.031,0.09,0.096,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.063,0.063,0.031,0.063,0.121,0.159,0.031,0.063,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.032,0.062,0.062
0.031,0.031,0.091,0.095,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.063,0.031,0.063,0.122,0.158,0.031,0.063,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.091,0.095,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.063,0.031,0.063,0.123,0.158,0.031,0.063,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.092,0.095,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.063,0.031,0.063,0.124,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.092,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.124,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.063,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.124,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.093,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.157,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.125,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.031,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.126,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
0.031,0.032,0.094,0.094,0.063,0.031,0.125,0.031,0.031,0.126,0.031,0.063,0.094,0.062,0.062,0.031,0.063,0.125,0.156,0.031,0.062,0.063,0.031,0.063,0.063,0.062,0.062,0.031,0.031,0.031,0.062,0.062
