A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.259,0.251,0.242,0.248,0.257,0.262,0.245,0.236,0.25,0.254,0.255,0.242,0.25,0.258,0.243,0.249
0.29,0.226,0.265,0.218,0.264,0.291,0.252,0.193,0.236,0.327,0.279,0.157,0.21,0.243,0.317,0.23
0.278,0.224,0.294,0.204,0.285,0.304,0.268,0.143,0.223,0.324,0.275,0.178,0.229,0.215,0.328,0.228
0.278,0.228,0.294,0.2,0.286,0.301,0.269,0.144,0.223,0.324,0.273,0.18,0.224,0.215,0.328,0.232
0.278,0.241,0.287,0.194,0.28,0.301,0.278,0.141,0.223,0.324,0.273,0.18,0.224,0.215,0.329,0.232
0.277,0.24,0.289,0.194,0.28,0.301,0.278,0.141,0.223,0.324,0.273,0.18,0.224,0.217,0.33,0.229
0.277,0.24,0.29,0.193,0.272,0.301,0.287,0.141,0.223,0.324,0.273,0.18,0.225,0.218,0.325,0.232
0.277,0.24,0.294,0.19,0.273,0.301,0.286,0.141,0.223,0.324,0.273,0.18,0.225,0.219,0.325,0.231
0.273,0.239,0.301,0.186,0.277,0.301,0.282,0.141,0.223,0.324,0.273,0.18,0.226,0.219,0.325,0.231
0.273,0.239,0.301,0.186,0.277,0.301,0.281,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.231
0.273,0.239,0.297,0.191,0.277,0.301,0.281,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.273,0.239,0.297,0.191,0.277,0.301,0.281,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.269,0.239,0.301,0.191,0.273,0.301,0.285,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.269,0.238,0.297,0.195,0.273,0.301,0.285,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.269,0.238,0.297,0.195,0.269,0.301,0.289,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.269,0.238,0.297,0.195,0.269,0.301,0.289,0.141,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.269,0.238,0.297,0.195,0.266,0.301,0.289,0.145,0.223,0.324,0.273,0.18,0.231,0.215,0.324,0.23
0.269,0.238,0.297,0.195,0.266,0.301,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.266,0.238,0.301,0.195,0.266,0.301,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.266,0.234,0.305,0.196,0.269,0.297,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.266,0.234,0.305,0.195,0.269,0.297,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.215,0.324,0.23
0.266,0.23,0.305,0.199,0.27,0.297,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.215,0.328,0.226
0.266,0.23,0.301,0.203,0.269,0.297,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.218,0.329,0.223
0.266,0.23,0.301,0.203,0.269,0.297,0.289,0.145,0.223,0.324,0.273,0.18,0.23,0.219,0.328,0.223
0.266,0.23,0.301,0.203,0.274,0.293,0.293,0.14,0.223,0.324,0.273,0.18,0.231,0.219,0.328,0.223
0.27,0.23,0.297,0.203,0.273,0.293,0.293,0.141,0.223,0.324,0.273,0.18,0.23,0.219,0.328,0.223
0.27,0.23,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.328,0.223
0.273,0.227,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.328,0.223
0.273,0.227,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.269,0.293,0.293,0.145,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.231,0.219,0.324,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.233,0.219,0.322,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.32,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.32,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.32,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.32,0.227
0.273,0.227,0.297,0.203,0.266,0.293,0.293,0.148,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
0.273,0.23,0.297,0.199,0.266,0.293,0.293,0.149,0.223,0.324,0.273,0.18,0.234,0.219,0.324,0.223
