A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.062,0.058,0.071,0.062,0.064,0.07,0.061,0.06,0.056,0.063,0.063,0.068,0.054,0.059,0.069,0.058,0.06,0.069,0.063,0.055,0.067,0.058,0.066,0.063,0.067,0.065,0.062,0.059,0.06,0.066,0.059,0.062
0.075,0.037,0.016,0.046,0.082,0.045,0.037,0.004,0.065,0.072,0.116,0.202,0.036,0.036,0.036,0.091,0.058,0.109,0.028,0.08,0.014,0.164,0.107,0.025,0.058,0.091,0.053,0.045,0.049,0.021,0.012,0.087
0.094,0.032,0.092,0.032,0.063,0.063,0.031,0.0,0.063,0.062,0.093,0.219,0.031,0.031,0.031,0.063,0.061,0.094,0.031,0.063,0.056,0.16,0.091,0.031,0.066,0.095,0.064,0.033,0.062,0.03,0.001,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.062,0.094,0.219,0.031,0.031,0.031,0.062,0.061,0.094,0.032,0.063,0.062,0.157,0.092,0.031,0.064,0.094,0.063,0.032,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.062,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.062,0.156,0.061,0.031,0.064,0.094,0.063,0.032,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.062,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.062,0.156,0.062,0.031,0.064,0.094,0.063,0.032,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.063,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.062,0.156,0.062,0.031,0.064,0.094,0.063,0.032,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.063,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.062,0.156,0.062,0.031,0.064,0.094,0.063,0.031,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.063,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.063,0.156,0.062,0.031,0.064,0.094,0.063,0.031,0.062,0.031,0.0,0.063
0.094,0.031,0.094,0.031,0.063,0.063,0.031,0.0,0.063,0.063,0.094,0.219,0.031,0.031,0.031,0.062,0.062,0.094,0.063,0.063,0.063,0.156,0.062,0.031,0.064,0.094,0.063,0.031,0.062,0.031,0.0,0.063
