Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.939,3.463,3.466,5.537,5.54,0.0,0.002,0.002,0.0
100,0.808,0.987,3.466,1.712,4.192,0.936,1.777,1.664,0.936
200,0.934,0.132,3.466,0.205,3.539,1.583,2.453,2.465,1.583
300,0.938,0.104,3.466,0.104,3.466,1.654,2.485,2.531,1.654
400,0.968,0.063,3.466,0.085,3.487,1.648,2.492,2.559,1.648
500,0.969,0.052,3.466,0.055,3.469,1.665,2.5,2.579,1.665
600,0.969,0.05,3.466,0.048,3.464,1.669,2.502,2.584,1.669
700,0.968,0.049,3.466,0.045,3.462,1.671,2.503,2.586,1.671
800,0.968,0.048,3.466,0.043,3.461,1.672,2.504,2.586,1.672
900,0.968,0.048,3.466,0.043,3.461,1.672,2.504,2.586,1.672
1000,0.969,0.048,3.466,0.043,3.461,1.672,2.504,2.586,1.672
1100,0.968,0.048,3.466,0.043,3.462,1.671,2.504,2.585,1.671
1200,0.969,0.047,3.466,0.044,3.463,1.67,2.504,2.584,1.67
1300,0.969,0.047,3.466,0.045,3.463,1.669,2.504,2.583,1.669
1400,0.969,0.047,3.466,0.046,3.465,1.668,2.504,2.582,1.668
1500,0.968,0.047,3.466,0.047,3.466,1.667,2.504,2.581,1.667
1600,0.969,0.047,3.466,0.049,3.467,1.666,2.504,2.58,1.666
1700,0.969,0.047,3.466,0.05,3.469,1.664,2.504,2.579,1.664
1800,0.968,0.047,3.466,0.052,3.47,1.663,2.504,2.577,1.663
1900,0.968,0.047,3.466,0.054,3.472,1.661,2.505,2.575,1.661
2000,0.968,0.047,3.466,0.056,3.474,1.659,2.505,2.573,1.659
2100,0.968,0.047,3.466,0.058,3.476,1.657,2.505,2.57,1.657
2200,0.969,0.047,3.466,0.06,3.479,1.654,2.505,2.568,1.654
2300,0.968,0.047,3.466,0.063,3.482,1.652,2.505,2.565,1.652
2400,0.969,0.047,3.466,0.066,3.484,1.649,2.505,2.562,1.649
2500,0.969,0.047,3.466,0.069,3.487,1.646,2.506,2.559,1.646
2600,0.969,0.047,3.466,0.071,3.49,1.643,2.506,2.556,1.643
2700,0.968,0.047,3.466,0.075,3.493,1.64,2.506,2.553,1.64
2800,0.969,0.047,3.466,0.078,3.496,1.637,2.506,2.55,1.637
2900,0.969,0.047,3.466,0.081,3.5,1.634,2.506,2.547,1.634
3000,0.969,0.047,3.466,0.084,3.503,1.631,2.506,2.543,1.631
3100,0.968,0.047,3.466,0.088,3.506,1.627,2.506,2.54,1.627
3200,0.968,0.047,3.466,0.091,3.51,1.624,2.507,2.536,1.624
3300,0.969,0.047,3.466,0.095,3.514,1.62,2.507,2.532,1.62
3400,0.969,0.047,3.466,0.099,3.517,1.617,2.507,2.529,1.617
3500,0.969,0.047,3.466,0.102,3.521,1.613,2.507,2.525,1.613
3600,0.969,0.047,3.466,0.106,3.525,1.609,2.507,2.521,1.609
3700,0.969,0.047,3.466,0.11,3.529,1.605,2.507,2.517,1.605
3800,0.969,0.047,3.466,0.114,3.533,1.601,2.507,2.512,1.601
3900,0.968,0.047,3.466,0.119,3.537,1.597,2.507,2.508,1.597
4000,0.969,0.047,3.466,0.123,3.541,1.593,2.507,2.504,1.593
4100,0.968,0.047,3.466,0.127,3.546,1.588,2.508,2.5,1.588
4200,0.969,0.047,3.466,0.131,3.55,1.584,2.508,2.495,1.584
4300,0.968,0.047,3.466,0.135,3.554,1.58,2.508,2.491,1.58
4400,0.968,0.047,3.466,0.139,3.558,1.576,2.508,2.487,1.576
4500,0.969,0.047,3.466,0.143,3.562,1.572,2.508,2.483,1.572
4600,0.969,0.047,3.466,0.147,3.566,1.568,2.508,2.479,1.568
4700,0.969,0.047,3.466,0.151,3.57,1.564,2.508,2.475,1.564
4800,0.969,0.047,3.466,0.155,3.574,1.56,2.508,2.471,1.56
4900,0.969,0.047,3.466,0.159,3.577,1.556,2.508,2.467,1.556
5000,0.969,0.047,3.466,0.162,3.581,1.552,2.508,2.463,1.552
5100,0.969,0.047,3.466,0.166,3.585,1.549,2.508,2.459,1.549
5200,0.969,0.047,3.466,0.169,3.588,1.545,2.508,2.456,1.545
5300,0.968,0.047,3.466,0.172,3.591,1.542,2.508,2.452,1.542
5400,0.968,0.047,3.466,0.176,3.594,1.539,2.508,2.449,1.539
5500,0.968,0.047,3.466,0.179,3.597,1.535,2.508,2.446,1.535
5600,0.969,0.047,3.422,0.182,3.6,1.532,2.508,2.443,1.532
5700,0.969,0.047,3.422,0.184,3.603,1.529,2.508,2.44,1.529
5800,0.969,0.047,3.422,0.187,3.606,1.527,2.508,2.437,1.527
5900,0.968,0.047,3.466,0.19,3.608,1.524,2.508,2.435,1.524
6000,0.969,0.047,3.422,0.192,3.611,1.521,2.508,2.432,1.521
6100,0.969,0.047,3.422,0.195,3.613,1.519,2.508,2.43,1.519
6200,0.969,0.047,3.466,0.197,3.616,1.516,2.508,2.427,1.516
6300,0.969,0.047,3.422,0.199,3.618,1.514,2.508,2.425,1.514
6400,0.969,0.047,3.422,0.201,3.62,1.512,2.508,2.423,1.512
6500,0.968,0.047,3.466,0.203,3.622,1.51,2.508,2.421,1.51
6600,0.968,0.047,3.422,0.205,3.624,1.508,2.508,2.419,1.508
6700,0.969,0.047,3.466,0.207,3.626,1.506,2.508,2.417,1.506
6800,0.969,0.047,3.422,0.209,3.628,1.504,2.508,2.415,1.504
6900,0.968,0.047,3.422,0.211,3.63,1.502,2.508,2.413,1.502
