Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.934,3.461,3.466,5.522,5.527,0.0,0.001,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0
100,0.909,3.021,3.466,4.841,5.286,0.066,0.13,0.125,0.124,0.137,0.012,0.015,0.009,0.012,0.011,0.007
200,0.776,1.873,3.466,2.825,4.418,1.161,0.535,0.654,0.631,0.671,0.174,0.188,0.175,0.201,0.244,0.179
300,0.717,1.234,3.466,1.6,3.832,1.843,0.783,0.985,0.931,0.972,0.264,0.27,0.287,0.368,0.357,0.297
400,0.733,0.779,3.466,0.9,3.586,2.009,0.968,1.164,1.072,1.118,0.299,0.302,0.329,0.327,0.429,0.322
500,0.764,0.558,3.466,0.562,3.47,2.131,1.054,1.25,1.178,1.178,0.319,0.331,0.343,0.323,0.458,0.358
600,0.779,0.43,3.466,0.355,3.391,2.202,1.128,1.285,1.215,1.23,0.331,0.345,0.346,0.322,0.482,0.376
700,0.787,0.386,3.466,0.277,3.357,2.231,1.154,1.302,1.229,1.247,0.339,0.353,0.345,0.323,0.494,0.377
800,0.809,0.323,3.466,0.23,3.373,2.241,1.165,1.309,1.244,1.265,0.341,0.355,0.343,0.34,0.5,0.362
900,0.811,0.299,3.466,0.184,3.35,2.267,1.172,1.316,1.264,1.275,0.345,0.365,0.344,0.344,0.503,0.366
1000,0.812,0.289,3.466,0.159,3.336,2.282,1.177,1.321,1.272,1.279,0.349,0.37,0.344,0.345,0.506,0.367
1100,0.811,0.283,3.466,0.143,3.326,2.292,1.181,1.325,1.277,1.282,0.352,0.374,0.344,0.346,0.508,0.367
1200,0.814,0.279,3.466,0.131,3.318,2.299,1.183,1.328,1.28,1.285,0.354,0.377,0.344,0.347,0.51,0.368
1300,0.813,0.276,3.466,0.122,3.312,2.303,1.185,1.33,1.283,1.286,0.355,0.379,0.343,0.348,0.51,0.368
1400,0.812,0.273,3.466,0.118,3.31,2.304,1.187,1.33,1.285,1.287,0.355,0.381,0.343,0.348,0.509,0.368
1500,0.844,0.239,3.466,0.163,3.39,2.174,1.184,1.312,1.286,1.275,0.266,0.382,0.334,0.387,0.438,0.368
1600,0.872,0.201,3.466,0.15,3.416,2.121,1.185,1.336,1.289,1.261,0.273,0.384,0.255,0.387,0.449,0.373
1700,0.874,0.187,3.466,0.11,3.389,2.139,1.189,1.35,1.285,1.281,0.284,0.381,0.259,0.386,0.457,0.373
1800,0.874,0.184,3.466,0.1,3.382,2.145,1.19,1.354,1.286,1.284,0.287,0.382,0.259,0.385,0.458,0.373
1900,0.875,0.183,3.466,0.094,3.378,2.147,1.191,1.357,1.287,1.285,0.288,0.383,0.259,0.385,0.459,0.373
2000,0.875,0.181,3.466,0.091,3.375,2.148,1.192,1.358,1.288,1.286,0.289,0.384,0.259,0.385,0.459,0.372
2100,0.875,0.181,3.466,0.089,3.375,2.148,1.192,1.359,1.288,1.286,0.289,0.385,0.259,0.385,0.459,0.371
2200,0.883,0.176,3.466,0.108,3.397,2.124,1.192,1.358,1.291,1.27,0.289,0.387,0.26,0.386,0.463,0.339
2300,0.907,0.138,3.466,0.095,3.423,2.106,1.192,1.357,1.292,1.297,0.288,0.387,0.263,0.385,0.489,0.293
2400,0.934,0.106,3.466,0.126,3.486,1.966,1.189,1.324,1.291,1.299,0.254,0.385,0.263,0.354,0.412,0.297
2500,0.937,0.094,3.466,0.097,3.469,1.979,1.191,1.348,1.293,1.302,0.263,0.387,0.264,0.356,0.413,0.296
2600,0.937,0.093,3.466,0.092,3.465,1.983,1.191,1.353,1.293,1.302,0.265,0.388,0.264,0.357,0.414,0.295
2700,0.937,0.092,3.466,0.09,3.464,1.983,1.191,1.355,1.293,1.302,0.266,0.388,0.263,0.357,0.414,0.294
2800,0.937,0.092,3.466,0.09,3.464,1.982,1.191,1.356,1.293,1.301,0.267,0.387,0.263,0.356,0.415,0.294
2900,0.937,0.092,3.466,0.091,3.465,1.98,1.191,1.357,1.292,1.301,0.267,0.387,0.263,0.356,0.415,0.293
3000,0.938,0.092,3.466,0.092,3.466,1.977,1.19,1.358,1.291,1.3,0.267,0.386,0.262,0.355,0.415,0.292
3100,0.937,0.091,3.466,0.094,3.468,1.973,1.19,1.358,1.291,1.3,0.267,0.385,0.261,0.354,0.414,0.29
3200,0.938,0.091,3.466,0.096,3.47,1.969,1.189,1.358,1.29,1.299,0.267,0.385,0.261,0.354,0.414,0.289
3300,0.938,0.091,3.466,0.098,3.473,1.964,1.188,1.358,1.289,1.298,0.267,0.384,0.26,0.353,0.414,0.287
3400,0.938,0.091,3.466,0.101,3.476,1.959,1.187,1.359,1.288,1.297,0.267,0.383,0.259,0.352,0.414,0.285
3500,0.937,0.091,3.466,0.106,3.481,1.95,1.187,1.359,1.287,1.294,0.266,0.382,0.257,0.351,0.413,0.281
3600,0.969,0.051,3.466,0.145,3.56,1.738,1.183,1.345,1.292,1.28,0.26,0.385,0.205,0.344,0.331,0.213
3700,0.969,0.048,3.466,0.12,3.538,1.757,1.185,1.355,1.287,1.296,0.265,0.381,0.209,0.348,0.341,0.213
3800,0.969,0.048,3.466,0.119,3.537,1.755,1.184,1.356,1.286,1.299,0.265,0.379,0.209,0.347,0.341,0.213
3900,0.968,0.048,3.466,0.119,3.537,1.751,1.182,1.357,1.284,1.301,0.264,0.378,0.208,0.347,0.342,0.212
4000,0.968,0.048,3.466,0.119,3.538,1.746,1.181,1.357,1.283,1.302,0.264,0.376,0.208,0.346,0.342,0.211
4100,0.968,0.048,3.466,0.121,3.539,1.741,1.179,1.357,1.281,1.304,0.263,0.374,0.207,0.345,0.342,0.21
4200,0.969,0.048,3.466,0.122,3.54,1.735,1.178,1.357,1.28,1.306,0.261,0.373,0.206,0.344,0.342,0.21
4300,0.969,0.047,3.466,0.125,3.543,1.729,1.176,1.357,1.278,1.307,0.26,0.371,0.205,0.342,0.342,0.209
4400,0.999,0.011,3.466,0.149,3.604,1.617,1.175,1.332,1.27,1.303,0.247,0.363,0.207,0.3,0.293,0.207
4500,1.0,0.005,3.466,0.12,3.581,1.632,1.173,1.348,1.28,1.308,0.247,0.37,0.204,0.304,0.297,0.21
4600,1.0,0.004,3.466,0.122,3.583,1.624,1.17,1.349,1.28,1.308,0.244,0.369,0.203,0.302,0.297,0.21
