Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.634,5.545,5.545,5.543,5.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.357,3.583,5.545,2.486,4.448,1.457,0.804,0.768,0.688,0.782,0.307,0.19,0.288,0.197,0.328,0.147
200,0.36,1.619,5.545,0.237,4.163,1.57,1.317,1.283,1.315,1.313,0.313,0.211,0.372,0.206,0.328,0.14
300,0.385,1.454,5.545,0.085,4.176,1.55,1.351,1.326,1.349,1.349,0.297,0.219,0.364,0.21,0.321,0.139
400,0.403,1.387,5.545,0.061,4.219,1.496,1.354,1.336,1.354,1.355,0.286,0.207,0.348,0.213,0.304,0.139
500,0.412,1.37,5.545,0.055,4.23,1.47,1.357,1.338,1.356,1.352,0.29,0.201,0.326,0.213,0.298,0.142
600,0.434,1.309,5.545,0.046,4.282,1.393,1.361,1.338,1.356,1.358,0.281,0.194,0.3,0.213,0.271,0.134
700,0.438,1.299,5.545,0.04,4.286,1.377,1.36,1.34,1.357,1.361,0.271,0.194,0.293,0.213,0.273,0.132
800,0.449,1.271,5.545,0.035,4.309,1.332,1.36,1.341,1.357,1.362,0.246,0.189,0.288,0.208,0.269,0.132
900,0.454,1.263,5.545,0.033,4.315,1.328,1.36,1.342,1.357,1.364,0.246,0.189,0.291,0.208,0.264,0.13
1000,0.457,1.255,5.545,0.031,4.321,1.315,1.363,1.342,1.357,1.364,0.24,0.189,0.285,0.208,0.264,0.129
1100,0.457,1.254,5.545,0.03,4.321,1.314,1.363,1.343,1.357,1.365,0.239,0.189,0.286,0.207,0.264,0.129
1200,0.465,1.229,5.545,0.028,4.344,1.28,1.364,1.343,1.357,1.365,0.225,0.183,0.288,0.198,0.257,0.129
1300,0.469,1.217,5.545,0.026,4.354,1.268,1.367,1.343,1.357,1.366,0.219,0.183,0.282,0.198,0.257,0.129
1400,0.473,1.205,5.545,0.026,4.365,1.251,1.367,1.343,1.357,1.366,0.216,0.183,0.282,0.19,0.251,0.129
1500,0.473,1.205,5.545,0.026,4.366,1.25,1.367,1.343,1.358,1.366,0.216,0.183,0.282,0.19,0.25,0.129
1600,0.477,1.199,5.545,0.025,4.371,1.227,1.368,1.346,1.358,1.365,0.222,0.183,0.282,0.176,0.235,0.129
1700,0.477,1.199,5.545,0.025,4.371,1.226,1.368,1.346,1.358,1.366,0.222,0.183,0.282,0.176,0.235,0.129
1800,0.481,1.186,5.54,0.024,4.383,1.203,1.368,1.346,1.358,1.366,0.215,0.177,0.272,0.175,0.235,0.129
1900,0.489,1.167,5.516,0.026,4.404,1.176,1.365,1.346,1.358,1.366,0.212,0.172,0.265,0.17,0.228,0.129
2000,0.488,1.166,5.469,0.024,4.403,1.176,1.366,1.346,1.358,1.366,0.213,0.172,0.265,0.17,0.228,0.129
2100,0.496,1.147,5.449,0.023,4.422,1.143,1.368,1.346,1.358,1.365,0.217,0.166,0.243,0.169,0.222,0.125
2200,0.504,1.125,5.351,0.024,4.444,1.116,1.37,1.346,1.358,1.363,0.212,0.167,0.227,0.169,0.22,0.121
2300,0.504,1.125,5.196,0.023,4.443,1.117,1.369,1.346,1.358,1.365,0.212,0.167,0.227,0.169,0.221,0.121
2400,0.512,1.108,5.299,0.023,4.46,1.089,1.369,1.344,1.358,1.365,0.202,0.167,0.227,0.161,0.212,0.121
2500,0.516,1.1,5.269,0.022,4.467,1.078,1.37,1.344,1.358,1.365,0.199,0.16,0.226,0.161,0.212,0.121
2600,0.52,1.092,5.097,0.021,4.474,1.061,1.37,1.347,1.358,1.365,0.187,0.16,0.226,0.166,0.201,0.121
2700,0.524,1.079,5.256,0.022,4.488,1.044,1.37,1.347,1.358,1.363,0.183,0.155,0.22,0.166,0.199,0.119
2800,0.527,1.069,5.06,0.021,4.497,1.029,1.37,1.347,1.358,1.367,0.183,0.155,0.217,0.166,0.194,0.114
2900,0.527,1.069,4.992,0.021,4.497,1.029,1.37,1.347,1.358,1.367,0.183,0.155,0.217,0.166,0.194,0.114
3000,0.527,1.069,4.985,0.021,4.497,1.029,1.37,1.347,1.358,1.367,0.183,0.155,0.217,0.166,0.194,0.114
3100,0.528,1.069,4.865,0.022,4.498,1.027,1.37,1.346,1.358,1.367,0.183,0.155,0.217,0.165,0.193,0.114
3200,0.532,1.053,5.014,0.02,4.512,1.006,1.37,1.35,1.358,1.367,0.179,0.155,0.217,0.157,0.185,0.114
3300,0.531,1.053,4.882,0.02,4.512,1.006,1.37,1.35,1.358,1.367,0.179,0.155,0.217,0.157,0.185,0.114
3400,0.532,1.053,4.812,0.02,4.512,1.006,1.37,1.35,1.358,1.367,0.179,0.155,0.217,0.157,0.185,0.114
3500,0.531,1.053,4.812,0.02,4.512,1.006,1.37,1.35,1.358,1.367,0.179,0.155,0.217,0.157,0.185,0.114
3600,0.534,1.046,4.853,0.023,4.522,0.989,1.37,1.35,1.358,1.365,0.179,0.155,0.211,0.157,0.181,0.107
3700,0.535,1.038,4.941,0.02,4.527,0.985,1.37,1.35,1.358,1.369,0.179,0.155,0.209,0.157,0.18,0.106
3800,0.535,1.038,4.693,0.02,4.527,0.985,1.37,1.35,1.358,1.369,0.179,0.155,0.209,0.157,0.18,0.106
3900,0.535,1.038,4.741,0.019,4.527,0.985,1.37,1.35,1.358,1.369,0.179,0.155,0.209,0.157,0.18,0.106
4000,0.535,1.038,4.74,0.019,4.527,0.985,1.37,1.35,1.358,1.369,0.179,0.155,0.209,0.157,0.18,0.106
4100,0.539,1.029,4.699,0.02,4.536,0.966,1.37,1.35,1.358,1.367,0.179,0.155,0.2,0.157,0.174,0.102
4200,0.543,1.017,4.831,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.193,0.157,0.174,0.102
4300,0.543,1.017,4.743,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.193,0.157,0.174,0.102
4400,0.543,1.017,4.578,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.193,0.157,0.174,0.102
4500,0.543,1.017,4.643,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.193,0.157,0.174,0.102
4600,0.543,1.017,4.576,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.193,0.157,0.174,0.102
4700,0.543,1.017,4.603,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
4800,0.543,1.017,4.637,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
4900,0.543,1.017,4.591,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5000,0.543,1.017,4.579,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5100,0.543,1.017,4.583,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5200,0.543,1.017,4.571,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5300,0.543,1.017,4.558,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5400,0.543,1.017,4.551,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5500,0.543,1.017,4.571,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5600,0.543,1.017,4.569,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5700,0.543,1.017,4.564,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5800,0.543,1.017,4.576,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
5900,0.543,1.017,4.583,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
6000,0.543,1.017,4.549,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
6100,0.543,1.017,4.558,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
6200,0.543,1.017,4.571,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
6300,0.543,1.017,4.569,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
6400,0.543,1.017,4.558,0.019,4.547,0.95,1.37,1.35,1.358,1.367,0.174,0.15,0.194,0.157,0.174,0.102
