Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.788,4.851,4.852,5.542,5.542,0.0,0.0,0.0,0.0
100,0.502,2.986,4.852,2.625,4.491,0.607,1.328,1.183,0.607
200,0.484,1.157,4.852,0.223,3.918,1.252,2.479,2.473,1.252
300,0.486,1.027,4.852,0.059,3.884,1.291,2.561,2.555,1.291
400,0.494,0.998,4.852,0.046,3.9,1.287,2.577,2.564,1.287
500,0.5,0.976,4.852,0.031,3.907,1.285,2.595,2.567,1.285
600,0.501,0.973,4.852,0.027,3.906,1.286,2.597,2.568,1.286
700,0.509,0.965,4.852,0.038,3.925,1.263,2.584,2.568,1.263
800,0.527,0.916,4.852,0.03,3.966,1.232,2.6,2.568,1.232
900,0.532,0.894,4.852,0.023,3.981,1.225,2.614,2.569,1.225
1000,0.539,0.87,4.852,0.022,4.004,1.201,2.614,2.569,1.201
1100,0.539,0.87,4.852,0.023,4.006,1.2,2.614,2.569,1.2
1200,0.54,0.869,4.852,0.024,4.007,1.199,2.613,2.568,1.199
1300,0.547,0.86,4.852,0.027,4.019,1.177,2.612,2.557,1.177
1400,0.555,0.835,4.852,0.024,4.041,1.159,2.613,2.563,1.159
1500,0.555,0.835,4.852,0.025,4.042,1.158,2.613,2.563,1.158
1600,0.563,0.817,4.852,0.024,4.059,1.147,2.612,2.569,1.147
1700,0.563,0.817,4.852,0.025,4.06,1.145,2.612,2.569,1.145
1800,0.563,0.817,4.852,0.026,4.061,1.145,2.611,2.568,1.145
1900,0.563,0.817,4.852,0.026,4.062,1.144,2.611,2.568,1.144
2000,0.562,0.817,4.852,0.027,4.062,1.143,2.61,2.568,1.143
2100,0.563,0.817,4.852,0.027,4.063,1.142,2.61,2.568,1.142
2200,0.563,0.816,4.852,0.028,4.063,1.142,2.61,2.568,1.142
2300,0.571,0.791,4.852,0.027,4.088,1.118,2.609,2.57,1.118
2400,0.571,0.791,4.852,0.028,4.089,1.117,2.609,2.569,1.117
2500,0.579,0.768,4.841,0.027,4.111,1.096,2.609,2.57,1.096
2600,0.579,0.768,4.841,0.028,4.112,1.095,2.608,2.57,1.095
2700,0.579,0.768,4.805,0.029,4.112,1.094,2.608,2.57,1.094
2800,0.579,0.768,4.75,0.029,4.113,1.093,2.608,2.569,1.093
2900,0.579,0.768,4.772,0.029,4.113,1.093,2.607,2.569,1.093
3000,0.579,0.768,4.683,0.03,4.113,1.092,2.607,2.569,1.092
3100,0.578,0.768,4.714,0.03,4.114,1.092,2.607,2.569,1.092
3200,0.579,0.768,4.735,0.03,4.114,1.092,2.607,2.569,1.092
3300,0.579,0.768,4.66,0.03,4.114,1.091,2.606,2.569,1.091
3400,0.579,0.768,4.64,0.031,4.115,1.091,2.606,2.569,1.091
3500,0.579,0.768,4.581,0.031,4.115,1.091,2.606,2.569,1.091
3600,0.587,0.748,4.622,0.03,4.134,1.066,2.606,2.564,1.066
3700,0.586,0.749,4.566,0.031,4.134,1.066,2.606,2.564,1.066
3800,0.586,0.749,4.658,0.031,4.134,1.066,2.606,2.564,1.066
3900,0.587,0.749,4.518,0.031,4.134,1.066,2.606,2.564,1.066
4000,0.587,0.749,4.384,0.031,4.134,1.066,2.606,2.563,1.066
4100,0.586,0.749,4.435,0.031,4.135,1.066,2.606,2.563,1.066
4200,0.586,0.749,4.358,0.031,4.135,1.066,2.606,2.563,1.066
4300,0.587,0.749,4.424,0.031,4.135,1.065,2.606,2.563,1.065
4400,0.586,0.749,4.33,0.031,4.135,1.065,2.606,2.563,1.065
4500,0.587,0.749,4.345,0.031,4.135,1.065,2.606,2.563,1.065
4600,0.587,0.749,4.25,0.032,4.135,1.065,2.606,2.563,1.065
4700,0.587,0.749,4.373,0.032,4.135,1.065,2.606,2.563,1.065
4800,0.587,0.749,4.283,0.032,4.135,1.065,2.606,2.563,1.065
4900,0.586,0.749,4.25,0.032,4.135,1.065,2.606,2.563,1.065
5000,0.587,0.749,4.268,0.032,4.135,1.065,2.606,2.562,1.065
5100,0.587,0.749,4.388,0.032,4.136,1.065,2.606,2.562,1.065
5200,0.586,0.749,4.309,0.032,4.136,1.064,2.606,2.562,1.064
5300,0.587,0.749,4.17,0.032,4.136,1.064,2.606,2.562,1.064
5400,0.587,0.749,4.237,0.032,4.136,1.064,2.606,2.562,1.064
5500,0.587,0.749,4.197,0.033,4.136,1.064,2.606,2.562,1.064
5600,0.586,0.749,4.246,0.033,4.136,1.064,2.606,2.561,1.064
5700,0.587,0.749,4.283,0.033,4.136,1.063,2.606,2.561,1.063
5800,0.587,0.749,4.268,0.033,4.137,1.063,2.606,2.561,1.063
5900,0.586,0.749,4.293,0.033,4.137,1.063,2.606,2.561,1.063
6000,0.587,0.749,4.257,0.033,4.137,1.063,2.606,2.561,1.063
6100,0.587,0.749,4.317,0.034,4.137,1.062,2.606,2.56,1.062
6200,0.587,0.749,4.224,0.034,4.137,1.062,2.606,2.56,1.062
6300,0.587,0.749,4.306,0.034,4.138,1.061,2.606,2.559,1.061
6400,0.587,0.749,4.253,0.035,4.138,1.06,2.606,2.558,1.06
6500,0.587,0.749,4.249,0.037,4.14,1.057,2.606,2.555,1.057
6600,0.586,0.748,4.259,0.032,4.135,1.041,2.605,2.539,1.041
6700,0.587,0.748,4.311,0.032,4.136,1.041,2.605,2.539,1.041
6800,0.587,0.748,4.303,0.032,4.136,1.04,2.605,2.539,1.04
6900,0.587,0.748,4.231,0.032,4.136,1.04,2.605,2.539,1.04
